population,pair,dataset,split,n,id,action,comparison,old_f,old_gain,old_harm,old_zero_gain,old_invalid_pair,old_invalid_flip,V2_f,V2_gain,V2_harm,V2_zero_gain,V2_invalid_pair,V2_invalid_flip,R_source_id,R_source_line,action_source_id,action_source_line,D1_f,D1_gain,D1_harm,D1_zero_gain,D1_invalid_pair,D1_invalid_flip
full,large,obqa,train,3466,10-1146,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,249,S006,247,,,,,,
full,large,obqa,train,3466,10-342,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,694,S006,695,,,,,,
full,large,obqa,train,3466,10-383,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,755,S006,756,,,,,,
full,large,obqa,train,3466,10-520,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,955,S006,957,,,,,,
full,large,obqa,train,3466,10-553,c2c,old_to_V2,1,0,1,0,1,1,1,0,1,0,0,0,S006,1007,S006,1008,,,,,,
full,large,obqa,train,3466,10-622,c2c,old_to_V2,1,0,0,1,1,1,0,0,0,0,0,0,S006,1126,S006,1127,,,,,,
full,large,obqa,train,3466,10-657,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,1194,S006,1193,,,,,,
full,large,obqa,train,3466,10-861,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,1495,S006,1497,,,,,,
full,large,obqa,train,3466,10-895,c2c,old_to_V2,1,0,1,0,1,1,1,0,1,0,0,0,S006,1536,S006,1535,,,,,,
full,large,obqa,train,3466,100,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,1682,S006,1681,,,,,,
full,large,obqa,train,3466,11-204,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,1889,S006,1890,,,,,,
full,large,obqa,train,3466,11-248,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,1970,S006,1969,,,,,,
full,large,obqa,train,3466,11-315,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,2087,S006,2088,,,,,,
full,large,obqa,train,3466,11-33,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,2112,S006,2111,,,,,,
full,large,obqa,train,3466,11-572,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,2445,S006,2443,,,,,,
full,large,obqa,train,3466,11-674,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,2571,S006,2569,,,,,,
full,large,obqa,train,3466,12-331,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,3448,S006,3449,,,,,,
full,large,obqa,train,3466,12-354,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,3500,S006,3499,,,,,,
full,large,obqa,train,3466,12-602,c2c,old_to_V2,1,0,0,1,1,1,1,1,0,0,0,0,S006,3894,S006,3893,,,,,,
full,large,obqa,train,3466,12-608,c2c,old_to_V2,1,0,0,1,1,1,0,0,0,0,0,0,S006,3898,S006,3899,,,,,,
full,large,obqa,train,3466,12-614,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,3907,S006,3909,,,,,,
full,large,obqa,train,3466,12-841,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,4299,S006,4297,,,,,,
full,large,obqa,train,3466,1222,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,4582,S006,4583,,,,,,
full,large,obqa,train,3466,13-535,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,5363,S006,5364,,,,,,
full,large,obqa,train,3466,13-543,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,5374,S006,5375,,,,,,
full,large,obqa,train,3466,13-563,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,5401,S006,5403,,,,,,
full,large,obqa,train,3466,13-718,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,5642,S006,5641,,,,,,
full,large,obqa,train,3466,13-754,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,5689,S006,5691,,,,,,
full,large,obqa,train,3466,13-777,c2c,old_to_V2,1,0,0,1,1,1,1,0,0,1,0,0,S006,5714,S006,5713,,,,,,
full,large,obqa,train,3466,13-933,c2c,old_to_V2,1,0,0,1,1,1,0,0,0,0,0,0,S006,5973,S006,5971,,,,,,
full,large,obqa,train,3466,13-938,c2c,old_to_V2,1,0,0,1,1,1,0,0,0,0,0,0,S006,5984,S006,5983,,,,,,
full,large,obqa,train,3466,1383,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,6119,S006,6120,,,,,,
full,large,obqa,train,3466,14-1052,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,6225,S006,6223,,,,,,
full,large,obqa,train,3466,14-1061,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,6243,S006,6241,,,,,,
full,large,obqa,train,3466,14-1356,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,6605,S006,6606,,,,,,
full,large,obqa,train,3466,14-1367,c2c,old_to_V2,1,0,0,1,1,1,0,0,0,0,0,0,S006,6630,S006,6629,,,,,,
full,large,obqa,train,3466,14-1382,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,6650,S006,6649,,,,,,
full,large,obqa,train,3466,14-162,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,6864,S006,6863,,,,,,
full,large,obqa,train,3466,14-198,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,6913,S006,6915,,,,,,
full,large,obqa,train,3466,14-238,c2c,old_to_V2,1,0,0,1,1,1,0,0,0,0,0,0,S006,6963,S006,6961,,,,,,
full,large,obqa,train,3466,14-268,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,6994,S006,6995,,,,,,
full,large,obqa,train,3466,14-3,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,7030,S006,7031,,,,,,
full,large,obqa,train,3466,14-5,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,7282,S006,7283,,,,,,
full,large,obqa,train,3466,14-517,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,7298,S006,7297,,,,,,
full,large,obqa,train,3466,14-646,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,7485,S006,7483,,,,,,
full,large,obqa,train,3466,14-742,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,7624,S006,7625,,,,,,
full,large,obqa,train,3466,14-879,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,7791,S006,7789,,,,,,
full,large,obqa,train,3466,14-923,c2c,old_to_V2,1,0,0,1,1,1,0,0,0,0,0,0,S006,7854,S006,7853,,,,,,
full,large,obqa,train,3466,1435,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,8007,S006,8005,,,,,,
