population,pair,dataset,split,n,action,old_f,old_gain,old_harm,old_zero_gain,old_invalid_pair,old_invalid_flip,old_historical_direction_diagnostic,D1_f,D1_gain,D1_harm,D1_zero_gain,D1_invalid_pair,D1_invalid_flip,D1_historical_direction_diagnostic,V2_f,V2_gain,V2_harm,V2_zero_gain,V2_invalid_pair,V2_invalid_flip,V2_historical_direction_diagnostic,old_to_V2_f_changed,old_to_V2_invalid_flip_changed,D1_to_V2_f_changed,D1_to_V2_invalid_flip_changed
full,large,obqa,train,3466,receiver_only,0,0,0,0,4,0,0.0,0,0,0,0,4,0,0.0,0,0,0,0,4,0,0.0,0,0,0,0
full,large,obqa,train,3466,text,346,219,71,56,5,5,0.42528735632183906,346,219,71,56,5,5,0.42528735632183906,346,219,71,56,5,5,0.42528735632183906,0,0,0,0
full,large,obqa,train,3466,c2c,338,73,187,78,66,66,-0.3352941176470588,287,74,144,69,11,11,-0.2422145328719723,287,74,144,69,11,11,-0.2422145328719723,51,55,0,0
full,large,obqa,train,3466,acw,38,12,10,16,21,17,0.05,38,12,10,16,21,17,0.05,38,12,10,16,21,17,0.05,0,0,0,0
panel,large,obqa,train,256,receiver_only,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0
panel,large,obqa,train,256,text,23,13,8,2,0,0,0.2,23,13,8,2,0,0,0.2,23,13,8,2,0,0,0.2,0,0,0,0
panel,large,obqa,train,256,c2c,24,6,13,5,4,4,-0.2692307692307692,21,6,10,5,1,1,-0.17391304347826086,21,6,10,5,1,1,-0.17391304347826086,3,3,0,0
panel,large,obqa,train,256,acw,1,0,1,0,1,1,-0.3333333333333333,1,0,1,0,1,1,-0.3333333333333333,1,0,1,0,1,1,-0.3333333333333333,0,0,0,0
full,large,obqa,dev,742,receiver_only,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0
full,large,obqa,dev,742,text,72,46,18,8,0,0,0.3783783783783784,72,46,18,8,0,0,0.3783783783783784,72,46,18,8,0,0,0.3783783783783784,0,0,0,0
full,large,obqa,dev,742,c2c,71,16,46,9,11,11,-0.410958904109589,60,16,35,9,0,0,-0.3064516129032258,60,16,35,9,0,0,-0.3064516129032258,11,11,0,0
