population,pair,dataset,split,n,training_labels,refitted_V2,evaluation_role,timing_source,policy,is_original_primary,selection_source,probabilities,selection_counts_RTCA,old_to_V2_selected_correctness_up,old_to_V2_selected_correctness_down,D1_to_V2_selected_correctness_up,D1_to_V2_selected_correctness_down,old_correct,old_accuracy,old_valid,old_invalid,old_gain_over_R,old_harm_vs_R,old_flips,old_zero_gain_flips,old_INVALID_flips,D1_correct,D1_accuracy,D1_valid,D1_invalid,D1_gain_over_R,D1_harm_vs_R,D1_flips,D1_zero_gain_flips,D1_INVALID_flips,V2_correct,V2_accuracy,V2_valid,V2_invalid,V2_gain_over_R,V2_harm_vs_R,V2_flips,V2_zero_gain_flips,V2_INVALID_flips,mean_ms,median_ms,p95_ms,mean_original_router_overhead_ms
full,large,obqa,train,3466,old_scoring,False,train_in_sample_diagnostic,accuracy_only,R,False,fixed_action,,"[3466, 0, 0, 0]",0.0,0.0,0.0,0.0,2830.0,0.8165031736872476,3462.0,4.0,0.0,0.0,0.0,0.0,0.0,2830.0,0.8165031736872476,3462.0,4.0,0.0,0.0,0.0,0.0,0.0,2830.0,0.8165031736872476,3462.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,
full,large,obqa,train,3466,old_scoring,False,train_in_sample_diagnostic,accuracy_only,T,False,fixed_action,,"[0, 3466, 0, 0]",0.0,0.0,0.0,0.0,2978.0,0.859203693017888,3465.0,1.0,219.0,71.0,346.0,56.0,5.0,2978.0,0.859203693017888,3465.0,1.0,219.0,71.0,346.0,56.0,5.0,2978.0,0.859203693017888,3465.0,1.0,219.0,71.0,346.0,56.0,5.0,,,,
full,large,obqa,train,3466,old_scoring,False,train_in_sample_diagnostic,accuracy_only,C,False,fixed_action,,"[0, 0, 3466, 0]",44.0,0.0,0.0,0.0,2716.0,0.7836122331217542,3404.0,62.0,73.0,187.0,338.0,78.0,66.0,2760.0,0.7963069821119446,3459.0,7.0,74.0,144.0,287.0,69.0,11.0,2760.0,0.7963069821119446,3459.0,7.0,74.0,144.0,287.0,69.0,11.0,,,,
full,large,obqa,train,3466,old_scoring,False,train_in_sample_diagnostic,accuracy_only,A,False,fixed_action,,"[0, 0, 0, 3466]",0.0,0.0,0.0,0.0,2832.0,0.8170802077322562,3445.0,21.0,12.0,10.0,38.0,16.0,17.0,2832.0,0.8170802077322562,3445.0,21.0,12.0,10.0,38.0,16.0,17.0,2832.0,0.8170802077322562,3445.0,21.0,12.0,10.0,38.0,16.0,17.0,,,,
full,large,obqa,train,3466,old_scoring,False,train_in_sample_diagnostic,accuracy_only,word_lambda0_actions3,False,$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/train_predictions_word.npz,,"[231, 3184, 51, 0]",0.0,0.0,0.0,0.0,3074.0,0.8869013271783035,3465.0,1.0,248.0,4.0,300.0,48.0,5.0,3074.0,0.8869013271783035,3465.0,1.0,248.0,4.0,300.0,48.0,5.0,3074.0,0.8869013271783035,3465.0,1.0,248.0,4.0,300.0,48.0,5.0,,,,
full,large,obqa,train,3466,old_scoring,False,train_in_sample_diagnostic,accuracy_only,word_lambda0.01_actions3,False,$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/train_predictions_word.npz,,"[1242, 2089, 135, 0]",0.0,0.0,0.0,0.0,3078.0,0.8880553952683208,3466.0,0.0,250.0,2.0,289.0,37.0,4.0,3078.0,0.8880553952683208,3466.0,0.0,250.0,2.0,289.0,37.0,4.0,3078.0,0.8880553952683208,3466.0,0.0,250.0,2.0,289.0,37.0,4.0,,,,
full,large,obqa,train,3466,old_scoring,False,train_in_sample_diagnostic,accuracy_only,word_lambda0.03_actions3,False,$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/train_predictions_word.npz,,"[2879, 351, 236, 0]",0.0,0.0,0.0,0.0,3082.0,0.8892094633583382,3466.0,0.0,252.0,0.0,260.0,8.0,4.0,3082.0,0.8892094633583382,3466.0,0.0,252.0,0.0,260.0,8.0,4.0,3082.0,0.8892094633583382,3466.0,0.0,252.0,0.0,260.0,8.0,4.0,,,,
full,large,obqa,train,3466,old_scoring,False,train_in_sample_diagnostic,accuracy_only,word_lambda0.1_actions3,False,$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/train_predictions_word.npz,,"[3340, 1, 125, 0]",0.0,0.0,0.0,0.0,2903.0,0.8375649163300635,3465.0,1.0,73.0,0.0,74.0,1.0,3.0,2903.0,0.8375649163300635,3465.0,1.0,73.0,0.0,74.0,1.0,3.0,2903.0,0.8375649163300635,3465.0,1.0,73.0,0.0,74.0,1.0,3.0,,,,
full,large,obqa,train,3466,old_scoring,False,train_in_sample_diagnostic,accuracy_only,word_lambda0.3_actions3,False,$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/train_predictions_word.npz,,"[3415, 0, 51, 0]",0.0,0.0,0.0,0.0,2877.0,0.8300634737449509,3463.0,3.0,47.0,0.0,47.0,0.0,1.0,2877.0,0.8300634737449509,3463.0,3.0,47.0,0.0,47.0,0.0,1.0,2877.0,0.8300634737449509,3463.0,3.0,47.0,0.0,47.0,0.0,1.0,,,,
full,large,obqa,train,3466,old_scoring,False,train_in_sample_diagnostic,accuracy_only,word_lambda1_actions3,False,$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/train_predictions_word.npz,,"[3466, 0, 0, 0]",0.0,0.0,0.0,0.0,2830.0,0.8165031736872476,3462.0,4.0,0.0,0.0,0.0,0.0,0.0,2830.0,0.8165031736872476,3462.0,4.0,0.0,0.0,0.0,0.0,0.0,2830.0,0.8165031736872476,3462.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,
full,large,obqa,train,3466,old_scoring,False,train_in_sample_diagnostic,accuracy_only,word_lambda3_actions3,False,$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/train_predictions_word.npz,,"[3466, 0, 0, 0]",0.0,0.0,0.0,0.0,2830.0,0.8165031736872476,3462.0,4.0,0.0,0.0,0.0,0.0,0.0,2830.0,0.8165031736872476,3462.0,4.0,0.0,0.0,0.0,0.0,0.0,2830.0,0.8165031736872476,3462.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,
full,large,obqa,train,3466,old_scoring,False,train_in_sample_diagnostic,accuracy_only,word_lambda0_actions4,False,$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/train_predictions_word.npz,,"[134, 3151, 51, 130]",0.0,0.0,0.0,0.0,3077.0,0.8877668782458165,3465.0,1.0,250.0,3.0,298.0,45.0,5.0,3077.0,0.8877668782458165,3465.0,1.0,250.0,3.0,298.0,45.0,5.0,3077.0,0.8877668782458165,3465.0,1.0,250.0,3.0,298.0,45.0,5.0,,,,
full,large,obqa,train,3466,old_scoring,False,train_in_sample_diagnostic,accuracy_only,word_lambda0.01_actions4,True,$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/train_predictions_word.npz,,"[841, 2001, 130, 494]",0.0,0.0,0.0,0.0,3081.0,0.8889209463358339,3465.0,1.0,252.0,1.0,290.0,37.0,5.0,3081.0,0.8889209463358339,3465.0,1.0,252.0,1.0,290.0,37.0,5.0,3081.0,0.8889209463358339,3465.0,1.0,252.0,1.0,290.0,37.0,5.0,,,,
full,large,obqa,train,3466,old_scoring,False,train_in_sample_diagnostic,accuracy_only,word_lambda0.03_actions4,False,$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/train_predictions_word.npz,,"[2211, 322, 212, 721]",0.0,0.0,0.0,0.0,3083.0,0.8894979803808425,3464.0,2.0,253.0,0.0,263.0,10.0,6.0,3083.0,0.8894979803808425,3464.0,2.0,253.0,0.0,263.0,10.0,6.0,3083.0,0.8894979803808425,3464.0,2.0,253.0,0.0,263.0,10.0,6.0,,,,
full,large,obqa,train,3466,old_scoring,False,train_in_sample_diagnostic,accuracy_only,word_lambda0.1_actions4,False,$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/train_predictions_word.npz,,"[3201, 0, 118, 147]",0.0,0.0,0.0,0.0,2910.0,0.8395845354875938,3464.0,2.0,80.0,0.0,82.0,2.0,4.0,2910.0,0.8395845354875938,3464.0,2.0,80.0,0.0,82.0,2.0,4.0,2910.0,0.8395845354875938,3464.0,2.0,80.0,0.0,82.0,2.0,4.0,,,,
full,large,obqa,train,3466,old_scoring,False,train_in_sample_diagnostic,accuracy_only,word_lambda0.3_actions4,False,$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/train_predictions_word.npz,,"[3400, 0, 49, 17]",0.0,0.0,0.0,0.0,2887.0,0.8329486439699942,3463.0,3.0,57.0,0.0,57.0,0.0,1.0,2887.0,0.8329486439699942,3463.0,3.0,57.0,0.0,57.0,0.0,1.0,2887.0,0.8329486439699942,3463.0,3.0,57.0,0.0,57.0,0.0,1.0,,,,
