population,pair,dataset,split,n,a,b,old_equal_including_INVALID,old_agreement,old_both_valid,old_equal_both_valid,old_agreement_both_valid,old_both_invalid,D1_equal_including_INVALID,D1_agreement,D1_both_valid,D1_equal_both_valid,D1_agreement_both_valid,D1_both_invalid,V2_equal_including_INVALID,V2_agreement,V2_both_valid,V2_equal_both_valid,V2_agreement_both_valid,V2_both_invalid
full,large,obqa,train,3466,receiver_only,text,3120,0.9001731102135025,3461,3120,0.9014735625541751,0,3120,0.9001731102135025,3461,3120,0.9014735625541751,0,3120,0.9001731102135025,3461,3120,0.9014735625541751,0
full,large,obqa,train,3466,receiver_only,c2c,3128,0.9024812463935372,3400,3128,0.92,0,3179,0.917195614541258,3455,3179,0.9201157742402315,0,3179,0.917195614541258,3455,3179,0.9201157742402315,0
full,large,obqa,train,3466,receiver_only,acw,3428,0.9890363531448355,3445,3424,0.9939042089985486,4,3428,0.9890363531448355,3445,3424,0.9939042089985486,4,3428,0.9890363531448355,3445,3424,0.9939042089985486,4
full,large,obqa,train,3466,text,c2c,2974,0.8580496249278707,3403,2974,0.87393476344402,0,3027,0.8733410271206001,3458,3027,0.8753614806246385,0,3027,0.8733410271206001,3458,3027,0.8753614806246385,0
full,large,obqa,train,3466,text,acw,3117,0.8993075591459896,3444,3117,0.9050522648083623,0,3117,0.8993075591459896,3444,3117,0.9050522648083623,0,3117,0.8993075591459896,3444,3117,0.9050522648083623,0
full,large,obqa,train,3466,c2c,acw,3116,0.8990190421234853,3385,3114,0.9199409158050221,2,3167,0.913733410271206,3440,3165,0.9200581395348837,2,3167,0.913733410271206,3440,3165,0.9200581395348837,2
panel,large,obqa,train,256,receiver_only,text,233,0.91015625,256,233,0.91015625,0,233,0.91015625,256,233,0.91015625,0,233,0.91015625,256,233,0.91015625,0
panel,large,obqa,train,256,receiver_only,c2c,232,0.90625,252,232,0.9206349206349206,0,235,0.91796875,255,235,0.9215686274509803,0,235,0.91796875,255,235,0.9215686274509803,0
panel,large,obqa,train,256,receiver_only,acw,255,0.99609375,255,255,1.0,0,255,0.99609375,255,255,1.0,0,255,0.99609375,255,255,1.0,0
panel,large,obqa,train,256,text,c2c,219,0.85546875,252,219,0.8690476190476191,0,222,0.8671875,255,222,0.8705882352941177,0,222,0.8671875,255,222,0.8705882352941177,0
panel,large,obqa,train,256,text,acw,232,0.90625,255,232,0.9098039215686274,0,232,0.90625,255,232,0.9098039215686274,0,232,0.90625,255,232,0.9098039215686274,0
panel,large,obqa,train,256,c2c,acw,231,0.90234375,251,231,0.9203187250996016,0,234,0.9140625,254,234,0.9212598425196851,0,234,0.9140625,254,234,0.9212598425196851,0
full,large,obqa,dev,742,receiver_only,text,670,0.9029649595687331,742,670,0.9029649595687331,0,670,0.9029649595687331,742,670,0.9029649595687331,0,670,0.9029649595687331,742,670,0.9029649595687331,0
full,large,obqa,dev,742,receiver_only,c2c,671,0.9043126684636119,731,671,0.9179206566347469,0,682,0.9191374663072777,742,682,0.9191374663072777,0,682,0.9191374663072777,742,682,0.9191374663072777,0
full,large,obqa,dev,742,receiver_only,acw,732,0.9865229110512129,739,732,0.9905277401894452,0,732,0.9865229110512129,739,732,0.9905277401894452,0,732,0.9865229110512129,739,732,0.9905277401894452,0
full,large,obqa,dev,742,text,c2c,629,0.8477088948787062,731,629,0.8604651162790697,0,640,0.862533692722372,742,640,0.862533692722372,0,640,0.862533692722372,742,640,0.862533692722372,0
full,large,obqa,dev,742,text,acw,673,0.9070080862533693,739,673,0.9106901217861976,0,673,0.9070080862533693,739,673,0.9106901217861976,0,673,0.9070080862533693,739,673,0.9106901217861976,0
full,large,obqa,dev,742,c2c,acw,665,0.8962264150943396,728,665,0.9134615384615384,0,676,0.9110512129380054,739,676,0.9147496617050067,0,676,0.9110512129380054,739,676,0.9147496617050067,0
panel,large,obqa,dev,128,receiver_only,text,116,0.90625,128,116,0.90625,0,116,0.90625,128,116,0.90625,0,116,0.90625,128,116,0.90625,0
panel,large,obqa,dev,128,receiver_only,c2c,112,0.875,125,112,0.896,0,115,0.8984375,128,115,0.8984375,0,115,0.8984375,128,115,0.8984375,0
panel,large,obqa,dev,128,receiver_only,acw,126,0.984375,128,126,0.984375,0,126,0.984375,128,126,0.984375,0,126,0.984375,128,126,0.984375,0
panel,large,obqa,dev,128,text,c2c,109,0.8515625,125,109,0.872,0,112,0.875,128,112,0.875,0,112,0.875,128,112,0.875,0
panel,large,obqa,dev,128,text,acw,118,0.921875,128,118,0.921875,0,118,0.921875,128,118,0.921875,0,118,0.921875,128,118,0.921875,0
panel,large,obqa,dev,128,c2c,acw,112,0.875,125,112,0.896,0,115,0.8984375,128,115,0.8984375,0,115,0.8984375,128,115,0.8984375,0
