pair,dataset,reference,subset,N,d_count,n_R,changed,correct,runtime_failure_rows
large,obqa,T,both_valid,742,72,572,19,638,0
large,obqa,T,R_invalid_only,0,0,0,0,0,0
large,obqa,T,reference_invalid_only,0,0,0,0,0,0
large,obqa,T,both_invalid,0,0,0,0,0,0
large,obqa,C,both_valid,742,60,572,13,605,0
large,obqa,C,R_invalid_only,0,0,0,0,0,0
large,obqa,C,reference_invalid_only,0,0,0,0,0,0
large,obqa,C,both_invalid,0,0,0,0,0,0
large,arc,T,both_valid,299,15,284,9,270,0
large,arc,T,R_invalid_only,0,0,0,0,0,0
large,arc,T,reference_invalid_only,0,0,0,0,0,0
large,arc,T,both_invalid,0,0,0,0,0,0
large,arc,C,both_valid,299,12,270,3,267,0
large,arc,C,R_invalid_only,0,0,0,0,0,0
large,arc,C,reference_invalid_only,0,0,0,0,0,0
large,arc,C,both_invalid,0,0,0,0,0,0
small,obqa,T,both_valid,685,288,0,0,337,0
small,obqa,T,R_invalid_only,19,19,0,0,9,0
small,obqa,T,reference_invalid_only,32,32,0,0,0,0
small,obqa,T,both_invalid,6,0,0,0,0,0
small,obqa,C,both_valid,717,325,0,0,356,0
small,obqa,C,R_invalid_only,25,25,0,0,10,0
small,obqa,C,reference_invalid_only,0,0,0,0,0,0
small,obqa,C,both_invalid,0,0,0,0,0,0
small,arc,T,both_valid,256,112,0,0,111,0
small,arc,T,R_invalid_only,22,22,0,0,15,0
small,arc,T,reference_invalid_only,11,11,0,0,0,0
small,arc,T,both_invalid,10,0,0,0,0,0
small,arc,C,both_valid,264,127,0,0,142,0
small,arc,C,R_invalid_only,30,30,0,0,13,0
small,arc,C,reference_invalid_only,3,3,0,0,0,0
small,arc,C,both_invalid,2,0,0,0,0,0
