pair,dataset,reference,policy,q,N_rows,N_groups,N,n_R,coverage,changed,conditional_risk,marginal_change,correct,accuracy,reference_correct,accuracy_diff_reference,best_fixed_correct,accuracy_diff_best_fixed,benefit,harm,neutral_change,risk_CP95_low,risk_CP95_high,c_ref_train_R_ms,reference_ms,action_ms,gross_saving_ms,probe_selector_ms,total_ms,net_saving_ms,U,delta_U,deployable,cost_identity
large,obqa,T,Fixed_R,,128,128,128,128,1.0,12,0.09375,0.09375,104,0.8125,113,-0.0703125,113,-0.0703125,1,10,1,0.04938549596533647,0.158036366525835,252.35370575390624,993.8901472421874,254.514272515625,739.3758747265625,0.0,254.514272515625,739.3758747265625,0.8024143833947172,-0.041013311683439385,True,component recomposition on original128 same-job action panel
large,obqa,T,Fixed_reference,,128,128,128,0,0.0,0,,0.0,113,0.8828125,113,0.0,113,0.0,0,0,0,,,252.35370575390624,993.8901472421874,993.8901472421874,0.0,0.0,993.8901472421874,0.0,0.8434276950781566,0.0,True,component recomposition on original128 same-job action panel
large,obqa,T,ProbeMax,0.8,128,128,128,97,0.7578125,3,0.030927835051546393,0.0234375,112,0.875,113,-0.0078125,113,-0.0078125,1,2,0,0.006424047453155549,0.08773178214043566,252.35370575390624,993.8901472421874,431.633079890625,562.2570673515625,43.36625137315608,474.9993312637811,518.8908159784064,0.8561772397062797,0.012749544628123097,True,component recomposition on original128 same-job action panel
large,obqa,T,Posthoc_agreement_no_probe,,128,128,128,116,0.90625,0,0.0,0.0,113,0.8828125,113,0.0,113,0.0,0,0,0,0.0,0.03130036074328996,252.35370575390624,993.8901472421874,327.3243914140626,666.565755828125,0.0,327.3243914140626,666.565755828125,0.8698416426695644,0.026413947591407902,False,component recomposition on original128 same-job action panel
large,obqa,T,Posthoc_agreement_with_probe,,128,128,128,116,0.90625,0,0.0,0.0,113,0.8828125,113,0.0,113,0.0,0,0,0,0.0,0.03130036074328996,252.35370575390624,993.8901472421874,327.3243914140626,666.565755828125,43.36625137315608,370.69064278721856,623.1995044549689,0.8681231717145372,0.024695476636380727,False,component recomposition on original128 same-job action panel
large,obqa,C,Fixed_R,,128,128,128,128,1.0,13,0.1015625,0.1015625,104,0.8125,101,0.0234375,113,-0.0703125,6,3,4,0.05519549558146692,0.16741231636864182,252.35370575390624,347.017202890625,254.514272515625,92.502930375,0.0,254.514272515625,92.502930375,0.8024143833947172,0.027103106181555675,True,component recomposition on original128 same-job action panel
large,obqa,C,Fixed_reference,,128,128,128,0,0.0,0,,0.0,101,0.7890625,101,0.0,113,-0.09375,0,0,0,,,252.35370575390624,347.017202890625,347.017202890625,0.0,0.0,347.017202890625,0.0,0.7753112772131616,0.0,True,component recomposition on original128 same-job action panel
large,obqa,C,ProbeMax,0.8,128,128,128,97,0.7578125,2,0.020618556701030927,0.015625,102,0.796875,101,0.0078125,113,-0.0859375,1,0,1,0.002506829763817272,0.07250214992639115,252.35370575390624,347.017202890625,275.476127890625,71.541075,43.36630274815607,318.842430638781,28.174772251843926,0.7842402566469655,0.008928979433803901,True,component recomposition on original128 same-job action panel
large,obqa,C,Posthoc_agreement_no_probe,,128,128,128,115,0.8984375,0,0.0,0.0,101,0.7890625,101,0.0,113,-0.09375,0,0,0,0.0,0.03156819598824707,252.35370575390624,347.017202890625,263.7139096796875,83.30329321093751,0.0,263.7139096796875,83.30329321093751,0.7786123301127839,0.0033010528996223363,False,component recomposition on original128 same-job action panel
large,obqa,C,Posthoc_agreement_with_probe,,128,128,128,115,0.8984375,0,0.0,0.0,101,0.7890625,101,0.0,113,-0.09375,0,0,0,0.0,0.03156819598824707,252.35370575390624,347.017202890625,263.7139096796875,83.30329321093751,43.36630274815607,307.08021242784355,39.936990462781424,0.7768938571219237,0.0015825799087621668,False,component recomposition on original128 same-job action panel
