pair,dataset,reference,split,scope,N,d_count,disagreement_rate,AUROC,AP
large,obqa,T,fit,all,2100,203,0.09666666666666666,0.9078049084502106,0.46799955334021426
large,obqa,T,fit,both_valid,2097,200,0.09537434430138293,0.9080469161834476,0.4669972727142987
large,obqa,T,cal,all,1366,143,0.10468521229868229,0.9186226692359153,0.5410299533174374
large,obqa,T,cal,both_valid,1364,141,0.10337243401759531,0.9177351356680177,0.5353086630870771
large,obqa,T,dev,all,742,72,0.09703504043126684,0.8727300995024876,0.3929204236654057
large,obqa,T,dev,both_valid,742,72,0.09703504043126684,0.8727300995024876,0.3929204236654057
large,obqa,C,fit,all,2100,160,0.0761904761904762,0.9152077963917525,0.38168518106993726
large,obqa,C,fit,both_valid,2095,155,0.07398568019093078,0.9172397738609911,0.376788717321632
large,obqa,C,cal,all,1366,127,0.09297218155197658,0.9051591008751025,0.4608981189685524
large,obqa,C,cal,both_valid,1360,121,0.08897058823529412,0.908200428231245,0.4455950880126056
large,obqa,C,dev,all,742,60,0.08086253369272237,0.8826490713587488,0.3346294989411315
large,obqa,C,dev,both_valid,742,60,0.08086253369272237,0.8826490713587488,0.3346294989411315
large,arc,T,fit,all,670,32,0.04776119402985075,0.9380387931034483,0.4293978002109748
large,arc,T,fit,both_valid,670,32,0.04776119402985075,0.9380387931034483,0.4293978002109748
large,arc,T,cal,all,448,12,0.026785714285714284,0.946387614678899,0.32215384974975764
large,arc,T,cal,both_valid,448,12,0.026785714285714284,0.946387614678899,0.32215384974975764
large,arc,T,dev,all,299,15,0.05016722408026756,0.9518779342723005,0.36938046400975466
large,arc,T,dev,both_valid,299,15,0.05016722408026756,0.9518779342723005,0.36938046400975466
large,arc,C,fit,all,670,31,0.04626865671641791,0.9323287394618608,0.5281664550398567
large,arc,C,fit,both_valid,668,29,0.04341317365269461,0.9490313528681669,0.5271842750265656
large,arc,C,cal,all,448,21,0.046875,0.9005799040927845,0.39450845717771893
large,arc,C,cal,both_valid,447,20,0.0447427293064877,0.8968969555035128,0.38323577042357554
large,arc,C,dev,all,299,12,0.04013377926421405,0.9088269454123112,0.5063098816473641
large,arc,C,dev,both_valid,299,12,0.04013377926421405,0.9088269454123112,0.5063098816473641
small,obqa,T,fit,all,2100,977,0.46523809523809523,0.6531124136529309,0.5901410980611945
small,obqa,T,fit,both_valid,1897,800,0.42171850289931473,0.6745516180492251,0.5705392131442297
small,obqa,T,cal,all,1366,598,0.4377745241581259,0.6450091886148273,0.5542131744720427
small,obqa,T,cal,both_valid,1245,495,0.39759036144578314,0.6567824915824916,0.5230859213950538
small,obqa,T,dev,all,742,339,0.4568733153638814,0.6414282263554317,0.5715733864095656
small,obqa,T,dev,both_valid,685,288,0.42043795620437957,0.6506830744472432,0.5450521946349556
small,obqa,C,fit,all,2100,998,0.47523809523809524,0.7223776045739392,0.6448984713064962
small,obqa,C,fit,both_valid,2002,900,0.44955044955044954,0.7251487194998992,0.6255863395804906
small,obqa,C,cal,all,1366,640,0.4685212298682284,0.7067267131542699,0.6262667785536881
small,obqa,C,cal,both_valid,1304,578,0.4432515337423313,0.7116255349976647,0.6076853226094674
small,obqa,C,dev,all,742,350,0.4716981132075472,0.7002332361516035,0.6167770584929302
small,obqa,C,dev,both_valid,717,325,0.45327754532775455,0.7072527472527472,0.6056380886391496
small,arc,T,fit,all,670,344,0.5134328358208955,0.6259987159366529,0.6317052823414322
small,arc,T,fit,both_valid,557,253,0.4542190305206463,0.6647337216559184,0.612906800468696
small,arc,T,cal,all,448,233,0.5200892857142857,0.6444355724124164,0.6304307705984449
small,arc,T,cal,both_valid,365,168,0.4602739726027397,0.662678269277254,0.5881896878021802
small,arc,T,dev,all,299,145,0.48494983277591974,0.6339901477832514,0.5998159724074159
small,arc,T,dev,both_valid,256,112,0.4375,0.6560019841269842,0.5812514052747872
small,arc,C,fit,all,670,360,0.5373134328358209,0.742105734767025,0.7048191678242575
small,arc,C,fit,both_valid,608,300,0.4934210526315789,0.7497186147186146,0.6752627256583446
small,arc,C,cal,all,448,254,0.5669642857142857,0.7065305625456612,0.7174798547579345
small,arc,C,cal,both_valid,397,203,0.5113350125944585,0.7191610380376823,0.6783983848331796
small,arc,C,dev,all,299,160,0.5351170568561873,0.6406474820143885,0.6159254527385358
small,arc,C,dev,both_valid,264,127,0.4810606060606061,0.6446922236910166,0.5663996930797386
