q,threshold,N_cal,routed,changed,coverage,conditional_disagreement,p_value,CP_upper_0_999,accepted,task,reference,pair
0.05,0.0,448,256,1,0.5714285714285714,0.00390625,2.869604513945975e-05,0.03549367300213845,True,arc,C,medium
0.1,0.0,448,256,1,0.5714285714285714,0.00390625,2.869604513945975e-05,0.03549367300213845,True,arc,C,medium
0.15,0.0,448,256,1,0.5714285714285714,0.00390625,2.869604513945975e-05,0.03549367300213845,True,arc,C,medium
0.2,0.0,448,256,1,0.5714285714285714,0.00390625,2.869604513945975e-05,0.03549367300213845,True,arc,C,medium
0.25,0.0,448,256,1,0.5714285714285714,0.00390625,2.869604513945975e-05,0.03549367300213845,True,arc,C,medium
0.3,0.0,448,256,1,0.5714285714285714,0.00390625,2.869604513945975e-05,0.03549367300213845,True,arc,C,medium
0.35,0.0,448,256,1,0.5714285714285714,0.00390625,2.869604513945975e-05,0.03549367300213845,True,arc,C,medium
0.4,0.0,448,256,1,0.5714285714285714,0.00390625,2.869604513945975e-05,0.03549367300213845,True,arc,C,medium
0.45,0.0,448,256,1,0.5714285714285714,0.00390625,2.869604513945975e-05,0.03549367300213845,True,arc,C,medium
0.5,0.0,448,256,1,0.5714285714285714,0.00390625,2.869604513945975e-05,0.03549367300213845,True,arc,C,medium
0.55,0.0,448,256,1,0.5714285714285714,0.00390625,2.869604513945975e-05,0.03549367300213845,True,arc,C,medium
0.6,3.5762786865234375e-07,448,290,1,0.6473214285714286,0.0034482758620689655,5.637030858186349e-06,0.03139127484505013,True,arc,C,medium
0.65,2.86102294921875e-06,448,319,8,0.7120535714285714,0.025078369905956112,0.020188857534198048,0.06496336115460545,False,arc,C,medium
0.7,1.4424324035644531e-05,448,340,12,0.7589285714285714,0.03529411764705882,0.1286232192539417,0.07774266996115403,False,arc,C,medium
0.75,0.00010406970977783203,448,363,15,0.8102678571428571,0.04132231404958678,0.2688096704715765,0.08415428350736072,False,arc,C,medium
0.8,0.0007124543190002441,448,378,21,0.84375,0.05555555555555555,0.7375221432334713,0.10164102032395052,False,arc,C,medium
0.85,0.006693124771118164,448,399,28,0.890625,0.07017543859649122,0.9701412162837652,0.1184754419829088,False,arc,C,medium
0.9,0.0388069748878479,448,417,40,0.9308035714285714,0.09592326139088729,0.9999629592471685,0.14831428165065705,False,arc,C,medium
0.95,0.14804726839065552,448,427,43,0.953125,0.10070257611241218,0.9999938030646686,0.15325118271855118,False,arc,C,medium
1.0,Infinity,448,448,55,1.0,0.12276785714285714,0.9999999995391669,0.17745547922795235,False,arc,C,medium
