q,threshold,N_cal,routed,changed,coverage,conditional_disagreement,p_value,CP_upper_0_999,accepted,task,reference,pair
0.05,0.0,448,256,12,0.5714285714285714,0.046875,0.48296017845249306,0.10249754525175182,False,arc,T,medium
0.1,0.0,448,256,12,0.5714285714285714,0.046875,0.48296017845249306,0.10249754525175182,False,arc,T,medium
0.15,0.0,448,256,12,0.5714285714285714,0.046875,0.48296017845249306,0.10249754525175182,False,arc,T,medium
0.2,0.0,448,256,12,0.5714285714285714,0.046875,0.48296017845249306,0.10249754525175182,False,arc,T,medium
0.25,0.0,448,256,12,0.5714285714285714,0.046875,0.48296017845249306,0.10249754525175182,False,arc,T,medium
0.3,0.0,448,256,12,0.5714285714285714,0.046875,0.48296017845249306,0.10249754525175182,False,arc,T,medium
0.35,0.0,448,256,12,0.5714285714285714,0.046875,0.48296017845249306,0.10249754525175182,False,arc,T,medium
0.4,0.0,448,256,12,0.5714285714285714,0.046875,0.48296017845249306,0.10249754525175182,False,arc,T,medium
0.45,0.0,448,256,12,0.5714285714285714,0.046875,0.48296017845249306,0.10249754525175182,False,arc,T,medium
0.5,0.0,448,256,12,0.5714285714285714,0.046875,0.48296017845249306,0.10249754525175182,False,arc,T,medium
0.55,0.0,448,256,12,0.5714285714285714,0.046875,0.48296017845249306,0.10249754525175182,False,arc,T,medium
0.6,3.5762786865234375e-07,448,290,16,0.6473214285714286,0.05517241379310345,0.7148111634360568,0.10928937983111124,False,arc,T,medium
0.65,2.86102294921875e-06,448,319,22,0.7120535714285714,0.06896551724137931,0.9479479815646966,0.12385711076788637,False,arc,T,medium
0.7,1.4424324035644531e-05,448,340,29,0.7589285714285714,0.08529411764705883,0.9979058313339529,0.1419970322938119,False,arc,T,medium
0.75,0.00010406970977783203,448,363,33,0.8102678571428571,0.09090909090909091,0.9996061176942638,0.14665587704737384,False,arc,T,medium
0.8,0.0007124543190002441,448,378,37,0.84375,0.09788359788359788,0.9999567303557645,0.15370512377588277,False,arc,T,medium
0.85,0.006693124771118164,448,399,45,0.890625,0.11278195488721804,0.9999998279597505,0.1695328955341437,False,arc,T,medium
0.9,0.0388069748878479,448,417,55,0.9308035714285714,0.13189448441247004,0.9999999999704784,0.19019663861374772,False,arc,T,medium
0.95,0.14804726839065552,448,427,60,0.953125,0.1405152224824356,0.9999999999997254,0.19925306064340825,False,arc,T,medium
1.0,Infinity,448,448,67,1.0,0.14955357142857142,0.9999999999999994,0.20791361841253944,False,arc,T,medium
