q,threshold,N_cal,routed,changed,coverage,conditional_disagreement,p_value,CP_upper_0_999,accepted,task,reference,pair
0.05,0.0,1366,601,7,0.43997071742313326,0.011647254575707155,3.164140331277832e-07,0.0323142927729575,True,obqa,C,medium
0.1,0.0,1366,601,7,0.43997071742313326,0.011647254575707155,3.164140331277832e-07,0.0323142927729575,True,obqa,C,medium
0.15,0.0,1366,601,7,0.43997071742313326,0.011647254575707155,3.164140331277832e-07,0.0323142927729575,True,obqa,C,medium
0.2,0.0,1366,601,7,0.43997071742313326,0.011647254575707155,3.164140331277832e-07,0.0323142927729575,True,obqa,C,medium
0.25,0.0,1366,601,7,0.43997071742313326,0.011647254575707155,3.164140331277832e-07,0.0323142927729575,True,obqa,C,medium
0.3,0.0,1366,601,7,0.43997071742313326,0.011647254575707155,3.164140331277832e-07,0.0323142927729575,True,obqa,C,medium
0.35,0.0,1366,601,7,0.43997071742313326,0.011647254575707155,3.164140331277832e-07,0.0323142927729575,True,obqa,C,medium
0.4,0.0,1366,601,7,0.43997071742313326,0.011647254575707155,3.164140331277832e-07,0.0323142927729575,True,obqa,C,medium
0.45,0.0,1366,601,7,0.43997071742313326,0.011647254575707155,3.164140331277832e-07,0.0323142927729575,True,obqa,C,medium
0.5,2.384185791015625e-07,1366,665,10,0.4868228404099561,0.015037593984962405,1.5120047013892325e-06,0.035907357568422664,True,obqa,C,medium
0.55,1.3113021850585938e-06,1366,739,19,0.54099560761347,0.02571041948579161,0.0006941865963785939,0.0490693013388247,True,obqa,C,medium
0.6,6.139278411865234e-06,1366,800,34,0.5856515373352855,0.0425,0.1873448688117782,0.06922476815790873,False,obqa,C,medium
0.65,3.540515899658203e-05,1366,880,50,0.6442166910688141,0.056818181818181816,0.8427748666984409,0.08502023816089761,False,obqa,C,medium
0.7,0.0002611875534057617,1366,959,72,0.7020497803806734,0.07507820646506778,0.9996797084595249,0.10494860088522313,False,obqa,C,medium
0.75,0.0011908411979675293,1366,1019,89,0.7459736456808199,0.0873405299313052,0.9999997785199007,0.1179327822554593,False,obqa,C,medium
0.8,0.006693124771118164,1366,1089,113,0.7972181551976574,0.10376492194674013,0.9999999999997655,0.13524979742493337,False,obqa,C,medium
0.85,0.023698091506958008,1366,1155,143,0.8455344070278185,0.12380952380952381,1.0,0.15638284914584985,False,obqa,C,medium
0.9,0.09535020589828491,1366,1219,173,0.8923865300146413,0.14191960623461855,1.0,0.17518072760142922,False,obqa,C,medium
0.95,0.22961032390594482,1366,1293,208,0.9465592972181552,0.1608662026295437,1.0,0.19457061713140697,False,obqa,C,medium
1.0,Infinity,1366,1366,242,1.0,0.17715959004392387,1.0,0.2110117239507509,False,obqa,C,medium
