task,split,reference,scope,N,disagreement_count,disagreement_prevalence,AUROC,AP
obqa,fit,T,independent_representatives,2100,512,0.2438095238095238,0.7977451737641688,0.5352127268837499
obqa,fit,T,all_original_rows,2100,512,0.2438095238095238,0.7977451737641688,0.5352127268837499
obqa,fit,C,independent_representatives,2100,353,0.1680952380952381,0.8618149121683308,0.4899976263065715
obqa,fit,C,all_original_rows,2100,353,0.1680952380952381,0.8618149121683308,0.4899976263065715
obqa,cal,T,independent_representatives,1366,348,0.2547584187408492,0.7912234943432015,0.527969208156546
obqa,cal,T,all_original_rows,1366,348,0.2547584187408492,0.7912234943432015,0.527969208156546
obqa,cal,C,independent_representatives,1366,242,0.17715959004392387,0.8359441634069588,0.45210804328618437
obqa,cal,C,all_original_rows,1366,242,0.17715959004392387,0.8359441634069588,0.45210804328618437
obqa,dev,T,independent_representatives,742,174,0.23450134770889489,0.7865418083211915,0.49412288535132
obqa,dev,T,all_original_rows,742,174,0.23450134770889489,0.7865418083211915,0.49412288535132
obqa,dev,C,independent_representatives,742,131,0.1765498652291105,0.8401069451905898,0.5018988392851561
obqa,dev,C,all_original_rows,742,131,0.1765498652291105,0.8401069451905898,0.5018988392851561
arc,fit,T,independent_representatives,670,134,0.2,0.8302517264424147,0.5337339888347605
arc,fit,T,all_original_rows,671,135,0.20119225037257824,0.8307559425096739,0.5350819521927779
arc,fit,C,independent_representatives,670,107,0.15970149253731344,0.8820653707607775,0.5635633312634349
arc,fit,C,all_original_rows,671,107,0.15946348733233978,0.8815702260224035,0.5626553577500879
arc,cal,T,independent_representatives,448,67,0.14955357142857142,0.7751596348963843,0.3591892369901585
arc,cal,T,all_original_rows,448,67,0.14955357142857142,0.7751596348963843,0.3591892369901585
arc,cal,C,independent_representatives,448,55,0.12276785714285714,0.9042100393245431,0.5641441818018927
arc,cal,C,all_original_rows,448,55,0.12276785714285714,0.9042100393245431,0.5641441818018927
arc,dev,T,independent_representatives,299,52,0.17391304347826086,0.7421753347866709,0.4121507805861834
arc,dev,T,all_original_rows,299,52,0.17391304347826086,0.7421753347866709,0.4121507805861834
arc,dev,C,independent_representatives,299,48,0.1605351170568562,0.9097360557768924,0.6110671173744279
arc,dev,C,all_original_rows,299,48,0.1605351170568562,0.9097360557768924,0.6110671173744279
