task,split,reference,scope,N,disagreement_count,disagreement_prevalence,AUROC,AP
obqa,fit,T,all_representatives,2100,512,0.2438095238095238,0.7977451737641688,0.5352127268837499
obqa,fit,T,both_valid_diagnostic,2075,489,0.23566265060240965,0.7964480874316942,0.5244135900963449
obqa,fit,C,all_representatives,2100,353,0.1680952380952381,0.8618149121683308,0.4899976263065715
obqa,fit,C,both_valid_diagnostic,2041,300,0.14698677119059284,0.873812942753207,0.4713349284285453
obqa,cal,T,all_representatives,1366,348,0.2547584187408492,0.7912234943432015,0.527969208156546
obqa,cal,T,both_valid_diagnostic,1350,332,0.24592592592592594,0.7861682486330391,0.5040097130222243
obqa,cal,C,all_representatives,1366,242,0.17715959004392387,0.8359441634069588,0.45210804328618437
obqa,cal,C,both_valid_diagnostic,1315,194,0.14752851711026616,0.8374288420684771,0.4099919756938957
obqa,dev,T,all_representatives,742,174,0.23450134770889489,0.7865418083211915,0.49412288535132
obqa,dev,T,both_valid_diagnostic,733,165,0.22510231923601637,0.7794654289372599,0.4713679840713899
obqa,dev,C,all_representatives,742,131,0.1765498652291105,0.8401069451905898,0.5018988392851561
obqa,dev,C,both_valid_diagnostic,721,113,0.15672676837725383,0.8491572543083373,0.48547960181634264
arc,fit,T,all_representatives,670,134,0.2,0.8302517264424147,0.5337339888347605
arc,fit,T,both_valid_diagnostic,665,129,0.19398496240601504,0.8297032280458174,0.5167141922362255
arc,fit,C,all_representatives,670,107,0.15970149253731344,0.8820653707607775,0.5635633312634349
arc,fit,C,both_valid_diagnostic,641,78,0.12168486739469579,0.8910597986974542,0.4983309083828237
arc,cal,T,all_representatives,448,67,0.14955357142857142,0.7751596348963843,0.3591892369901585
arc,cal,T,both_valid_diagnostic,445,64,0.14382022471910114,0.770156660104987,0.3470994762147841
arc,cal,C,all_representatives,448,55,0.12276785714285714,0.9042100393245431,0.5641441818018927
arc,cal,C,both_valid_diagnostic,433,42,0.09699769053117784,0.9095725246620388,0.5354272681837914
arc,dev,T,all_representatives,299,52,0.17391304347826086,0.7421753347866709,0.4121507805861834
arc,dev,T,both_valid_diagnostic,297,50,0.16835016835016836,0.7364777327935222,0.40464740327163984
arc,dev,C,all_representatives,299,48,0.1605351170568562,0.9097360557768924,0.6110671173744279
arc,dev,C,both_valid_diagnostic,285,34,0.11929824561403508,0.9036794000468714,0.5121630992844312
