task,split,request,N,mean,min,p05,median,p95,max,exact_zero_count,identity
obqa,fit,R,2100,216.90647231891663,63.313544960692525,125.16132621094584,218.71546399779618,282.40695282584056,657.5701150577515,0,formal action runtime diagnostic; no E2E replay or component cost measurement
obqa,fit,T,2100,885.2130068405088,317.3977960832417,403.01968062995,795.183043461293,1792.4311272799969,3763.0993290804327,0,formal action runtime diagnostic; no E2E replay or component cost measurement
obqa,fit,C,2100,394.3348752016512,179.6923829242587,328.27010358450934,390.19012555945665,521.2441202253103,2089.2229289747775,0,formal action runtime diagnostic; no E2E replay or component cost measurement
obqa,fit,ProbeMax,2100,32.88721251966698,32.00382087379694,32.213490817230195,32.697777496650815,33.444254484493285,233.93759806640446,0,formal probe runtime diagnostic; no policy-cost recomposition
obqa,cal,R,1366,215.83466017980123,63.6634798720479,66.57462764997035,220.81746847834438,284.14649405749515,472.71729190833867,0,formal action runtime diagnostic; no E2E replay or component cost measurement
obqa,cal,T,1366,889.7432352860743,298.53915399871767,410.3396125137806,811.0850584926084,1782.2054916177876,3176.5263190027326,0,formal action runtime diagnostic; no E2E replay or component cost measurement
obqa,cal,C,1366,399.52532399348956,237.263668095693,330.6474178098142,393.431261414662,527.3579048225656,1405.2945340517908,0,formal action runtime diagnostic; no E2E replay or component cost measurement
obqa,cal,ProbeMax,1366,33.104831821559266,32.01796696521342,32.35713834874332,32.92033961042762,33.60488312318921,172.88541398011148,0,formal probe runtime diagnostic; no policy-cost recomposition
obqa,dev,R,742,216.421133410901,64.6489760838449,65.79734642291442,221.33404400665313,284.5068770926446,505.8492929674685,0,formal action runtime diagnostic; no E2E replay or component cost measurement
obqa,dev,T,742,859.0991579098477,348.8700990565121,419.42185705993325,790.0694380514324,1643.341257947031,3040.9897768404335,0,formal action runtime diagnostic; no E2E replay or component cost measurement
obqa,dev,C,742,394.46614842141435,181.5490168519318,334.6603127080016,396.16328896954656,524.377143534366,1350.345138926059,0,formal action runtime diagnostic; no E2E replay or component cost measurement
obqa,dev,ProbeMax,742,33.35608121521038,32.05999894998968,32.801611290778965,33.06631662417203,33.51702323416248,158.60830200836062,0,formal probe runtime diagnostic; no policy-cost recomposition
arc,fit,R,671,233.53738382343485,64.82042511925101,174.0640290081501,222.38482884131372,347.40635054185987,600.2409639768302,0,formal action runtime diagnostic; no E2E replay or component cost measurement
arc,fit,T,671,1092.9039396816136,323.8404479343444,449.578472529538,919.8744699824601,2339.2282869899645,4373.703364981338,0,formal action runtime diagnostic; no E2E replay or component cost measurement
arc,fit,C,671,437.06638762732933,183.86112712323666,334.3508980469778,400.84381494671106,654.3206949718297,1667.8899060934782,0,formal action runtime diagnostic; no E2E replay or component cost measurement
arc,fit,ProbeMax,671,33.19934479012286,32.193126156926155,32.570607494562864,33.21386897005141,33.717471989803016,45.46299786306918,0,formal probe runtime diagnostic; no policy-cost recomposition
arc,cal,R,448,230.60352660468197,65.09384815581143,160.5536779621616,223.4647311270237,319.9326889705844,568.2766761165112,0,formal action runtime diagnostic; no E2E replay or component cost measurement
arc,cal,T,448,1065.6688077386727,351.55326989479363,470.57025564135984,927.2434420417994,2042.4961097654887,6642.562620807439,0,formal action runtime diagnostic; no E2E replay or component cost measurement
arc,cal,C,448,459.75759932896057,244.9794381391257,336.83135710889474,430.678655509837,688.3548301411793,2957.8387660440058,0,formal action runtime diagnostic; no E2E replay or component cost measurement
arc,cal,ProbeMax,448,33.4357396293074,32.77495107613504,32.92903210967779,33.412887481972575,33.99752165423706,34.474636195227504,0,formal probe runtime diagnostic; no policy-cost recomposition
arc,dev,R,299,229.12090567927996,64.3605780787766,159.47853296529502,222.59209491312504,316.85566643718624,474.9907120130956,0,formal action runtime diagnostic; no E2E replay or component cost measurement
arc,dev,T,299,1076.308742399175,356.29012901335955,458.92320692073554,945.9947599098086,2127.807624544948,2918.679071124643,0,formal action runtime diagnostic; no E2E replay or component cost measurement
arc,dev,C,299,445.49073454033095,243.17011795938015,331.46144868806005,422.15395509265363,684.643308375962,1568.2339118793607,0,formal action runtime diagnostic; no E2E replay or component cost measurement
arc,dev,ProbeMax,299,33.18859624558044,32.11683686822653,32.43820599745959,33.229047898203135,33.820288022980094,34.40840705297887,0,formal probe runtime diagnostic; no policy-cost recomposition
