pair,dataset,family,fold,action,fit_gain,fit_harm,fit_flips,fit_zero_gain_flips,delta_shrunk,fit_flip_rate,heldout_flips,heldout_gain,heldout_harm,heldout_zero_gain_flips,heldout_signed_gain_per_flip_DIAGNOSTIC,fit_panel_n,c_ref_ms,cost_proxy_ms
large,obqa,word,0,T,175,53,275,47,0.4404332129963899,0.0992063492063492,71,44,18,9,0.36619718309859156,202,252.59167826237632,962.3694355495052
large,obqa,word,0,C,56,113,230,61,-0.24568965517241378,0.08297258297258298,57,18,31,8,-0.22807017543859648,202,252.59167826237632,332.5386722524754
large,obqa,word,0,A,9,7,29,13,0.06451612903225806,0.010461760461760462,9,3,3,3,0.0,202,252.59167826237632,284.92593472277235
large,obqa,word,1,T,179,61,284,44,0.4125874125874126,0.10241615578795528,62,40,10,12,0.4838709677419355,199,252.15893893467336,964.3816770301509
large,obqa,word,1,C,58,115,229,56,-0.24675324675324675,0.08258204111071042,58,16,29,13,-0.22413793103448276,199,252.15893893467336,334.8506048442212
large,obqa,word,1,A,11,8,34,15,0.08333333333333333,0.012261089073205915,4,1,2,1,-0.25,199,252.15893893467336,284.6283454623117
large,obqa,word,2,T,171,60,280,49,0.39361702127659576,0.1009736747205193,66,48,11,7,0.5606060606060606,213,252.21100207981212,959.9771617464788
large,obqa,word,2,C,64,120,236,52,-0.23529411764705882,0.0851063829787234,51,10,24,17,-0.27450980392156865,213,252.21100207981212,331.3397817089203
large,obqa,word,2,A,7,10,28,11,-0.1,0.01009736747205193,10,5,0,5,0.5,213,252.21100207981212,285.64180882629125
large,obqa,word,3,T,180,59,281,42,0.4275618374558304,0.1013342949873783,65,39,12,14,0.4153846153846154,208,251.78001504807693,957.9958646875
large,obqa,word,3,C,60,114,227,53,-0.23580786026200873,0.08186080057699242,60,14,30,16,-0.26666666666666666,208,251.78001504807693,336.5149266730772
large,obqa,word,3,A,11,9,34,14,0.05555555555555555,0.012261089073205915,4,1,1,2,0.0,208,251.78001504807693,284.3780069423077
large,obqa,word,4,T,171,51,264,42,0.45112781954887216,0.09520375045077534,82,48,20,14,0.34146341463414637,202,253.0488131782179,962.9486578762378
large,obqa,word,4,C,58,114,226,54,-0.24561403508771928,0.08150018031013342,61,16,30,15,-0.22950819672131148,202,253.0488131782179,326.6106963811882
large,obqa,word,4,A,10,6,27,11,0.13793103448275862,0.009736747205192933,11,2,4,5,-0.18181818181818182,202,253.0488131782179,286.167261559406
large,obqa,semantic,0,T,175,53,275,47,0.4404332129963899,0.0992063492063492,71,44,18,9,0.36619718309859156,202,252.59167826237632,962.3694355495052
large,obqa,semantic,0,C,56,113,230,61,-0.24568965517241378,0.08297258297258298,57,18,31,8,-0.22807017543859648,202,252.59167826237632,332.5386722524754
large,obqa,semantic,0,A,9,7,29,13,0.06451612903225806,0.010461760461760462,9,3,3,3,0.0,202,252.59167826237632,284.92593472277235
large,obqa,semantic,1,T,179,61,284,44,0.4125874125874126,0.10241615578795528,62,40,10,12,0.4838709677419355,199,252.15893893467336,964.3816770301509
large,obqa,semantic,1,C,58,115,229,56,-0.24675324675324675,0.08258204111071042,58,16,29,13,-0.22413793103448276,199,252.15893893467336,334.8506048442212
large,obqa,semantic,1,A,11,8,34,15,0.08333333333333333,0.012261089073205915,4,1,2,1,-0.25,199,252.15893893467336,284.6283454623117
large,obqa,semantic,2,T,171,60,280,49,0.39361702127659576,0.1009736747205193,66,48,11,7,0.5606060606060606,213,252.21100207981212,959.9771617464788
large,obqa,semantic,2,C,64,120,236,52,-0.23529411764705882,0.0851063829787234,51,10,24,17,-0.27450980392156865,213,252.21100207981212,331.3397817089203
large,obqa,semantic,2,A,7,10,28,11,-0.1,0.01009736747205193,10,5,0,5,0.5,213,252.21100207981212,285.64180882629125
large,obqa,semantic,3,T,180,59,281,42,0.4275618374558304,0.1013342949873783,65,39,12,14,0.4153846153846154,208,251.78001504807693,957.9958646875
