pair,dataset,fold,fit_panel_n,heldout_panel_n,fit_panel_ids,heldout_excluded
large,obqa,0,202,54,13-560|10-1013|13-184|9-392|12-1114|246|9-139|11-740|1364|12-337|10-884|10-548|14-1274|10-604|14-407|12-554|14-1332|12-176|9-295|14-1229|12-235|9-269|10-1178|11-339|13-867|7-1083|11-52|12-273|9-963|13-39|7-1027|12-532|12-145|13-624|14-1151|12-962|11-219|10-167|11-8|7-592|13-515|12-870|9-946|14-644|10-258|10-367|12-400|12-790|10-472|12-992|12-351|14-981|13-351|13-664|8-319|14-625|13-233|10-579|14-1364|12-1059|14-1382|7-982|9-36|13-482|13-307|10-1176|12-918|10-647|10-159|9-497|11-628|11-576|7-368|12-942|13-1022|8-40|10-810|12-916|10-771|10-449|14-957|13-810|14-694|12-841|8-184|13-336|10-310|12-240|10-409|12-331|13-722|9-1176|12-344|13-494|1030|7-348|12-756|12-365|12-899|14-1396|14-1008|13-94|11-346|10-190|10-172|7-622|14-90|573|1111|13-1039|12-772|7-475|9-1106|13-350|14-32|1509|7-1070|11-553|13-735|14-787|8-476|12-329|10-1101|12-825|14-1141|11-471|10-1113|11-385|9-1051|11-468|10-628|12-371|13-903|10-742|1154|11-651|848|9-761|13-986|10-279|7-317|814|10-72|10-924|13-97|12-456|10-1050|14-24|13-206|14-702|12-245|10-1076|14-1456|11-18|14-821|12-668|12-993|10-1118|12-1004|11-307|8-484|896|9-723|11-61|10-706|10-70|750|11-323|1011|12-1044|196|12-807|11-549|14-359|9-845|7-1073|7-1147|13-839|11-641|12-583|14-549|1163|13-262|10-487|9-31|10-357|11-459|76|9-356|14-436|13-1043|11-689|13-961|8-286|10-1010|8-413|13-323|9-917|14-661|595|12-126|9-412,True
large,obqa,1,199,57,1005|13-560|10-1013|11-728|12-1114|9-139|11-740|7-716|1364|10-548|9-459|14-1274|14-1332|12-176|14-1229|14-935|12-784|12-235|9-269|10-1178|11-339|7-1083|12-273|13-39|13-674|12-145|7-1065|14-1151|13-555|12-642|12-962|11-219|7-576|7-312|11-594|7-592|13-515|12-870|9-737|10-940|9-946|10-258|12-400|12-790|12-992|12-351|14-981|13-351|8-319|14-625|14-1364|12-1059|14-1382|9-36|13-482|13-307|12-918|10-647|10-159|11-628|8-283|14-344|12-942|13-1022|8-40|10-634|10-810|12-916|10-771|10-449|13-810|10-541|12-691|12-841|12-90|8-184|10-310|12-240|12-331|13-722|9-1176|12-344|7-362|13-494|1030|7-348|10-710|14-1396|14-1008|13-94|10-296|10-190|7-622|14-90|13-1039|12-772|7-475|13-350|14-32|1509|7-1070|11-553|13-735|14-787|8-476|12-329|10-1101|12-825|14-1141|11-471|10-1113|12-216|11-385|9-1051|13-11|11-468|8-232|10-628|13-903|7-1130|14-492|10-742|1154|11-651|848|9-761|10-279|814|10-72|10-924|13-97|12-456|10-1050|14-24|11-286|7-1193|14-462|14-702|9-1195|12-245|14-643|10-1076|14-1456|9-708|11-18|14-821|12-668|12-993|10-1118|11-272|11-508|12-1004|11-307|8-484|118|13-200|10-695|9-723|8-120|10-1017|11-61|13-630|11-323|1011|10-840|12-1044|12-807|11-549|9-845|7-1073|13-839|11-641|12-583|14-549|1163|1895|7-885|10-487|9-31|10-357|11-459|76|9-679|9-356|13-1043|8-286|10-554|11-329|10-1010|12-588|8-413|1891|14-661|595|12-126|10-309|14-805|14-1464|9-412,True
large,obqa,2,213,43,1005|13-560|13-184|11-728|9-392|12-1114|246|11-740|7-716|1364|12-337|10-884|9-459|14-1274|10-604|14-407|12-554|14-1332|9-295|14-1229|14-935|12-784|12-235|10-1178|11-339|13-867|7-1083|11-52|9-963|13-674|7-1027|12-532|13-624|7-1065|14-1151|13-555|12-642|12-962|7-576|7-312|10-167|11-594|11-8|7-592|12-870|9-737|10-940|9-946|14-644|10-258|10-367|12-400|10-472|12-992|12-351|14-981|13-351|13-664|14-625|13-233|10-579|14-1364|12-1059|14-1382|7-982|13-307|10-1176|12-918|10-647|10-159|9-497|11-628|11-576|8-283|14-344|7-368|13-1022|8-40|10-634|12-916|10-771|10-449|14-957|13-810|14-694|10-541|12-691|12-841|12-90|8-184|13-336|10-310|10-409|12-331|13-722|7-362|1030|7-348|12-756|10-710|12-365|12-899|14-1008|13-94|10-296|11-346|10-172|14-90|573|1111|13-1039|12-772|7-475|9-1106|13-350|14-32|7-1070|11-553|13-735|14-787|8-476|12-329|10-1101|12-825|14-1141|11-471|12-216|11-385|13-11|11-468|8-232|10-628|12-371|13-903|7-1130|14-492|1154|11-651|848|9-761|13-986|10-279|7-317|814|10-72|13-97|10-1050|11-286|13-206|7-1193|14-462|9-1195|12-245|14-643|10-1076|9-708|12-668|12-993|10-1118|11-272|11-508|12-1004|8-484|118|13-200|896|10-695|9-723|8-120|10-1017|11-61|13-630|10-706|10-70|750|11-323|1011|10-840|12-1044|196|12-807|14-359|7-1073|7-1147|12-583|14-549|13-262|1895|7-885|10-487|9-31|10-357|76|9-679|9-356|14-436|11-689|13-961|8-286|10-554|11-329|10-1010|12-588|8-413|1891|13-323|9-917|595|12-126|10-309|14-805|14-1464|9-412,True
large,obqa,3,208,48,1005|13-560|10-1013|13-184|11-728|9-392|12-1114|246|9-139|7-716|12-337|10-884|10-548|9-459|14-1274|10-604|14-407|12-554|14-1332|12-176|9-295|14-1229|14-935|12-784|12-235|9-269|11-339|13-867|11-52|12-273|9-963|13-39|13-674|7-1027|12-532|12-145|13-624|7-1065|14-1151|13-555|12-642|11-219|7-576|7-312|10-167|11-594|11-8|13-515|9-737|10-940|9-946|14-644|10-258|10-367|12-400|12-790|10-472|12-992|14-981|13-351|13-664|8-319|14-625|13-233|10-579|14-1364|14-1382|7-982|9-36|13-482|10-1176|12-918|9-497|11-628|11-576|8-283|14-344|7-368|12-942|8-40|10-634|10-810|12-916|10-771|10-449|14-957|14-694|10-541|12-691|12-841|12-90|13-336|10-310|12-240|10-409|12-331|9-1176|12-344|7-362|13-494|1030|12-756|10-710|12-365|12-899|14-1396|13-94|10-296|11-346|10-190|10-172|7-622|14-90|573|1111|13-1039|9-1106|1509|7-1070|11-553|14-787|10-1101|14-1141|11-471|10-1113|12-216|9-1051|13-11|11-468|8-232|12-371|13-903|7-1130|14-492|10-742|13-986|10-279|7-317|814|10-72|10-924|12-456|10-1050|14-24|11-286|13-206|7-1193|14-462|14-702|9-1195|14-643|14-1456|9-708|11-18|14-821|12-668|12-993|11-272|11-508|12-1004|11-307|118|13-200|896|10-695|8-120|10-1017|11-61|13-630|10-706|10-70|750|11-323|1011|10-840|196|11-549|14-359|9-845|7-1073|7-1147|13-839|11-641|1163|13-262|1895|7-885|10-357|11-459|76|9-679|14-436|13-1043|11-689|13-961|10-554|11-329|12-588|8-413|1891|13-323|9-917|14-661|595|10-309|14-805|14-1464|9-412,True
large,obqa,4,202,54,1005|10-1013|13-184|11-728|9-392|246|9-139|11-740|7-716|1364|12-337|10-884|10-548|9-459|10-604|14-407|12-554|12-176|9-295|14-935|12-784|9-269|10-1178|13-867|7-1083|11-52|12-273|9-963|13-39|13-674|7-1027|12-532|12-145|13-624|7-1065|13-555|12-642|12-962|11-219|7-576|7-312|10-167|11-594|11-8|7-592|13-515|12-870|9-737|10-940|14-644|10-367|12-790|10-472|12-351|13-664|8-319|13-233|10-579|12-1059|7-982|9-36|13-482|13-307|10-1176|10-647|10-159|9-497|11-576|8-283|14-344|7-368|12-942|13-1022|10-634|10-810|14-957|13-810|14-694|10-541|12-691|12-90|8-184|13-336|12-240|10-409|13-722|9-1176|12-344|7-362|13-494|7-348|12-756|10-710|12-365|12-899|14-1396|14-1008|10-296|11-346|10-190|10-172|7-622|573|1111|12-772|7-475|9-1106|13-350|14-32|1509|13-735|8-476|12-329|12-825|10-1113|12-216|11-385|9-1051|13-11|8-232|10-628|12-371|7-1130|14-492|10-742|1154|11-651|848|9-761|13-986|7-317|10-924|13-97|12-456|14-24|11-286|13-206|7-1193|14-462|14-702|9-1195|12-245|14-643|10-1076|14-1456|9-708|11-18|14-821|10-1118|11-272|11-508|11-307|8-484|118|13-200|896|10-695|9-723|8-120|10-1017|13-630|10-706|10-70|750|10-840|12-1044|196|12-807|11-549|14-359|9-845|7-1147|13-839|11-641|12-583|14-549|1163|13-262|1895|7-885|10-487|9-31|11-459|9-679|9-356|14-436|13-1043|11-689|13-961|8-286|10-554|11-329|10-1010|12-588|1891|13-323|9-917|14-661|12-126|10-309|14-805|14-1464,True
small,obqa,0,202,54,13-560|10-1013|13-184|9-392|12-1114|246|9-139|11-740|1364|12-337|10-884|10-548|14-1274|10-604|14-407|12-554|14-1332|12-176|9-295|14-1229|12-235|9-269|10-1178|11-339|13-867|7-1083|11-52|12-273|9-963|13-39|7-1027|12-532|12-145|13-624|14-1151|12-962|11-219|10-167|11-8|7-592|13-515|12-870|9-946|14-644|10-258|10-367|12-400|12-790|10-472|12-992|12-351|14-981|13-351|13-664|8-319|14-625|13-233|10-579|14-1364|12-1059|14-1382|7-982|9-36|13-482|13-307|10-1176|12-918|10-647|10-159|9-497|11-628|11-576|7-368|12-942|13-1022|8-40|10-810|12-916|10-771|10-449|14-957|13-810|14-694|12-841|8-184|13-336|10-310|12-240|10-409|12-331|13-722|9-1176|12-344|13-494|1030|7-348|12-756|12-365|12-899|14-1396|14-1008|13-94|11-346|10-190|10-172|7-622|14-90|573|1111|13-1039|12-772|7-475|9-1106|13-350|14-32|1509|7-1070|11-553|13-735|14-787|8-476|12-329|10-1101|12-825|14-1141|11-471|10-1113|11-385|9-1051|11-468|10-628|12-371|13-903|10-742|1154|11-651|848|9-761|13-986|10-279|7-317|814|10-72|10-924|13-97|12-456|10-1050|14-24|13-206|14-702|12-245|10-1076|14-1456|11-18|14-821|12-668|12-993|10-1118|12-1004|11-307|8-484|896|9-723|11-61|10-706|10-70|750|11-323|1011|12-1044|196|12-807|11-549|14-359|9-845|7-1073|7-1147|13-839|11-641|12-583|14-549|1163|13-262|10-487|9-31|10-357|11-459|76|9-356|14-436|13-1043|11-689|13-961|8-286|10-1010|8-413|13-323|9-917|14-661|595|12-126|9-412,True
small,obqa,1,199,57,1005|13-560|10-1013|11-728|12-1114|9-139|11-740|7-716|1364|10-548|9-459|14-1274|14-1332|12-176|14-1229|14-935|12-784|12-235|9-269|10-1178|11-339|7-1083|12-273|13-39|13-674|12-145|7-1065|14-1151|13-555|12-642|12-962|11-219|7-576|7-312|11-594|7-592|13-515|12-870|9-737|10-940|9-946|10-258|12-400|12-790|12-992|12-351|14-981|13-351|8-319|14-625|14-1364|12-1059|14-1382|9-36|13-482|13-307|12-918|10-647|10-159|11-628|8-283|14-344|12-942|13-1022|8-40|10-634|10-810|12-916|10-771|10-449|13-810|10-541|12-691|12-841|12-90|8-184|10-310|12-240|12-331|13-722|9-1176|12-344|7-362|13-494|1030|7-348|10-710|14-1396|14-1008|13-94|10-296|10-190|7-622|14-90|13-1039|12-772|7-475|13-350|14-32|1509|7-1070|11-553|13-735|14-787|8-476|12-329|10-1101|12-825|14-1141|11-471|10-1113|12-216|11-385|9-1051|13-11|11-468|8-232|10-628|13-903|7-1130|14-492|10-742|1154|11-651|848|9-761|10-279|814|10-72|10-924|13-97|12-456|10-1050|14-24|11-286|7-1193|14-462|14-702|9-1195|12-245|14-643|10-1076|14-1456|9-708|11-18|14-821|12-668|12-993|10-1118|11-272|11-508|12-1004|11-307|8-484|118|13-200|10-695|9-723|8-120|10-1017|11-61|13-630|11-323|1011|10-840|12-1044|12-807|11-549|9-845|7-1073|13-839|11-641|12-583|14-549|1163|1895|7-885|10-487|9-31|10-357|11-459|76|9-679|9-356|13-1043|8-286|10-554|11-329|10-1010|12-588|8-413|1891|14-661|595|12-126|10-309|14-805|14-1464|9-412,True
small,obqa,2,213,43,1005|13-560|13-184|11-728|9-392|12-1114|246|11-740|7-716|1364|12-337|10-884|9-459|14-1274|10-604|14-407|12-554|14-1332|9-295|14-1229|14-935|12-784|12-235|10-1178|11-339|13-867|7-1083|11-52|9-963|13-674|7-1027|12-532|13-624|7-1065|14-1151|13-555|12-642|12-962|7-576|7-312|10-167|11-594|11-8|7-592|12-870|9-737|10-940|9-946|14-644|10-258|10-367|12-400|10-472|12-992|12-351|14-981|13-351|13-664|14-625|13-233|10-579|14-1364|12-1059|14-1382|7-982|13-307|10-1176|12-918|10-647|10-159|9-497|11-628|11-576|8-283|14-344|7-368|13-1022|8-40|10-634|12-916|10-771|10-449|14-957|13-810|14-694|10-541|12-691|12-841|12-90|8-184|13-336|10-310|10-409|12-331|13-722|7-362|1030|7-348|12-756|10-710|12-365|12-899|14-1008|13-94|10-296|11-346|10-172|14-90|573|1111|13-1039|12-772|7-475|9-1106|13-350|14-32|7-1070|11-553|13-735|14-787|8-476|12-329|10-1101|12-825|14-1141|11-471|12-216|11-385|13-11|11-468|8-232|10-628|12-371|13-903|7-1130|14-492|1154|11-651|848|9-761|13-986|10-279|7-317|814|10-72|13-97|10-1050|11-286|13-206|7-1193|14-462|9-1195|12-245|14-643|10-1076|9-708|12-668|12-993|10-1118|11-272|11-508|12-1004|8-484|118|13-200|896|10-695|9-723|8-120|10-1017|11-61|13-630|10-706|10-70|750|11-323|1011|10-840|12-1044|196|12-807|14-359|7-1073|7-1147|12-583|14-549|13-262|1895|7-885|10-487|9-31|10-357|76|9-679|9-356|14-436|11-689|13-961|8-286|10-554|11-329|10-1010|12-588|8-413|1891|13-323|9-917|595|12-126|10-309|14-805|14-1464|9-412,True
small,obqa,3,208,48,1005|13-560|10-1013|13-184|11-728|9-392|12-1114|246|9-139|7-716|12-337|10-884|10-548|9-459|14-1274|10-604|14-407|12-554|14-1332|12-176|9-295|14-1229|14-935|12-784|12-235|9-269|11-339|13-867|11-52|12-273|9-963|13-39|13-674|7-1027|12-532|12-145|13-624|7-1065|14-1151|13-555|12-642|11-219|7-576|7-312|10-167|11-594|11-8|13-515|9-737|10-940|9-946|14-644|10-258|10-367|12-400|12-790|10-472|12-992|14-981|13-351|13-664|8-319|14-625|13-233|10-579|14-1364|14-1382|7-982|9-36|13-482|10-1176|12-918|9-497|11-628|11-576|8-283|14-344|7-368|12-942|8-40|10-634|10-810|12-916|10-771|10-449|14-957|14-694|10-541|12-691|12-841|12-90|13-336|10-310|12-240|10-409|12-331|9-1176|12-344|7-362|13-494|1030|12-756|10-710|12-365|12-899|14-1396|13-94|10-296|11-346|10-190|10-172|7-622|14-90|573|1111|13-1039|9-1106|1509|7-1070|11-553|14-787|10-1101|14-1141|11-471|10-1113|12-216|9-1051|13-11|11-468|8-232|12-371|13-903|7-1130|14-492|10-742|13-986|10-279|7-317|814|10-72|10-924|12-456|10-1050|14-24|11-286|13-206|7-1193|14-462|14-702|9-1195|14-643|14-1456|9-708|11-18|14-821|12-668|12-993|11-272|11-508|12-1004|11-307|118|13-200|896|10-695|8-120|10-1017|11-61|13-630|10-706|10-70|750|11-323|1011|10-840|196|11-549|14-359|9-845|7-1073|7-1147|13-839|11-641|1163|13-262|1895|7-885|10-357|11-459|76|9-679|14-436|13-1043|11-689|13-961|10-554|11-329|12-588|8-413|1891|13-323|9-917|14-661|595|10-309|14-805|14-1464|9-412,True
small,obqa,4,202,54,1005|10-1013|13-184|11-728|9-392|246|9-139|11-740|7-716|1364|12-337|10-884|10-548|9-459|10-604|14-407|12-554|12-176|9-295|14-935|12-784|9-269|10-1178|13-867|7-1083|11-52|12-273|9-963|13-39|13-674|7-1027|12-532|12-145|13-624|7-1065|13-555|12-642|12-962|11-219|7-576|7-312|10-167|11-594|11-8|7-592|13-515|12-870|9-737|10-940|14-644|10-367|12-790|10-472|12-351|13-664|8-319|13-233|10-579|12-1059|7-982|9-36|13-482|13-307|10-1176|10-647|10-159|9-497|11-576|8-283|14-344|7-368|12-942|13-1022|10-634|10-810|14-957|13-810|14-694|10-541|12-691|12-90|8-184|13-336|12-240|10-409|13-722|9-1176|12-344|7-362|13-494|7-348|12-756|10-710|12-365|12-899|14-1396|14-1008|10-296|11-346|10-190|10-172|7-622|573|1111|12-772|7-475|9-1106|13-350|14-32|1509|13-735|8-476|12-329|12-825|10-1113|12-216|11-385|9-1051|13-11|8-232|10-628|12-371|7-1130|14-492|10-742|1154|11-651|848|9-761|13-986|7-317|10-924|13-97|12-456|14-24|11-286|13-206|7-1193|14-462|14-702|9-1195|12-245|14-643|10-1076|14-1456|9-708|11-18|14-821|10-1118|11-272|11-508|11-307|8-484|118|13-200|896|10-695|9-723|8-120|10-1017|13-630|10-706|10-70|750|10-840|12-1044|196|12-807|11-549|14-359|9-845|7-1147|13-839|11-641|12-583|14-549|1163|13-262|1895|7-885|10-487|9-31|11-459|9-679|9-356|14-436|13-1043|11-689|13-961|8-286|10-554|11-329|10-1010|12-588|1891|13-323|9-917|14-661|12-126|10-309|14-805|14-1464,True
