dataset,id,source_row,group_id,fold
obqa,10,0,obqa_c0dc56504f50988c15f9,0
obqa,10-100,1,obqa_75ddaa79354a05095acb,0
obqa,10-1001,2,obqa_08acb3415d8fd903eec3,0
obqa,10-1003,3,obqa_e56e8ca92453967dcf3f,1
obqa,10-1004,4,obqa_85ecb8498e772f2ed7cc,3
obqa,10-1008,5,obqa_454a506d7c574d7876f1,3
obqa,10-1010,6,obqa_b440098223599dcbee89,3
obqa,10-1012,7,obqa_20ef023e8837d014ae8c,2
obqa,10-1013,8,obqa_8fda8827c5563d04960e,2
obqa,10-1016,9,obqa_2d16e968fb47e589db58,4
obqa,10-1017,10,obqa_a06b51d5b1ad6afc43a9,0
obqa,10-1019,11,obqa_f45ec6c62ee94d8b13ab,3
obqa,10-1020,12,obqa_3cc7ef7dddf6d833b1c4,4
obqa,10-1021,13,obqa_ab4c7371f52610b27ad8,1
obqa,10-1022,14,obqa_f9bb5f5780dcfc9c242d,4
obqa,10-1023,15,obqa_c2da9a3b40f3690df861,4
obqa,10-1028,16,obqa_aa04a7e42ca0275a2782,1
obqa,10-1033,17,obqa_132fae2bd9a2da749405,4
obqa,10-1034,18,obqa_3c0bffa0bebc123ede08,4
obqa,10-1036,19,obqa_f6be964b191493e55b3f,0
obqa,10-1038,20,obqa_18541824050c1c97179f,2
obqa,10-1040,21,obqa_688cc2fe47c94cca3557,1
obqa,10-1041,22,obqa_f5d250484c9887fdcd77,2
obqa,10-1042,23,obqa_c049eb2e45e7e646f97d,4
obqa,10-1043,24,obqa_52046bfe25ebb7b9354e,0
obqa,10-1046,25,obqa_c14460367c3e52ed898e,4
obqa,10-1047,26,obqa_66ef77b29ea841cf6c06,0
obqa,10-1048,27,obqa_7806f4f44813130b4c74,0
obqa,10-1049,28,obqa_cfee9cc757435b182088,3
obqa,10-105,29,obqa_eae8accc7089f4f4c9a0,2
obqa,10-1050,30,obqa_a3342f313a751f90be53,4
obqa,10-1052,31,obqa_2910b888be51c77b1c98,1
obqa,10-1054,32,obqa_73f26b6ac55208367ddf,1
obqa,10-1055,33,obqa_b58687c568723da91b4e,3
obqa,10-1056,34,obqa_3e33dbc2d170d653edff,2
obqa,10-106,35,obqa_fd3ca31758a361093378,0
obqa,10-1060,36,obqa_0d8bb8998c95436481bd,2
obqa,10-1061,37,obqa_3d9e049a3210783ff7e8,3
obqa,10-1064,38,obqa_8ce4fab95810fa7af2d0,1
obqa,10-1067,39,obqa_aa6c995bfb3235f800ca,3
obqa,10-1070,40,obqa_98dbca7cef906ad2c011,4
obqa,10-1073,41,obqa_bf5985a2c87855c6394c,1
obqa,10-1075,42,obqa_2ba29710ca2578aa48b4,3
obqa,10-1076,43,obqa_0e5304aefa394b3b27e5,3
obqa,10-1077,44,obqa_a8c61a057615447d100d,1
obqa,10-1083,45,obqa_9285a525ebd3c23844c1,1
obqa,10-1084,46,obqa_674bd35b921b60c34d64,4
obqa,10-1088,47,obqa_3544b644223d87d93bfa,0
obqa,10-1089,48,obqa_35aa1eb3aa988d5f92d6,3
obqa,10-1090,49,obqa_016cc7c68a110d8d0da0,3
obqa,10-1092,50,obqa_991a88c2dab2671ce786,4
obqa,10-1093,51,obqa_578f8a1a18536c48dd5e,2
obqa,10-1094,52,obqa_ac47e87a3d6f139d0422,2
obqa,10-1096,53,obqa_311be8b1566cbe80da34,1
obqa,10-11,54,obqa_c690f9bf243c2d7d822d,0
obqa,10-1100,55,obqa_96ab248bc565fc577d73,1
obqa,10-1101,56,obqa_2477b5c79d95061e6a7d,4
obqa,10-1103,57,obqa_1957f994a199bd61643c,2
obqa,10-1106,58,obqa_6fa66a14dc5b79c8a5eb,4
obqa,10-1107,59,obqa_eb85029d7841a902a3f3,0
obqa,10-1108,60,obqa_eeaab53d0089869c2e1a,0
obqa,10-1113,61,obqa_2fb10a03a915e363eb17,2
obqa,10-1114,62,obqa_75544b168549f6f63254,1
obqa,10-1115,63,obqa_5d4e1edf9ba1006385d9,3
obqa,10-1117,64,obqa_b27885fb82db2d73148f,0
obqa,10-1118,65,obqa_1fdd2b6cfb73aabac8b4,3
obqa,10-112,66,obqa_98e1abb9688a852fb548,4
obqa,10-1121,67,obqa_a1c10ca2fdaacb7472fe,2
obqa,10-1122,68,obqa_c3c83e28811ea77d5e6b,1
obqa,10-1123,69,obqa_f5e84866478c557857c7,3
obqa,10-1124,70,obqa_6e480a02a67bca8fd908,3
obqa,10-1125,71,obqa_3e7e32bfc115e3a68af1,1
obqa,10-1126,72,obqa_59ae58d930ece833632e,4
obqa,10-1127,73,obqa_3b57b09057cc68f806b4,0
obqa,10-1129,74,obqa_7171696c66c933910ccd,1
obqa,10-1130,75,obqa_f09603260e29fce0110f,4
obqa,10-1131,76,obqa_19ac6fedfc69a26a0e88,0
obqa,10-1136,77,obqa_1514a2449b432f4e21e8,3
obqa,10-1137,78,obqa_e1850024ade1c76d5bce,4
obqa,10-1139,79,obqa_5548b98bcda08caf5843,1
obqa,10-1140,80,obqa_1a6189c18d2b8be324b0,0
obqa,10-1144,81,obqa_018f6bc72b559f4d3ba4,1
obqa,10-1146,82,obqa_16789b8c5d28ee7d8ab6,0
obqa,10-115,83,obqa_f79ee227a870cbbbc8c9,4
obqa,10-1151,84,obqa_bc8fc85a9c0fca160570,0
obqa,10-1153,85,obqa_d2d5967538d292cb9bb0,0
obqa,10-1154,86,obqa_82b7f62b182bdf8ab8c9,3
obqa,10-1155,87,obqa_6847595a587095ba685f,4
obqa,10-1156,88,obqa_72277587a46f89f35350,4
obqa,10-1163,89,obqa_b1b572983d87b459ac28,4
obqa,10-1166,90,obqa_c461b8e84e45e6338f09,2
obqa,10-1167,91,obqa_8eb307e91785ba306a09,1
obqa,10-1168,92,obqa_ed4faf71e4af643c2d35,2
obqa,10-1173,93,obqa_0c25b0955e57b4f8e7ad,3
obqa,10-1174,94,obqa_8fda985c46a6341e4481,2
obqa,10-1175,95,obqa_21cc88b62bb9042d995f,1
obqa,10-1176,96,obqa_b4952ee5c2ef96fbfb9f,1
obqa,10-1178,97,obqa_bdbedffdb08f78184cdd,3
obqa,10-1181,98,obqa_953b4b6a1980744f75ac,2
obqa,10-1183,99,obqa_3c36f3ac9d8a719723ec,1
obqa,10-1185,100,obqa_61a04be405e80d79e919,2
obqa,10-1187,101,obqa_4c32185e6305991551c6,2
obqa,10-1189,102,obqa_349b171819a8166cff0b,3
