dataset,group_id,fold,n,members
obqa,obqa_9dc9821e5423c6e41c2c,0,1,11-520
obqa,obqa_bff274ee48d1566594bf,1,1,9-1128
obqa,obqa_38ba77423508e1e26915,2,1,1422
obqa,obqa_075dfbe2b4324be23a01,3,1,14-1053
obqa,obqa_1d773b664e879f567421,4,1,14-918
obqa,obqa_29d4286226cdf2db0627,0,1,12-691
obqa,obqa_aa664d343b6f199a1a68,1,1,14-1384
obqa,obqa_20b12434a65dbf0752c8,2,1,14-1442
obqa,obqa_f9712b4218a399082348,3,1,14-79
obqa,obqa_681dbfe5b9c6066a14d0,4,1,12-407
obqa,obqa_2a250174df918d11eef1,0,1,11-261
obqa,obqa_4906c434b294d08865a9,1,1,14-133
obqa,obqa_9d7675c595df37024419,2,1,14-1474
obqa,obqa_9673d3c148bcd589ba50,3,1,14-1485
obqa,obqa_632c8c66501058d4a18a,4,1,12-590
obqa,obqa_9f8075061ddcb974547f,0,1,7-130
obqa,obqa_acf8034fdd1ed1a05b53,1,1,14-623
obqa,obqa_9ace83772bf46bd9cac3,2,1,11-128
obqa,obqa_c58d110ea3d4f4cce3b4,3,1,12-1143
obqa,obqa_eea76a308ebb195f6715,4,1,96
obqa,obqa_68394648494ac75f3739,0,1,14-842
obqa,obqa_b7e23c66dc28efac7eea,1,1,11-79
obqa,obqa_7aa7ec5c2732b302b314,2,1,14-1446
obqa,obqa_8e2a1e1a37cc97ed00fa,3,1,8-172
obqa,obqa_345f36e552cd22d943b3,4,1,14-1278
obqa,obqa_968fd5fa10b1320702b8,0,1,12-404
obqa,obqa_21448ffe7ab9d21c8dc6,1,1,1877
obqa,obqa_9f965a5b41d42877bd2d,2,1,14-397
obqa,obqa_935f58e13e1899c17405,3,1,9-256
obqa,obqa_4d3218ba5747c3d63a0b,4,1,7-542
obqa,obqa_55938fd57cd3a5cdb74a,0,1,10-836
obqa,obqa_2469450523e235d5c2b6,1,1,12-625
obqa,obqa_35d516b832c2a1a74511,2,1,586
obqa,obqa_2256c345e0ee2e092c4f,3,1,10-774
obqa,obqa_46de6d5a35f2e4be9172,4,1,7-513
obqa,obqa_28b53149183438025eb5,0,1,11-341
obqa,obqa_21707bfa3f2444295b15,1,1,11-614
obqa,obqa_8eba80b31369b3e31771,2,1,7-629
obqa,obqa_058d57b354b943695da3,3,1,13-568
obqa,obqa_e8fe2b8ba81e33ae436c,4,1,13-229
obqa,obqa_5ec28ec9ca823cf88fe4,0,1,13-7
obqa,obqa_a914612b11ae0cb5f4c1,1,1,12-917
obqa,obqa_35890f83be9b02e3dfa5,2,1,12-1137
obqa,obqa_2ba29710ca2578aa48b4,3,1,10-1075
obqa,obqa_6847595a587095ba685f,4,1,10-1155
obqa,obqa_51728d1422b3ce699496,0,1,7-905
obqa,obqa_dc643e9b1e233764621b,1,1,9-818
obqa,obqa_9ddfd6de2303855ef547,2,1,12-897
obqa,obqa_aa68d7233cf4538618f6,3,1,13-948
obqa,obqa_b621f937aa6b810e0197,4,1,12-598
obqa,obqa_c62e65908af9e6916a84,0,1,10-821
obqa,obqa_6e9e2e7cb99806f59024,1,1,11-396
obqa,obqa_253ea4ea3d65496443f7,2,1,8-6
obqa,obqa_d5e0dfa3f16172675397,3,1,14-770
obqa,obqa_ccc28459237f5eb80be1,4,1,13-637
obqa,obqa_69579a9764e2356f5bfd,0,1,7-764
obqa,obqa_841337095e7b7e79058a,1,1,10-52
obqa,obqa_ff579387ecfc6473c2b6,2,1,14-522
obqa,obqa_86b109138019d5777839,3,1,10-917
obqa,obqa_ffa61d1b64cc1f7ccb5d,4,1,9-5
obqa,obqa_dc965628ed506b152a56,0,1,12-613
obqa,obqa_98bbcec58db664182128,1,1,155
obqa,obqa_4cf4ba9662ba3f64e3c3,2,1,11-321
obqa,obqa_ad274d1e9ed09553f0cd,3,1,14-606
obqa,obqa_bf5742faa7c6ae0a3627,4,1,9-90
obqa,obqa_9a58585d855aeae90a23,0,1,7-576
obqa,obqa_e8fe516fe3066c319b16,1,1,11-374
obqa,obqa_6384a4cc66d2cd6c83dd,2,1,13-127
obqa,obqa_22ff984b8d67ef7fd820,3,1,7-1081
obqa,obqa_1e302baf15c214196106,4,1,11-468
obqa,obqa_cb512345f41c137f804e,0,1,10-777
obqa,obqa_8dc4de5cf3563c076679,1,1,12-535
obqa,obqa_26286c15edcce8e83774,2,1,13-1060
obqa,obqa_a81c2b72ca3809d9fc88,3,1,7-898
obqa,obqa_ee36e274cd3266857e7f,4,1,13-914
obqa,obqa_6e590b30e3c96f747261,0,1,7-525
obqa,obqa_b8854e0f7da3c6cd0310,1,1,12-632
obqa,obqa_4ec07d75dd98715852b9,2,1,14-1456
obqa,obqa_dd33d5be010ae062384a,3,1,12-466
obqa,obqa_24d47236e01b418acf7f,4,1,13-1031
obqa,obqa_218751471af8806ef32a,0,1,1115
obqa,obqa_2d732d42e01dc9e15ba6,1,1,10-367
obqa,obqa_e0705f6a27638ba497e6,2,1,831
obqa,obqa_1273dd1947df43666f83,3,1,14-1324
obqa,obqa_cae4efaf877ebebb6c77,4,1,13-626
obqa,obqa_2bdceab178270d619020,0,1,1261
obqa,obqa_e06eeececdc4f04f45a2,1,1,14-853
obqa,obqa_0e18eec411c38db7099e,2,1,1388
obqa,obqa_46da52476ab00cd457c1,3,1,9-261
obqa,obqa_9f9eaf8f73ec6bc5c43a,4,1,10-181
obqa,obqa_f5f5cb283186a4db28cf,0,1,12-304
obqa,obqa_7374badd05865cb03b70,1,1,13-334
obqa,obqa_c2b0e9a15e62388000cb,2,1,13-527
obqa,obqa_176e2bca4762d98a4bdf,3,1,7-574
obqa,obqa_f3f3a514cf61c3623ba1,4,1,10-72
obqa,obqa_1c0db50e8c6d81fb5be4,0,1,12-531
obqa,obqa_2bc43d43ae088ff68ef1,1,1,12-886
obqa,obqa_15f397756f4cccc34dbc,2,1,14-677
obqa,obqa_a16e2373c7c90efd6edd,3,1,14-46
