pair,dataset,fold,role,target,n,positive,negative,single_class
large,obqa,0,fit,y_R,2772,2260,512,False
large,obqa,0,fit,y_T,2772,2382,390,False
large,obqa,0,fit,y_C,2772,2203,569,False
large,obqa,0,fit,y_A,2772,2262,510,False
large,obqa,0,fit,f_T,2772,275,2497,False
large,obqa,0,fit,f_C,2772,230,2542,False
large,obqa,0,fit,f_A,2772,29,2743,False
large,obqa,0,heldout,y_R,694,570,124,False
large,obqa,0,heldout,y_T,694,596,98,False
large,obqa,0,heldout,y_C,694,557,137,False
large,obqa,0,heldout,y_A,694,570,124,False
large,obqa,0,heldout,f_T,694,71,623,False
large,obqa,0,heldout,f_C,694,57,637,False
large,obqa,0,heldout,f_A,694,9,685,False
large,obqa,1,fit,y_R,2773,2263,510,False
large,obqa,1,fit,y_T,2773,2381,392,False
large,obqa,1,fit,y_C,2773,2206,567,False
large,obqa,1,fit,y_A,2773,2266,507,False
large,obqa,1,fit,f_T,2773,284,2489,False
large,obqa,1,fit,f_C,2773,229,2544,False
large,obqa,1,fit,f_A,2773,34,2739,False
large,obqa,1,heldout,y_R,693,567,126,False
large,obqa,1,heldout,y_T,693,597,96,False
large,obqa,1,heldout,y_C,693,554,139,False
large,obqa,1,heldout,y_A,693,566,127,False
large,obqa,1,heldout,f_T,693,62,631,False
large,obqa,1,heldout,f_C,693,58,635,False
large,obqa,1,heldout,f_A,693,4,689,False
large,obqa,2,fit,y_R,2773,2253,520,False
large,obqa,2,fit,y_T,2773,2364,409,False
large,obqa,2,fit,y_C,2773,2197,576,False
large,obqa,2,fit,y_A,2773,2250,523,False
large,obqa,2,fit,f_T,2773,280,2493,False
large,obqa,2,fit,f_C,2773,236,2537,False
large,obqa,2,fit,f_A,2773,28,2745,False
large,obqa,2,heldout,y_R,693,577,116,False
large,obqa,2,heldout,y_T,693,614,79,False
large,obqa,2,heldout,y_C,693,563,130,False
large,obqa,2,heldout,y_A,693,582,111,False
large,obqa,2,heldout,f_T,693,66,627,False
large,obqa,2,heldout,f_C,693,51,642,False
large,obqa,2,heldout,f_A,693,10,683,False
large,obqa,3,fit,y_R,2773,2267,506,False
large,obqa,3,fit,y_T,2773,2388,385,False
large,obqa,3,fit,y_C,2773,2213,560,False
large,obqa,3,fit,y_A,2773,2269,504,False
large,obqa,3,fit,f_T,2773,281,2492,False
large,obqa,3,fit,f_C,2773,227,2546,False
large,obqa,3,fit,f_A,2773,34,2739,False
large,obqa,3,heldout,y_R,693,563,130,False
large,obqa,3,heldout,y_T,693,590,103,False
large,obqa,3,heldout,y_C,693,547,146,False
large,obqa,3,heldout,y_A,693,563,130,False
large,obqa,3,heldout,f_T,693,65,628,False
large,obqa,3,heldout,f_C,693,60,633,False
large,obqa,3,heldout,f_A,693,4,689,False
large,obqa,4,fit,y_R,2773,2277,496,False
large,obqa,4,fit,y_T,2773,2397,376,False
large,obqa,4,fit,y_C,2773,2221,552,False
large,obqa,4,fit,y_A,2773,2281,492,False
large,obqa,4,fit,f_T,2773,264,2509,False
large,obqa,4,fit,f_C,2773,226,2547,False
large,obqa,4,fit,f_A,2773,27,2746,False
large,obqa,4,heldout,y_R,693,553,140,False
large,obqa,4,heldout,y_T,693,581,112,False
large,obqa,4,heldout,y_C,693,539,154,False
large,obqa,4,heldout,y_A,693,551,142,False
large,obqa,4,heldout,f_T,693,82,611,False
large,obqa,4,heldout,f_C,693,61,632,False
large,obqa,4,heldout,f_A,693,11,682,False
small,obqa,0,fit,y_R,2772,1085,1687,False
