pair,dataset,family,n_actions,lambda,n,version,panel_accuracy,action_cost_replay_ms,cost_scope
large,obqa,word,3,0,128,old_V2_rescored,0.8828125,984.5594804296875,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,3,0,128,updated_V2,0.8828125,977.16000721875,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,3,0.01,128,old_V2_rescored,0.8671875,781.0336061015626,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,3,0.01,128,updated_V2,0.8671875,781.615878296875,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,3,0.03,128,old_V2_rescored,0.8046875,353.488190609375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,3,0.03,128,updated_V2,0.8046875,349.730926484375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,3,0.1,128,old_V2_rescored,0.8046875,256.330220625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,3,0.1,128,updated_V2,0.8046875,257.366797390625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,3,0.3,128,old_V2_rescored,0.8046875,255.2672376953125,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,3,0.3,128,updated_V2,0.8046875,255.2672376953125,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,3,1,128,old_V2_rescored,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,3,1,128,updated_V2,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,3,3,128,old_V2_rescored,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,3,3,128,updated_V2,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,4,0,128,old_V2_rescored,0.875,964.9858830078125,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,4,0,128,updated_V2,0.875,957.5864097968749,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,4,0.01,128,old_V2_rescored,0.8671875,775.9210286171876,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,4,0.01,128,updated_V2,0.8671875,776.02791740625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,4,0.03,128,old_V2_rescored,0.8125,338.551247265625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,4,0.03,128,updated_V2,0.8125,333.23898032812497,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,4,0.1,128,old_V2_rescored,0.8046875,257.349280203125,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,4,0.1,128,updated_V2,0.8046875,258.410736625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,4,0.3,128,old_V2_rescored,0.8046875,255.2672376953125,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,4,0.3,128,updated_V2,0.8046875,255.2672376953125,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,4,1,128,old_V2_rescored,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,4,1,128,updated_V2,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,4,3,128,old_V2_rescored,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,4,3,128,updated_V2,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,word,4,NA,128,fixed_R,0.8125,254.514272515625,old panel action-only replay; fixed action
large,obqa,word,4,NA,128,fixed_T,0.8828125,993.8901472421874,old panel action-only replay; fixed action
large,obqa,word,4,NA,128,fixed_C,0.7890625,347.017202890625,old panel action-only replay; fixed action
large,obqa,word,4,NA,128,fixed_A,0.8203125,286.6951911015625,old panel action-only replay; fixed action
large,obqa,semantic,3,0,128,old_V2_rescored,0.8828125,959.652895,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,3,0,128,updated_V2,0.8828125,954.9276013359374,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,3,0.01,128,old_V2_rescored,0.875,732.6695933515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,3,0.01,128,updated_V2,0.875,731.498051203125,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,3,0.03,128,old_V2_rescored,0.8125,284.069740234375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,3,0.03,128,updated_V2,0.8125,293.2230860078125,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,3,0.1,128,old_V2_rescored,0.8125,255.8999362890625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,3,0.1,128,updated_V2,0.8125,255.8999362890625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,3,0.3,128,old_V2_rescored,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,3,0.3,128,updated_V2,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,3,1,128,old_V2_rescored,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,3,1,128,updated_V2,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,3,3,128,old_V2_rescored,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,3,3,128,updated_V2,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,4,0,128,old_V2_rescored,0.8828125,953.6100142656251,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,4,0,128,updated_V2,0.8828125,948.8847206015625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,4,0.01,128,old_V2_rescored,0.875,735.1785958671876,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,4,0.01,128,updated_V2,0.875,733.8032131015625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,4,0.03,128,old_V2_rescored,0.8203125,287.9341649375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,4,0.03,128,updated_V2,0.8203125,292.8073058671875,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,4,0.1,128,old_V2_rescored,0.8125,257.1603401484375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,4,0.1,128,updated_V2,0.8125,257.1603401484375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,4,0.3,128,old_V2_rescored,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,4,0.3,128,updated_V2,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,4,1,128,old_V2_rescored,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,4,1,128,updated_V2,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
