pair,dataset,family,n_actions,lambda,n,old_V2_rescored_accuracy,updated_V2_accuracy,accuracy_change,changed_selections,C_probability_mean_change,old_select_R,updated_select_R,old_select_T,updated_select_T,old_select_C,updated_select_C,old_select_A,updated_select_A
large,obqa,word,3,0,742,0.8706199460916442,0.8706199460916442,0.0,7,0.01241830948686345,0.05929919137466307,0.05660377358490566,0.9326145552560647,0.9285714285714286,0.008086253369272238,0.014824797843665768,NA,NA
large,obqa,word,3,0.01,742,0.866576819407008,0.8652291105121294,-0.0013477088948787063,20,0.01241830948686345,0.3059299191374663,0.29380053908355797,0.660377358490566,0.6482479784366577,0.03369272237196765,0.057951482479784364,NA,NA
large,obqa,word,3,0.03,742,0.8315363881401617,0.8301886792452831,-0.0013477088948787063,38,0.01241830948686345,0.7978436657681941,0.7574123989218329,0.1105121293800539,0.10512129380053908,0.09164420485175202,0.13746630727762804,NA,NA
large,obqa,word,3,0.1,742,0.8301886792452831,0.8315363881401617,0.0013477088948787063,23,0.01241830948686345,0.9730458221024259,0.9474393530997305,0.0,0.0,0.026954177897574125,0.05256064690026954,NA,NA
large,obqa,word,3,0.3,742,0.8301886792452831,0.8301886792452831,0.0,0,0.01241830948686345,0.9986522911051213,0.9986522911051213,0.0,0.0,0.0013477088948787063,0.0013477088948787063,NA,NA
large,obqa,word,3,1,742,0.8315363881401617,0.8315363881401617,0.0,0,0.01241830948686345,1.0,1.0,0.0,0.0,0.0,0.0,NA,NA
large,obqa,word,3,3,742,0.8315363881401617,0.8315363881401617,0.0,0,0.01241830948686345,1.0,1.0,0.0,0.0,0.0,0.0,NA,NA
large,obqa,word,4,0,742,0.8692722371967655,0.8692722371967655,0.0,7,0.01241830948686345,0.03234501347708895,0.03099730458221024,0.9164420485175202,0.9137466307277629,0.008086253369272238,0.014824797843665768,0.0431266846361186,0.04043126684636118
large,obqa,word,4,0.01,742,0.8638814016172507,0.862533692722372,-0.0013477088948787063,19,0.01241830948686345,0.20754716981132076,0.20350404312668463,0.6307277628032345,0.6185983827493261,0.03234501347708895,0.05256064690026954,0.1293800539083558,0.12533692722371967
large,obqa,word,4,0.03,742,0.8315363881401617,0.8315363881401617,0.0,42,0.01241830948686345,0.5916442048517521,0.5633423180592992,0.10107816711590296,0.09568733153638814,0.07951482479784366,0.11994609164420485,0.22776280323450135,0.2210242587601078
large,obqa,word,4,0.1,742,0.8315363881401617,0.8328840970350404,0.0013477088948787063,21,0.01241830948686345,0.9150943396226415,0.8975741239892183,0.0,0.0,0.025606469002695417,0.04851752021563342,0.05929919137466307,0.05390835579514825
large,obqa,word,4,0.3,742,0.8301886792452831,0.8301886792452831,0.0,0,0.01241830948686345,0.9986522911051213,0.9986522911051213,0.0,0.0,0.0013477088948787063,0.0013477088948787063,0.0,0.0
large,obqa,word,4,1,742,0.8315363881401617,0.8315363881401617,0.0,0,0.01241830948686345,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
large,obqa,word,4,3,742,0.8315363881401617,0.8315363881401617,0.0,0,0.01241830948686345,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
large,obqa,semantic,3,0,742,0.8706199460916442,0.8692722371967655,-0.0013477088948787063,5,0.012649587418155049,0.03504043126684636,0.03369272237196765,0.9595687331536388,0.954177897574124,0.005390835579514825,0.012129380053908356,NA,NA
large,obqa,semantic,3,0.01,742,0.8679245283018868,0.866576819407008,-0.0013477088948787063,26,0.012649587418155049,0.24932614555256064,0.23450134770889489,0.7264150943396226,0.7142857142857143,0.02425876010781671,0.05121293800539083,NA,NA
large,obqa,semantic,3,0.03,742,0.8301886792452831,0.8274932614555256,-0.0026954177897574125,42,0.012649587418155049,0.9083557951482479,0.8611859838274932,0.05929919137466307,0.057951482479784364,0.03234501347708895,0.08086253369272237,NA,NA
large,obqa,semantic,3,0.1,742,0.8301886792452831,0.8301886792452831,0.0,6,0.012649587418155049,0.9905660377358491,0.9824797843665768,0.0,0.0,0.009433962264150943,0.01752021563342318,NA,NA
large,obqa,semantic,3,0.3,742,0.8315363881401617,0.8315363881401617,0.0,2,0.012649587418155049,0.9973045822102425,1.0,0.0,0.0,0.0026954177897574125,0.0,NA,NA
large,obqa,semantic,3,1,742,0.8315363881401617,0.8315363881401617,0.0,0,0.012649587418155049,1.0,1.0,0.0,0.0,0.0,0.0,NA,NA
large,obqa,semantic,3,3,742,0.8315363881401617,0.8315363881401617,0.0,0,0.012649587418155049,1.0,1.0,0.0,0.0,0.0,0.0,NA,NA
large,obqa,semantic,4,0,742,0.8706199460916442,0.8692722371967655,-0.0013477088948787063,3,0.012649587418155049,0.029649595687331536,0.029649595687331536,0.954177897574124,0.9501347708894878,0.004043126684636119,0.008086253369272238,0.012129380053908356,0.012129380053908356
large,obqa,semantic,4,0.01,742,0.8679245283018868,0.866576819407008,-0.0013477088948787063,23,0.012649587418155049,0.1765498652291105,0.16846361185983827,0.7048517520215634,0.6967654986522911,0.018867924528301886,0.04716981132075472,0.09973045822102426,0.0876010781671159
large,obqa,semantic,4,0.03,742,0.8355795148247979,0.8342318059299192,-0.0013477088948787063,27,0.012649587418155049,0.6469002695417789,0.623989218328841,0.04582210242587601,0.04582210242587601,0.02830188679245283,0.05929919137466307,0.27897574123989216,0.27088948787061995
large,obqa,semantic,4,0.1,742,0.8301886792452831,0.8301886792452831,0.0,6,0.012649587418155049,0.9528301886792453,0.944743935309973,0.0,0.0,0.009433962264150943,0.01752021563342318,0.03773584905660377,0.03773584905660377
large,obqa,semantic,4,0.3,742,0.8315363881401617,0.8315363881401617,0.0,2,0.012649587418155049,0.9973045822102425,1.0,0.0,0.0,0.0026954177897574125,0.0,0.0,0.0
large,obqa,semantic,4,1,742,0.8315363881401617,0.8315363881401617,0.0,0,0.012649587418155049,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
large,obqa,semantic,4,3,742,0.8315363881401617,0.8315363881401617,0.0,0,0.012649587418155049,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
small,obqa,word,3,0,742,0.48787061994609165,0.4919137466307278,0.004043126684636119,15,0.0005202104974455345,0.02830188679245283,0.029649595687331536,0.23045822102425875,0.23045822102425875,0.7412398921832885,0.7398921832884097,NA,NA
small,obqa,word,3,0.01,742,0.4865229110512129,0.48517520215633425,-0.0013477088948787063,10,0.0005202104974455345,0.03099730458221024,0.03234501347708895,0.19002695417789758,0.18059299191374664,0.7789757412398922,0.7870619946091644,NA,NA
small,obqa,word,3,0.03,742,0.48517520215633425,0.48517520215633425,0.0,7,0.0005202104974455345,0.04986522911051213,0.04716981132075472,0.11185983827493262,0.1105121293800539,0.8382749326145552,0.8423180592991913,NA,NA
small,obqa,word,3,0.1,742,0.48921832884097033,0.4865229110512129,-0.0026954177897574125,10,0.0005202104974455345,0.08355795148247978,0.08490566037735849,0.01752021563342318,0.016172506738544475,0.898921832884097,0.898921832884097,NA,NA
small,obqa,word,3,0.3,742,0.4757412398921833,0.4743935309973046,-0.0013477088948787063,7,0.0005202104974455345,0.1738544474393531,0.16711590296495957,0.0,0.0,0.8261455525606469,0.8328840970350404,NA,NA
small,obqa,word,3,1,742,0.42857142857142855,0.4272237196765499,-0.0013477088948787063,9,0.0005202104974455345,0.5970350404312669,0.5929919137466307,0.0,0.0,0.4029649595687331,0.40700808625336926,NA,NA
small,obqa,word,3,3,742,0.3894878706199461,0.3894878706199461,0.0,3,0.0005202104974455345,0.9663072776280324,0.9649595687331537,0.0,0.0,0.03369272237196765,0.03504043126684636,NA,NA
small,obqa,word,4,0,742,0.4865229110512129,0.4919137466307278,0.005390835579514825,16,0.0005202104974455345,0.02425876010781671,0.025606469002695417,0.22776280323450135,0.22776280323450135,0.7398921832884097,0.7398921832884097,0.008086253369272238,0.006738544474393531
small,obqa,word,4,0.01,742,0.48787061994609165,0.48787061994609165,0.0,11,0.0005202104974455345,0.02425876010781671,0.025606469002695417,0.18598382749326145,0.1765498652291105,0.7776280323450134,0.7870619946091644,0.012129380053908356,0.01078167115902965
small,obqa,word,4,0.03,742,0.48517520215633425,0.4865229110512129,0.0013477088948787063,8,0.0005202104974455345,0.03908355795148248,0.03638814016172507,0.11185983827493262,0.1105121293800539,0.8369272237196765,0.8423180592991913,0.012129380053908356,0.01078167115902965
small,obqa,word,4,0.1,742,0.48787061994609165,0.48517520215633425,-0.0026954177897574125,10,0.0005202104974455345,0.06873315363881402,0.07008086253369272,0.01752021563342318,0.016172506738544475,0.8935309973045822,0.8935309973045822,0.02021563342318059,0.02021563342318059
small,obqa,word,4,0.3,742,0.4743935309973046,0.47304582210242585,-0.0013477088948787063,7,0.0005202104974455345,0.16172506738544473,0.15633423180592992,0.0,0.0,0.8247978436657682,0.8288409703504043,0.013477088948787063,0.014824797843665768
small,obqa,word,4,1,742,0.42857142857142855,0.4272237196765499,-0.0013477088948787063,9,0.0005202104974455345,0.5956873315363881,0.5916442048517521,0.0,0.0,0.4029649595687331,0.40700808625336926,0.0013477088948787063,0.0013477088948787063
small,obqa,word,4,3,742,0.3894878706199461,0.3894878706199461,0.0,3,0.0005202104974455345,0.9649595687331537,0.9636118598382749,0.0,0.0,0.03369272237196765,0.03504043126684636,0.0013477088948787063,0.0013477088948787063
small,obqa,semantic,3,0,742,0.48517520215633425,0.48517520215633425,0.0,16,0.0006504825609321378,0.006738544474393531,0.008086253369272238,0.20619946091644206,0.20215633423180593,0.7870619946091644,0.7897574123989218,NA,NA
small,obqa,semantic,3,0.01,742,0.4865229110512129,0.48921832884097033,0.0026954177897574125,13,0.0006504825609321378,0.01078167115902965,0.009433962264150943,0.16711590296495957,0.15902964959568733,0.8221024258760108,0.8315363881401617,NA,NA
small,obqa,semantic,3,0.03,742,0.4838274932614555,0.48247978436657685,-0.0013477088948787063,10,0.0006504825609321378,0.013477088948787063,0.014824797843665768,0.10646900269541779,0.09973045822102426,0.8800539083557951,0.8854447439353099,NA,NA
small,obqa,semantic,3,0.1,742,0.4865229110512129,0.48787061994609165,0.0013477088948787063,7,0.0006504825609321378,0.0431266846361186,0.03504043126684636,0.008086253369272238,0.006738544474393531,0.9487870619946092,0.9582210242587601,NA,NA
small,obqa,semantic,3,0.3,742,0.4784366576819407,0.477088948787062,-0.0013477088948787063,15,0.0006504825609321378,0.10646900269541779,0.09703504043126684,0.0,0.0,0.8935309973045822,0.9029649595687331,NA,NA
small,obqa,semantic,3,1,742,0.4299191374663073,0.431266846361186,0.0013477088948787063,12,0.0006504825609321378,0.601078167115903,0.601078167115903,0.0,0.0,0.39892183288409705,0.39892183288409705,NA,NA
small,obqa,semantic,3,3,742,0.3935309973045822,0.3935309973045822,0.0,0,0.0006504825609321378,0.9474393530997305,0.9474393530997305,0.0,0.0,0.05256064690026954,0.05256064690026954,NA,NA
small,obqa,semantic,4,0,742,0.4838274932614555,0.4838274932614555,0.0,16,0.0006504825609321378,0.005390835579514825,0.006738544474393531,0.20619946091644206,0.20215633423180593,0.784366576819407,0.7870619946091644,0.004043126684636119,0.004043126684636119
small,obqa,semantic,4,0.01,742,0.48517520215633425,0.48787061994609165,0.0026954177897574125,12,0.0006504825609321378,0.008086253369272238,0.008086253369272238,0.16711590296495957,0.15902964959568733,0.8207547169811321,0.8288409703504043,0.004043126684636119,0.004043126684636119
small,obqa,semantic,4,0.03,742,0.48247978436657685,0.4811320754716981,-0.0013477088948787063,10,0.0006504825609321378,0.01078167115902965,0.012129380053908356,0.10646900269541779,0.09973045822102426,0.8787061994609164,0.8840970350404312,0.004043126684636119,0.004043126684636119
small,obqa,semantic,4,0.1,742,0.4865229110512129,0.48921832884097033,0.0026954177897574125,7,0.0006504825609321378,0.03234501347708895,0.02830188679245283,0.008086253369272238,0.006738544474393531,0.9460916442048517,0.9555256064690026,0.013477088948787063,0.009433962264150943
small,obqa,semantic,4,0.3,742,0.4784366576819407,0.4784366576819407,0.0,15,0.0006504825609321378,0.09703504043126684,0.0876010781671159,0.0,0.0,0.8908355795148248,0.8975741239892183,0.012129380053908356,0.014824797843665768
small,obqa,semantic,4,1,742,0.4299191374663073,0.431266846361186,0.0013477088948787063,11,0.0006504825609321378,0.5956873315363881,0.5970350404312669,0.0,0.0,0.39892183288409705,0.3975741239892183,0.005390835579514825,0.005390835579514825
small,obqa,semantic,4,3,742,0.3935309973045822,0.3935309973045822,0.0,0,0.0006504825609321378,0.9474393530997305,0.9474393530997305,0.0,0.0,0.05256064690026954,0.05256064690026954,0.0,0.0
large,arc,word,3,0,299,0.919732441471572,0.9163879598662207,-0.0033444816053511705,7,0.04549178515656212,0.06688963210702341,0.056856187290969896,0.9331103678929766,0.919732441471572,0.0,0.023411371237458192,NA,NA
large,arc,word,3,0.01,299,0.8996655518394648,0.8996655518394648,0.0,27,0.04549178515656212,0.9063545150501672,0.842809364548495,0.09364548494983277,0.06688963210702341,0.0,0.0903010033444816,NA,NA
large,arc,word,3,0.03,299,0.8963210702341137,0.8963210702341137,0.0,9,0.04549178515656212,1.0,0.9698996655518395,0.0,0.0,0.0,0.030100334448160536,NA,NA
large,arc,word,3,0.1,299,0.8963210702341137,0.8963210702341137,0.0,1,0.04549178515656212,1.0,0.9966555183946488,0.0,0.0,0.0,0.0033444816053511705,NA,NA
large,arc,word,3,0.3,299,0.8963210702341137,0.8963210702341137,0.0,0,0.04549178515656212,1.0,1.0,0.0,0.0,0.0,0.0,NA,NA
large,arc,word,3,1,299,0.8963210702341137,0.8963210702341137,0.0,0,0.04549178515656212,1.0,1.0,0.0,0.0,0.0,0.0,NA,NA
large,arc,word,3,3,299,0.8963210702341137,0.8963210702341137,0.0,0,0.04549178515656212,1.0,1.0,0.0,0.0,0.0,0.0,NA,NA
large,arc,word,4,0,299,0.919732441471572,0.9163879598662207,-0.0033444816053511705,7,0.04549178515656212,0.05016722408026756,0.04013377926421405,0.9331103678929766,0.919732441471572,0.0,0.023411371237458192,0.016722408026755852,0.016722408026755852
