pair,dataset,family,fold,action,scope,predictor,n,positive,positive_rate,ROC_AUC,AP,log_loss,NA_reason
large,obqa,word,pooled,T,all,FFR_E0,3466,346,0.0998268897864974,0.5196207573736475,0.10193917316090773,0.3270852941939813,
large,obqa,word,pooled,T,all,constant_flip_rate,3466,346,0.0998268897864974,0.4705216207203201,0.09414780744036985,0.32502716780396257,
large,obqa,word,pooled,T,both_R_and_action_valid_diagnostic_only,FFR_E0,3461,341,0.0985264374458249,0.5235703812316715,0.1013215222828428,0.3238523370441659,
large,obqa,word,pooled,T,both_R_and_action_valid_diagnostic_only,constant_flip_rate,3461,341,0.0985264374458249,0.470711613655162,0.09289871382121251,0.3221553756421301,
large,obqa,word,pooled,C,all,FFR_E0,3466,287,0.08280438545874207,0.5306338526019512,0.08936846668778323,0.28617136418178046,
large,obqa,word,pooled,C,all,constant_flip_rate,3466,287,0.08280438545874207,0.4824600245732831,0.07930845785041024,0.2856596157526979,
large,obqa,word,pooled,C,both_R_and_action_valid_diagnostic_only,FFR_E0,3455,276,0.07988422575976845,0.536690053840648,0.08734792678853884,0.27869379825286833,
large,obqa,word,pooled,C,both_R_and_action_valid_diagnostic_only,constant_flip_rate,3455,276,0.07988422575976845,0.4839817233566293,0.07651633336295069,0.2786360029354528,
large,obqa,word,pooled,A,all,FFR_E0,3466,38,0.010963646855164455,0.44824356691027456,0.010263754114794504,0.06085212596519576,
large,obqa,word,pooled,A,all,constant_flip_rate,3466,38,0.010963646855164455,0.3935507891666155,0.008886876998486233,0.06086694086884235,
large,obqa,word,pooled,A,both_R_and_action_valid_diagnostic_only,FFR_E0,3445,21,0.006095791001451379,0.4050678682688028,0.005719744828644081,0.03879747501214783,
large,obqa,word,pooled,A,both_R_and_action_valid_diagnostic_only,constant_flip_rate,3445,21,0.006095791001451379,0.4034754672897196,0.005039994519563331,0.03874073011708063,
large,obqa,word,0,T,all,FFR_E0,694,71,0.10230547550432277,0.537675491149142,0.12070453261792352,0.3306756628689316,
large,obqa,word,0,T,all,constant_flip_rate,694,71,0.10230547550432277,0.5,0.10230547550432277,0.3301725393031292,
large,obqa,word,0,T,both_R_and_action_valid_diagnostic_only,FFR_E0,694,71,0.10230547550432277,0.537675491149142,0.12070453261792352,0.3306756628689316,
large,obqa,word,0,T,both_R_and_action_valid_diagnostic_only,constant_flip_rate,694,71,0.10230547550432277,0.5,0.10230547550432277,0.3301725393031292,
large,obqa,word,0,C,all,FFR_E0,694,57,0.08213256484149856,0.5077528987303422,0.09188988810232585,0.2848923981018257,
large,obqa,word,0,C,all,constant_flip_rate,694,57,0.08213256484149856,0.5,0.08213256484149856,0.28395183815851205,
large,obqa,word,0,C,both_R_and_action_valid_diagnostic_only,FFR_E0,693,56,0.08080808080808081,0.5159508858488451,0.09199565031335127,0.28110290236466484,
large,obqa,word,0,C,both_R_and_action_valid_diagnostic_only,constant_flip_rate,693,56,0.08080808080808081,0.5,0.08080808080808081,0.2807695968695827,
large,obqa,word,0,A,all,FFR_E0,694,9,0.012968299711815562,0.4710462287104623,0.018135461605385806,0.06993171494048504,
large,obqa,word,0,A,all,constant_flip_rate,694,9,0.012968299711815562,0.5,0.012968299711815562,0.06951630013380466,
large,obqa,word,0,A,both_R_and_action_valid_diagnostic_only,FFR_E0,691,6,0.008683068017366137,0.3914841849148419,0.008169189042583864,0.050701370706313365,
large,obqa,word,0,A,both_R_and_action_valid_diagnostic_only,constant_flip_rate,691,6,0.008683068017366137,0.5,0.008683068017366137,0.05002058857002963,
large,obqa,word,1,T,all,FFR_E0,693,62,0.08946608946608947,0.5137774142426257,0.08806392459323184,0.3044835597075673,
large,obqa,word,1,T,all,constant_flip_rate,693,62,0.08946608946608947,0.5,0.08946608946608947,0.302249389685121,
large,obqa,word,1,T,both_R_and_action_valid_diagnostic_only,FFR_E0,692,61,0.08815028901734104,0.5209009898417811,0.08792900344089566,0.30109061610568066,
large,obqa,word,1,T,both_R_and_action_valid_diagnostic_only,constant_flip_rate,692,61,0.08815028901734104,0.5,0.08815028901734104,0.29939323156695696,
large,obqa,word,1,C,all,FFR_E0,693,58,0.0836940836940837,0.49527559055118114,0.08637772264023989,0.29130248084726645,
large,obqa,word,1,C,all,constant_flip_rate,693,58,0.0836940836940837,0.5,0.0836940836940837,0.287708302126234,
large,obqa,word,1,C,both_R_and_action_valid_diagnostic_only,FFR_E0,692,57,0.08236994219653179,0.5029976516093383,0.08634905729474092,0.2875642042012593,
large,obqa,word,1,C,both_R_and_action_valid_diagnostic_only,constant_flip_rate,692,57,0.08236994219653179,0.5,0.08236994219653179,0.28452007273326396,
large,obqa,word,1,A,all,FFR_E0,693,4,0.005772005772005772,0.5268505079825834,0.007597024669543263,0.037749387300681926,
large,obqa,word,1,A,all,constant_flip_rate,693,4,0.005772005772005772,0.5,0.005772005772005772,0.03767013837086391,
large,obqa,word,1,A,both_R_and_action_valid_diagnostic_only,FFR_E0,690,2,0.002898550724637681,0.6184593023255814,0.005920550038197097,0.024969618964716375,
large,obqa,word,1,A,both_R_and_action_valid_diagnostic_only,constant_flip_rate,690,2,0.002898550724637681,0.5,0.002898550724637681,0.025058579670517035,
large,obqa,word,2,T,all,FFR_E0,693,66,0.09523809523809523,0.47653569184669664,0.08913656171726074,0.32062043761313486,
large,obqa,word,2,T,all,constant_flip_rate,693,66,0.09523809523809523,0.5,0.09523809523809523,0.31467653164977333,
large,obqa,word,2,T,both_R_and_action_valid_diagnostic_only,FFR_E0,692,65,0.09393063583815028,0.4826892405839774,0.08893877781610551,0.31724072945923193,
large,obqa,word,2,T,both_R_and_action_valid_diagnostic_only,constant_flip_rate,692,65,0.09393063583815028,0.5,0.09393063583815028,0.3118178338018011,
large,obqa,word,2,C,all,FFR_E0,693,51,0.0735930735930736,0.5207684319833853,0.0826741806943565,0.2642983712468469,
large,obqa,word,2,C,all,constant_flip_rate,693,51,0.0735930735930736,0.5,0.0735930735930736,0.2637240999894504,
large,obqa,word,2,C,both_R_and_action_valid_diagnostic_only,FFR_E0,690,48,0.06956521739130435,0.5293678608515058,0.08096952515744224,0.2541414269563686,
large,obqa,word,2,C,both_R_and_action_valid_diagnostic_only,constant_flip_rate,690,48,0.06956521739130435,0.5,0.06956521739130435,0.2541583211172733,
large,obqa,word,2,A,all,FFR_E0,693,10,0.01443001443001443,0.6143484626647145,0.04428140928770608,0.07562660315856927,
large,obqa,word,2,A,all,constant_flip_rate,693,10,0.01443001443001443,0.5,0.01443001443001443,0.07631509634413011,
large,obqa,word,2,A,both_R_and_action_valid_diagnostic_only,FFR_E0,688,6,0.00872093023255814,0.40078201368523947,0.007941210136506852,0.0505163863546435,
large,obqa,word,2,A,both_R_and_action_valid_diagnostic_only,constant_flip_rate,688,6,0.00872093023255814,0.5,0.00872093023255814,0.05013705077477867,
large,obqa,word,3,T,all,FFR_E0,693,65,0.09379509379509379,0.5651151396374327,0.11746425175620528,0.3104292177084533,
large,obqa,word,3,T,all,constant_flip_rate,693,65,0.09379509379509379,0.5,0.09379509379509379,0.31155066453568375,
large,obqa,word,3,T,both_R_and_action_valid_diagnostic_only,FFR_E0,692,64,0.09248554913294797,0.5739201831210191,0.11783196450492489,0.30670642056933467,
large,obqa,word,3,T,both_R_and_action_valid_diagnostic_only,constant_flip_rate,692,64,0.09248554913294797,0.5,0.09248554913294797,0.3086926013684202,
large,obqa,word,3,C,all,FFR_E0,693,60,0.08658008658008658,0.5680621379673513,0.10033333227407074,0.2937083177884892,
large,obqa,word,3,C,all,constant_flip_rate,693,60,0.08658008658008658,0.5,0.08658008658008658,0.29469879997340015,
large,obqa,word,3,C,both_R_and_action_valid_diagnostic_only,FFR_E0,691,58,0.08393632416787265,0.5717709865446424,0.0974638618785032,0.28709440550687126,
