pair,dataset,family,fold,action,validity_scope,n,flip_count,flip_rate,gain_count,harm_count,zero_gain_flip_count,R_accuracy,action_accuracy
large,obqa,word,pooled,T,all,3466,346,0.0998268897864974,219,71,56,0.8165031736872476,0.859203693017888
large,obqa,word,pooled,T,both_valid,3461,341,0.0985264374458249,218,70,53,0.8173938168159491,0.860156024270442
large,obqa,word,pooled,T,R_invalid_only,4,4,1.0,1,0,3,0.0,0.25
large,obqa,word,pooled,T,action_invalid_only,1,1,1.0,0,1,0,1.0,0.0
large,obqa,word,pooled,T,both_invalid,0,0,NA,0,0,0,NA,NA
large,obqa,word,pooled,C,all,3466,287,0.08280438545874207,74,144,69,0.8165031736872476,0.7963069821119446
large,obqa,word,pooled,C,both_valid,3455,276,0.07988422575976845,71,141,64,0.8182344428364688,0.7979739507959479
large,obqa,word,pooled,C,R_invalid_only,4,4,1.0,3,0,1,0.0,0.75
large,obqa,word,pooled,C,action_invalid_only,7,7,1.0,0,3,4,0.42857142857142855,0.0
large,obqa,word,pooled,C,both_invalid,0,0,NA,0,0,0,NA,NA
large,obqa,word,pooled,A,all,3466,38,0.010963646855164455,12,10,16,0.8165031736872476,0.8170802077322562
large,obqa,word,pooled,A,both_valid,3445,21,0.006095791001451379,12,4,5,0.8197387518142235,0.8220609579100145
large,obqa,word,pooled,A,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,obqa,word,pooled,A,action_invalid_only,17,17,1.0,0,6,11,0.35294117647058826,0.0
large,obqa,word,pooled,A,both_invalid,4,0,0.0,0,0,0,0.0,0.0
large,obqa,word,0,T,all,694,71,0.10230547550432277,44,18,9,0.8213256484149856,0.8587896253602305
large,obqa,word,0,T,both_valid,694,71,0.10230547550432277,44,18,9,0.8213256484149856,0.8587896253602305
large,obqa,word,0,T,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,obqa,word,0,T,action_invalid_only,0,0,NA,0,0,0,NA,NA
large,obqa,word,0,T,both_invalid,0,0,NA,0,0,0,NA,NA
large,obqa,word,0,C,all,694,57,0.08213256484149856,18,31,8,0.8213256484149856,0.8025936599423631
large,obqa,word,0,C,both_valid,693,56,0.08080808080808081,18,30,8,0.8210678210678211,0.8037518037518038
large,obqa,word,0,C,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,obqa,word,0,C,action_invalid_only,1,1,1.0,0,1,0,1.0,0.0
large,obqa,word,0,C,both_invalid,0,0,NA,0,0,0,NA,NA
large,obqa,word,0,A,all,694,9,0.012968299711815562,3,3,3,0.8213256484149856,0.8213256484149856
large,obqa,word,0,A,both_valid,691,6,0.008683068017366137,3,1,2,0.8219971056439942,0.8248914616497829
large,obqa,word,0,A,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,obqa,word,0,A,action_invalid_only,3,3,1.0,0,2,1,0.6666666666666666,0.0
large,obqa,word,0,A,both_invalid,0,0,NA,0,0,0,NA,NA
large,obqa,word,1,T,all,693,62,0.08946608946608947,40,10,12,0.8181818181818182,0.8614718614718615
large,obqa,word,1,T,both_valid,692,61,0.08815028901734104,39,10,12,0.819364161849711,0.861271676300578
large,obqa,word,1,T,R_invalid_only,1,1,1.0,1,0,0,0.0,1.0
large,obqa,word,1,T,action_invalid_only,0,0,NA,0,0,0,NA,NA
large,obqa,word,1,T,both_invalid,0,0,NA,0,0,0,NA,NA
large,obqa,word,1,C,all,693,58,0.0836940836940837,16,29,13,0.8181818181818182,0.7994227994227994
large,obqa,word,1,C,both_valid,692,57,0.08236994219653179,16,29,12,0.819364161849711,0.8005780346820809
large,obqa,word,1,C,R_invalid_only,1,1,1.0,0,0,1,0.0,0.0
large,obqa,word,1,C,action_invalid_only,0,0,NA,0,0,0,NA,NA
large,obqa,word,1,C,both_invalid,0,0,NA,0,0,0,NA,NA
large,obqa,word,1,A,all,693,4,0.005772005772005772,1,2,1,0.8181818181818182,0.8167388167388168
large,obqa,word,1,A,both_valid,690,2,0.002898550724637681,1,1,0,0.8202898550724638,0.8202898550724638
large,obqa,word,1,A,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,obqa,word,1,A,action_invalid_only,2,2,1.0,0,1,1,0.5,0.0
large,obqa,word,1,A,both_invalid,1,0,0.0,0,0,0,0.0,0.0
large,obqa,word,2,T,all,693,66,0.09523809523809523,48,11,7,0.8326118326118326,0.886002886002886
