repeat,pair,task,reference,probe_score_and_route_match,R_routed_match_dev_R_raw,reference_routed_match_same_run_fixed_raw,all_match,source
REPEAT1,large,OBQA,Text,128/128,97/97,31/31,True,large/records/e2e_requests.jsonl frozen_identity; large/results/records/paired_e2e_512.jsonl; same-run raw from records
REPEAT1,large,OBQA,C2C,128/128,97/97,31/31,True,large/records/e2e_requests.jsonl frozen_identity; large/results/records/paired_e2e_512.jsonl; same-run raw from records
REPEAT1,large,ARC,Text,128/128,120/120,8/8,True,large/records/e2e_requests.jsonl frozen_identity; large/results/records/paired_e2e_512.jsonl; same-run raw from records
REPEAT1,large,ARC,C2C,128/128,115/115,13/13,True,large/records/e2e_requests.jsonl frozen_identity; large/results/records/paired_e2e_512.jsonl; same-run raw from records
REPEAT1,medium,OBQA,C2C,128/128,66/66,62/62,True,medium/results/summary/output_identity_checks.csv
REPEAT1,medium,ARC,C2C,128/128,77/77,51/51,True,medium/results/summary/output_identity_checks.csv
REPEAT1,large,MMLU-Pro,Text,128/128,48/48,80/80,True,mmlu/results/summary/output_identity_checks.csv
REPEAT1,large,MMLU-Pro,C2C,128/128,48/48,80/80,True,mmlu/results/summary/output_identity_checks.csv
REPEAT2,large,OBQA,Text,128/128,97/97,31/31,True,large/records/e2e_requests.jsonl frozen_identity; large/results/records/paired_e2e_512.jsonl; same-run raw from records
REPEAT2,large,OBQA,C2C,128/128,97/97,31/31,True,large/records/e2e_requests.jsonl frozen_identity; large/results/records/paired_e2e_512.jsonl; same-run raw from records
REPEAT2,large,ARC,Text,128/128,120/120,8/8,True,large/records/e2e_requests.jsonl frozen_identity; large/results/records/paired_e2e_512.jsonl; same-run raw from records
REPEAT2,large,ARC,C2C,128/128,115/115,13/13,True,large/records/e2e_requests.jsonl frozen_identity; large/results/records/paired_e2e_512.jsonl; same-run raw from records
REPEAT2,medium,OBQA,C2C,128/128,66/66,62/62,True,medium/results/summary/output_identity_checks.csv
REPEAT2,medium,ARC,C2C,128/128,77/77,51/51,True,medium/results/summary/output_identity_checks.csv
REPEAT2,large,MMLU-Pro,Text,128/128,48/48,80/80,True,mmlu/results/summary/output_identity_checks.csv
REPEAT2,large,MMLU-Pro,C2C,128/128,48/48,80/80,True,mmlu/results/summary/output_identity_checks.csv
REPEAT3,large,OBQA,Text,128/128,97/97,31/31,True,large/records/e2e_requests.jsonl frozen_identity; large/results/records/paired_e2e_512.jsonl; same-run raw from records
REPEAT3,large,OBQA,C2C,128/128,97/97,31/31,True,large/records/e2e_requests.jsonl frozen_identity; large/results/records/paired_e2e_512.jsonl; same-run raw from records
REPEAT3,large,ARC,Text,128/128,120/120,8/8,True,large/records/e2e_requests.jsonl frozen_identity; large/results/records/paired_e2e_512.jsonl; same-run raw from records
REPEAT3,large,ARC,C2C,128/128,115/115,13/13,True,large/records/e2e_requests.jsonl frozen_identity; large/results/records/paired_e2e_512.jsonl; same-run raw from records
REPEAT3,medium,OBQA,C2C,128/128,66/66,62/62,True,medium/results/summary/output_identity_checks.csv
REPEAT3,medium,ARC,C2C,128/128,77/77,51/51,True,medium/results/summary/output_identity_checks.csv
REPEAT3,large,MMLU-Pro,Text,128/128,48/48,80/80,True,mmlu/results/summary/output_identity_checks.csv
REPEAT3,large,MMLU-Pro,C2C,128/128,48/48,80/80,True,mmlu/results/summary/output_identity_checks.csv
MMLU_C2C_FULL,large,MMLU-Pro,C2C,2641/2641,1069/1069,1572/1572,True,MMLU_C2C_FULL/results/summary/output_identity_checks.csv
