repeat,pair,task,reference,N,a_mean_ms,a_CI_low,a_CI_high,a_median_ms,b_N,b_excluded_ids,b_mean_ms,b_CI_low,b_CI_high,b_median_ms,b_class,ClusterB_class_b,fixed_first_id,fixed_first_attempt,fixed_first_ms,fixed_first_global_cold,policy_first_id,policy_first_attempt,policy_first_ms,policy_first_global_cold,source,a_equals_original_analyze
REPEAT1,large,OBQA,Text,128,395.4682054500154,325.32651743699716,458.2903760238423,524.8162801144645,127,9-782,419.6236575568667,370.70688092631957,468.6509229574631,525.2622861880809,+,+,9-782,2,1139.384960057214,False,9-782,1,3811.6591721773148,True,$DATA_DIR/P2_R1_E3POL_REPEAT1_20260919T075315Z/large/records/e2e_requests.jsonl,True
REPEAT1,large,OBQA,C2C,128,29.4188631214638,14.933092807223147,45.53738553959191,14.632923528552055,127,9-782,27.4129436281693,13.840464793015492,42.30597729865263,14.288577949628234,+,+,9-782,4,512.9387348424643,False,9-782,3,228.7680960725993,False,$DATA_DIR/P2_R1_E3POL_REPEAT1_20260919T075315Z/large/records/e2e_requests.jsonl,True
REPEAT1,large,ARC,Text,128,573.5230015616253,536.0401597722557,608.7261720114839,592.1702994965017,127,Mercury_7207358,573.1521748486672,535.8176803351545,609.5833802601692,590.4961989726871,+,+,Mercury_7207358,514,847.2355811391026,False,Mercury_7207358,513,226.61758703179657,False,$DATA_DIR/P2_R1_E3POL_REPEAT1_20260919T075315Z/large/records/e2e_requests.jsonl,True
REPEAT1,large,ARC,C2C,128,91.38224307025666,68.90337367085522,116.18958345329699,47.42375249043107,127,Mercury_7207358,92.39784231424098,70.16121526977494,115.78808530127468,47.504163114354014,+,+,Mercury_7207358,516,188.63232200965285,False,Mercury_7207358,515,226.23118292540312,False,$DATA_DIR/P2_R1_E3POL_REPEAT1_20260919T075315Z/large/records/e2e_requests.jsonl,True
REPEAT1,medium,OBQA,C2C,128,49.88400625370559,35.808917091753756,65.49575623530471,59.743345249444246,127,9-782,47.283189671891414,34.04031247166389,61.88987198255504,58.61195921897888,+,+,9-782,1,708.4853530395776,True,9-782,2,328.297640895471,False,$DATA_DIR/P2_R1_E3POL_REPEAT1_20260919T075315Z/medium/records/e2e_requests.jsonl,True
REPEAT1,medium,ARC,C2C,128,79.1811328726908,58.50284092061884,104.47097652927368,61.930859461426735,127,Mercury_7207358,79.30536300501251,57.62490823463441,104.26283100593326,61.90061895176768,+,+,Mercury_7207358,257,265.8055708743632,False,Mercury_7207358,258,202.40166480652988,False,$DATA_DIR/P2_R1_E3POL_REPEAT1_20260919T075315Z/medium/records/e2e_requests.jsonl,True
REPEAT1,large,MMLU-Pro,Text,128,261.3976368884323,191.14326074741257,331.5464080585116,-20.873791188932955,127,test:3074,260.8223412420571,189.868242159627,333.90785593082956,-20.99102921783924,+,+,test:3074,1,1658.1568620167673,True,test:3074,2,1323.6966780386865,False,$DATA_DIR/P2_R1_E3POL_REPEAT1_20260919T075315Z/mmlu/records/four_arm_requests.jsonl,True
REPEAT1,large,MMLU-Pro,C2C,128,-0.13460550871968735,-23.3568863633991,27.77727852321731,-39.41159346140921,127,test:3074,-0.03130697850577944,-24.48987241799569,28.26005441235656,-41.31576791405678,?,?,test:3074,3,792.1977350488305,False,test:3074,4,805.4512538947165,False,$DATA_DIR/P2_R1_E3POL_REPEAT1_20260919T075315Z/mmlu/records/four_arm_requests.jsonl,True
REPEAT2,large,OBQA,Text,128,427.62454139301553,376.432344411387,474.3781771291651,532.7235765289515,127,9-782,430.1622496884844,380.9329411914612,479.85103777376014,532.7628550585359,+,+,9-782,2,1041.8201368302107,False,9-782,1,936.4845489617437,True,$DATA_DIR/P2_R1_E3POL_REPEAT2_20260919T075315Z/large/records/e2e_requests.jsonl,True
REPEAT2,large,OBQA,C2C,128,30.279917831649072,15.671668492404933,46.48493701015466,14.40375717356801,127,9-782,29.259979224389816,14.940077589419634,44.177901927257075,14.273659326136112,+,+,9-782,4,395.7814280875027,False,9-782,3,235.96930713392794,False,$DATA_DIR/P2_R1_E3POL_REPEAT2_20260919T075315Z/large/records/e2e_requests.jsonl,True
