pair,task,reference,variant,historically_tested,deployed_q,fit_threshold,cal_n,cal_k,accepted_q,status_q_cal,dev_N,dev_omitted,dev_changed,dev_coverage_pct,dev_changed_over_omitted,dev_AUROC,status_dev,label
small,OBQA,Text,learned_D,,0.0,,-,-,,P2_R1_CPU (unchanged),742,0,0,0.0,N/A (fallback),0.5527,NEW: P2_R1_CPU saved model on ClusterA E2b dev features (results/e2b/small/features/small_obqa_dev),POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,C2C,learned_D,,0.0,,-,-,,P2_R1_CPU (unchanged),742,0,0,0.0,N/A (fallback),0.6384,NEW: P2_R1_CPU saved model on ClusterA E2b dev features (results/e2b/small/features/small_obqa_dev),POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,ARC,Text,learned_D,,0.0,,-,-,,P2_R1_CPU (unchanged),299,0,0,0.0,N/A (fallback),0.5481,NEW: P2_R1_CPU saved model on ClusterA E2b dev features (results/e2b/small/features/small_arc_dev),POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,ARC,C2C,learned_D,,0.0,,-,-,,P2_R1_CPU (unchanged),299,0,0,0.0,N/A (fallback),0.6277,NEW: P2_R1_CPU saved model on ClusterA E2b dev features (results/e2b/small/features/small_arc_dev),POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,learned_D,,0.0,,-,-,,NEW (this analysis; ClusterA E2b fit/cal features),742,0,0,0.0,N/A (fallback),0.686,NEW (ClusterA E2b dev features),POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,C2C,learned_D,,0.0,,-,-,,NEW (this analysis; ClusterA E2b fit/cal features),742,0,0,0.0,N/A (fallback),0.7497,NEW (ClusterA E2b dev features),POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,ARC,Text,learned_D,,0.0,,-,-,,NEW (this analysis; ClusterA E2b fit/cal features),299,0,0,0.0,N/A (fallback),0.6952,NEW (ClusterA E2b dev features),POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,ARC,C2C,learned_D,,0.0,,-,-,,NEW (this analysis; ClusterA E2b fit/cal features),299,0,0,0.0,N/A (fallback),0.7121,NEW (ClusterA E2b dev features),POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,OBQA,Text,learned_D,historically tested (P2_RISK_CALIBRATION_BINARY D),0.3,0.08307916184658848,380,6,0.15;0.2;0.25;0.3,P2_R1_CPU (unchanged),742,230,6,30.997304582210244,6/230,0.7631426202321725,P2_R1_CPU (unchanged; ClusterB dev features),POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,OBQA,C2C,learned_D,,0.55,0.07698220411126118,698,15,0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55,P2_R1_CPU (unchanged),742,399,13,53.77358490566038,13/399,0.7600928641251221,P2_R1_CPU (unchanged; ClusterB dev features),POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,Text,learned_D,,0.9,0.05049086658030989,401,7,0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9,P2_R1_CPU (unchanged),299,272,7,90.97,7/272,0.8777,NEW: P2_R1_CPU saved model on ClusterA E2b dev features (results/e2b/large/features/large_arc_dev),POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,C2C,learned_D,,0.65,0.047249153338723045,303,4,0.3;0.35;0.5;0.65,P2_R1_CPU (unchanged),299,194,4,64.88,4/194,0.7724,NEW: P2_R1_CPU saved model on ClusterA E2b dev features (results/e2b/large/features/large_arc_dev),POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,MMLU-Pro,Text,learned_D,,0.05,0.1402533038405313,291,1,0.05,NEW (this analysis; ClusterA E2b fit/cal features),2641,128,5,4.85,5/128,0.6402,NEW (ClusterA E2b dev features),POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,MMLU-Pro,C2C,learned_D,,0.0,,-,-,,NEW (this analysis; ClusterA E2b fit/cal features),2641,0,0,0.0,N/A (fallback),0.7428,NEW (ClusterA E2b dev features),POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
