pair,task,reference,score,q,threshold,N,n,k,p,CP,accepted,label
medium,OBQA,Text,learned_D,0.05,0.165063418040908,1366,73,1,0.11451369084827127,0.11959194300019782,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,learned_D,0.1,0.18298294606789478,1366,144,7,0.568201035053587,0.13042197520482193,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,learned_D,0.15,0.1968045748745803,1366,224,17,0.9666397590826988,0.14603568309438203,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,learned_D,0.2,0.2056909177220114,1366,283,25,0.9976974655802918,0.15226041706986052,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,learned_D,0.25,0.21319776012764985,1366,348,32,0.9996183897994505,0.14930743720048598,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,learned_D,0.3,0.21979237245140262,1366,395,40,0.9999894791243982,0.15631738867488087,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,learned_D,0.35,0.22594127383673088,1366,459,49,0.9999997011962972,0.15819997840471067,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,learned_D,0.4,0.23237452598357383,1366,521,62,0.9999999998409997,0.16872616854463066,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,learned_D,0.45,0.23833394443490133,1366,593,76,0.9999999999999571,0.17563048983227075,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,learned_D,0.5,0.24405361082285093,1366,654,89,1.0,0.18200263575433198,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,learned_D,0.55,0.25014694417760575,1366,724,113,1.0,0.20159819686823105,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,learned_D,0.6,0.25611200288718955,1366,792,133,1.0,0.21237427737330386,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,learned_D,0.65,0.26273564622730977,1366,867,150,1.0,0.21577177354631713,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,learned_D,0.7,0.2689682274350132,1366,944,176,1.0,0.22832263900416877,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,learned_D,0.75,0.27649843915521,1366,1021,202,1.0,0.23879902651882592,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,learned_D,0.8,0.2832287390728355,1366,1082,214,1.0,0.2374945113986297,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,learned_D,0.85,0.29067302950032026,1366,1147,243,1.0,0.25121613033928414,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,learned_D,0.9,0.30030979581181355,1366,1207,268,1.0,0.2609181853667599,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,learned_D,0.95,0.3186026806970073,1366,1292,310,1.0,0.27834097001826674,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,learned_D,1.0,Infinity,1366,1366,348,1.0,0.2927117503619878,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,C2C,learned_D,0.05,0.11530019965749393,1366,76,0,0.020276547153583718,0.08688323667135033,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,C2C,learned_D,0.1,0.12533678091701006,1366,148,6,0.38693777491910947,0.11715146734331643,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,C2C,learned_D,0.15,0.13330514445880476,1366,215,9,0.36313842884772485,0.1020731298860907,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,C2C,learned_D,0.2,0.13937854357156612,1366,265,12,0.4324359107714573,0.0991165102005268,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
