dataset,reference,metric,mean,CI95_low,CI95_high,seed,replicates,unit,indices_sha256
obqa,T,net_saving_ms,401.81623434182256,335.648053389923,460.5808705231993,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,T,latency_diff_policy_minus_reference_ms,-401.81623434182256,-460.58087052319934,-335.648053389923,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,T,accuracy_diff,-0.0078125,-0.0390625,0.015625,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,T,delta_U,0.008110239598429802,-0.02167872138138908,0.032939742538667535,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,T,saving_minus_component_ms,-117.07458163658384,-173.46898431405833,-85.26936819875304,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,C,net_saving_ms,30.39698796601442,15.49732186813344,46.63102076278846,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,C,latency_diff_policy_minus_reference_ms,-30.39698796601442,-46.63102076278847,-15.497321868133447,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,C,accuracy_diff,0.0078125,0.0,0.0234375,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,C,delta_U,0.009017038997166833,0.0007619887102296163,0.025119622823009596,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,C,saving_minus_component_ms,2.222215714170498,-3.6940588124871976,8.231256288489607,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
arc,T,net_saving_ms,574.1798013023072,536.2888059965826,611.2051777444321,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,T,latency_diff_policy_minus_reference_ms,-574.1798013023072,-611.2051777444321,-536.2888059965826,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,T,accuracy_diff,0.0,-0.0234375,0.0234375,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,T,delta_U,0.021509636666092322,-0.001814333922679816,0.045308206110870344,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,T,saving_minus_component_ms,-122.95064003750535,-131.5480061630494,-113.88956756835141,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,C,net_saving_ms,90.18262826793944,66.94733783642732,115.78337276891942,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,C,latency_diff_policy_minus_reference_ms,-90.18262826793944,-115.78337276891943,-66.94733783642732,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,C,accuracy_diff,0.0078125,-0.015625,0.0390625,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,C,delta_U,0.011190876535080052,-0.012659908943249934,0.042095568689350694,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,C,saving_minus_component_ms,-11.015376603123078,-16.898659720902007,-5.043406549767501,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
