task,id,route,policy_C_vs_same_round_fixed_C_raw_match,policy_C_vs_same_round_fixed_C_parsed_match,policy_C_vs_same_round_fixed_C_token_ids_match,policy_R_vs_Stage1_R_raw_match,policy_R_vs_Stage1_R_parsed_match,policy_R_vs_Stage1_R_token_ids_match,fixed_C_vs_Stage1_C_raw_match,fixed_C_vs_Stage1_C_parsed_match,online_ProbeMax_exactly_matches_Stage1,online_probe_input_hash_matches_Stage1,online_route_matches_Stage1,differences_retained_no_retry
obqa,9-782,C,True,True,True,,,,True,True,True,True,True,True
obqa,14-290,R,,,,True,True,True,True,True,True,True,True,True
obqa,13-823,C,True,True,True,,,,True,True,True,True,True,True
obqa,12-745,C,True,True,True,,,,True,True,True,True,True,True
obqa,14-245,C,True,True,True,,,,True,True,True,True,True,True
obqa,12-721,C,True,True,True,,,,True,True,True,True,True,True
obqa,11-642,C,True,True,True,,,,True,True,True,True,True,True
obqa,12-577,C,True,True,True,,,,True,True,True,True,True,True
obqa,14-1215,R,,,,True,True,True,True,True,True,True,True,True
obqa,12-488,R,,,,True,True,True,True,True,True,True,True,True
obqa,9-892,C,True,True,True,,,,True,True,True,True,True,True
obqa,1683,R,,,,True,True,True,True,True,True,True,True,True
obqa,11-744,C,True,True,True,,,,True,True,True,True,True,True
obqa,12-428,R,,,,True,True,True,True,True,True,True,True,True
obqa,10-443,C,True,True,True,,,,True,True,True,True,True,True
obqa,14-676,C,True,True,True,,,,True,True,True,True,True,True
obqa,14-129,C,True,True,True,,,,True,True,True,True,True,True
obqa,7-321,C,True,True,True,,,,True,True,True,True,True,True
obqa,13-462,C,True,True,True,,,,True,True,True,True,True,True
obqa,7-455,R,,,,True,True,True,True,True,True,True,True,True
obqa,10-677,C,True,True,True,,,,True,True,True,True,True,True
obqa,13-944,C,True,True,True,,,,True,True,True,True,True,True
obqa,14-1171,C,True,True,True,,,,True,True,True,True,True,True
obqa,10-973,R,,,,True,True,True,True,True,True,True,True,True
obqa,14-109,C,True,True,True,,,,True,True,True,True,True,True
obqa,13-42,C,True,True,True,,,,True,True,True,True,True,True
obqa,10-702,C,True,True,True,,,,True,True,True,True,True,True
obqa,14-1445,C,True,True,True,,,,True,True,True,True,True,True
obqa,7-1076,C,True,True,True,,,,True,True,True,True,True,True
obqa,7-26,R,,,,True,True,True,True,True,True,True,True,True
obqa,12-1083,R,,,,True,True,True,True,True,True,True,True,True
obqa,12-105,C,True,True,True,,,,True,True,True,True,True,True
obqa,1341,R,,,,True,True,True,True,True,True,True,True,True
obqa,14-671,C,True,True,True,,,,True,True,True,True,True,True
obqa,11-176,R,,,,True,True,True,True,True,True,True,True,True
obqa,9-695,R,,,,True,True,True,True,True,True,True,True,True
obqa,9-985,R,,,,True,True,True,True,True,True,True,True,True
obqa,14-61,C,True,True,True,,,,True,True,True,True,True,True
obqa,10-823,R,,,,True,True,True,True,True,True,True,True,True
obqa,1851,R,,,,True,True,True,True,True,True,True,True,True
obqa,9-844,R,,,,True,True,True,True,True,True,True,True,True
obqa,1655,R,,,,True,True,True,True,True,True,True,True,True
obqa,383,R,,,,True,True,True,True,True,True,True,True,True
obqa,919,C,True,True,True,,,,True,True,True,True,True,True
obqa,14-45,R,,,,True,True,True,True,True,True,True,True,True
obqa,11-131,R,,,,True,True,True,True,True,True,True,True,True
obqa,11-559,R,,,,True,True,True,True,True,True,True,True,True
obqa,12-1066,C,True,True,True,,,,True,True,True,True,True,True
obqa,14-1299,C,True,True,True,,,,True,True,True,True,True,True
obqa,11-240,R,,,,True,True,True,True,True,True,True,True,True
obqa,14-491,R,,,,True,True,True,True,True,True,True,True,True
obqa,10-916,R,,,,True,True,True,True,True,True,True,True,True
obqa,9-1064,R,,,,True,True,True,True,True,True,True,True,True
obqa,14-223,C,True,True,True,,,,True,True,True,True,True,True
obqa,11-141,R,,,,True,True,True,True,True,True,True,True,True
obqa,10-347,C,True,True,True,,,,True,True,True,True,True,True
obqa,12-306,C,True,True,True,,,,True,True,True,True,True,True
obqa,13-71,R,,,,True,True,True,True,True,True,True,True,True
obqa,10-415,R,,,,True,True,True,True,True,True,True,True,True
obqa,10-184,C,True,True,True,,,,True,True,True,True,True,True
obqa,11-57,C,True,True,True,,,,True,True,True,True,True,True
obqa,11-747,C,True,True,True,,,,True,True,True,True,True,True
obqa,12-1159,C,True,True,True,,,,True,True,True,True,True,True
obqa,14-595,C,True,True,True,,,,True,True,True,True,True,True
obqa,10-58,C,True,True,True,,,,True,True,True,True,True,True
obqa,9-400,R,,,,True,True,True,True,True,True,True,True,True
obqa,11-666,C,True,True,True,,,,True,True,True,True,True,True
obqa,8-323,C,True,True,True,,,,True,True,True,True,True,True
obqa,14-948,R,,,,True,True,True,True,True,True,True,True,True
obqa,11-693,C,True,True,True,,,,True,True,True,True,True,True
obqa,10-741,C,True,True,True,,,,True,True,True,True,True,True
obqa,7-647,R,,,,True,True,True,True,True,True,True,True,True
obqa,7-104,C,True,True,True,,,,True,True,True,True,True,True
obqa,12-645,C,True,True,True,,,,True,True,True,True,True,True
obqa,10-1035,C,True,True,True,,,,True,True,True,True,True,True
obqa,241,R,,,,True,True,True,True,True,True,True,True,True
obqa,10-783,R,,,,True,True,True,True,True,True,True,True,True
obqa,9-795,C,True,True,True,,,,True,True,True,True,True,True
obqa,14-757,R,,,,True,True,True,True,True,True,True,True,True
obqa,9-1040,R,,,,True,True,True,True,True,True,True,True,True
obqa,10-580,C,True,True,True,,,,True,True,True,True,True,True
obqa,10-681,R,,,,True,True,True,True,True,True,True,True,True
obqa,14-1004,C,True,True,True,,,,True,True,True,True,True,True
obqa,14-456,R,,,,True,True,True,True,True,True,True,True,True
obqa,9-1036,R,,,,True,True,True,True,True,True,True,True,True
obqa,11-737,C,True,True,True,,,,True,True,True,True,True,True
obqa,12-541,R,,,,True,True,True,True,True,True,True,True,True
obqa,13-286,R,,,,True,True,True,True,True,True,True,True,True
obqa,1894,R,,,,True,True,True,True,True,True,True,True,True
obqa,1046,R,,,,True,True,True,True,True,True,True,True,True
obqa,7-229,C,True,True,True,,,,True,True,True,True,True,True
obqa,12-401,R,,,,True,True,True,True,True,True,True,True,True
