reference,resample,mean_saving_ms,seed,N
Text,0,286.51117018671357,0,128
Text,1,267.59022897385876,0,128
Text,2,227.57341755277594,0,128
Text,3,227.90037090453552,0,128
Text,4,287.45665627502603,0,128
Text,5,253.72660404718772,0,128
Text,6,258.16307867899013,0,128
Text,7,234.891755730132,0,128
Text,8,271.2509528755618,0,128
Text,9,304.49448492254305,0,128
Text,10,271.47135868290206,0,128
Text,11,199.76437092918786,0,128
Text,12,300.450995006031,0,128
Text,13,199.30619037040742,0,128
Text,14,223.41494243119087,0,128
Text,15,186.61679270371678,0,128
Text,16,227.58149358378432,0,128
Text,17,266.89714276108134,0,128
Text,18,271.6109834091185,0,128
Text,19,305.42019288259326,0,128
Text,20,320.6313166247128,0,128
Text,21,300.44141271901026,0,128
Text,22,243.281687158742,0,128
Text,23,201.14791906962637,0,128
Text,24,267.84199118992547,0,128
Text,25,309.9920424792799,0,128
Text,26,251.69739565535565,0,128
Text,27,269.1494268055976,0,128
Text,28,275.4943151758198,0,128
Text,29,271.89011774680694,0,128
Text,30,239.2198766447109,0,128
Text,31,239.17602882283973,0,128
Text,32,258.98994208364456,0,128
Text,33,258.4840243343933,0,128
Text,34,282.51970078963495,0,128
Text,35,284.0933107199817,0,128
Text,36,240.30051810768782,0,128
Text,37,259.25812498826417,0,128
Text,38,275.6687402343232,0,128
Text,39,239.14333561515377,0,128
Text,40,252.55279647535644,0,128
Text,41,232.14261018802063,0,128
Text,42,321.9809717647877,0,128
Text,43,278.7769922961161,0,128
Text,44,274.6177622666437,0,128
Text,45,258.1121841285494,0,128
Text,46,316.68390002596425,0,128
Text,47,300.6925901390787,0,128
Text,48,220.40132444635674,0,128
Text,49,260.84440576778434,0,128
Text,50,263.50151261613064,0,128
Text,51,260.09760915258084,0,128
Text,52,249.69053790664475,0,128
Text,53,244.59930985904066,0,128
Text,54,244.4854694422247,0,128
Text,55,288.9254913225159,0,128
Text,56,247.49972229255945,0,128
Text,57,403.65678973830654,0,128
Text,58,234.3999788918154,0,128
Text,59,260.7346432250779,0,128
Text,60,234.0159784471325,0,128
Text,61,230.29788659550832,0,128
Text,62,240.7089061671286,0,128
Text,63,202.62993196774914,0,128
Text,64,189.2345201176795,0,128
Text,65,279.7833307831752,0,128
Text,66,256.77034032560186,0,128
Text,67,192.00794477001182,0,128
Text,68,227.14293374156114,0,128
Text,69,285.92695111547073,0,128
Text,70,265.3940581385541,0,128
Text,71,237.70290119318815,0,128
Text,72,221.19264980210573,0,128
Text,73,272.4830048646254,0,128
Text,74,234.59359469052288,0,128
Text,75,272.78562678111484,0,128
Text,76,292.57222480737255,0,128
Text,77,239.11048390618816,0,128
Text,78,263.34808839783364,0,128
Text,79,257.6186054302525,0,128
Text,80,261.28756752586924,0,128
Text,81,188.28886229857744,0,128
Text,82,247.68274701091286,0,128
Text,83,288.590272757574,0,128
Text,84,230.71442928085162,0,128
Text,85,295.89525611481804,0,128
Text,86,335.95783884084085,0,128
Text,87,288.5713513569499,0,128
Text,88,232.58047026320128,0,128
Text,89,226.0323886603146,0,128
Text,90,221.26978423875698,0,128
Text,91,263.5126874447451,0,128
Text,92,264.87623543107475,0,128
Text,93,291.8622368542856,0,128
Text,94,221.34545682638418,0,128
Text,95,224.9441959484102,0,128
Text,96,199.06438802172488,0,128
Text,97,289.38418718098546,0,128
Text,98,250.1634430991544,0,128
Text,99,290.43471346085425,0,128
Text,100,304.3420916856121,0,128
Text,101,228.2333531202312,0,128
Text,102,308.3069964632159,0,128
Text,103,232.7920114094013,0,128
Text,104,284.74035547696985,0,128
Text,105,273.2360698209959,0,128
Text,106,192.94721621736244,0,128
Text,107,260.74726386104885,0,128
Text,108,255.51981882745167,0,128
Text,109,278.6372473983647,0,128
Text,110,274.35500075443997,0,128
Text,111,299.20580972793687,0,128
Text,112,310.98238367303566,0,128
Text,113,276.84545762531343,0,128
Text,114,179.97340029251063,0,128
Text,115,262.1121385418519,0,128
Text,116,272.22517959853576,0,128
Text,117,212.48239770284272,0,128
Text,118,267.13941421257914,0,128
Text,119,225.60517601959873,0,128
Text,120,252.8434165596991,0,128
Text,121,302.39669785623846,0,128
Text,122,296.7188522070501,0,128
Text,123,293.8935774618585,0,128
Text,124,225.09081621865334,0,128
Text,125,276.2238076538779,0,128
Text,126,279.90543172745674,0,128
Text,127,237.99155565757246,0,128
Text,128,265.67631171383255,0,128
Text,129,315.3171617141197,0,128
Text,130,305.0639098692045,0,128
Text,131,255.5532115366077,0,128
Text,132,301.1864185027662,0,128
Text,133,252.44482823109138,0,128
Text,134,197.5417932135315,0,128
Text,135,301.24768676068925,0,128
Text,136,347.59486279654084,0,128
Text,137,285.4323263873084,0,128
Text,138,272.6305239193607,0,128
Text,139,305.7176164857083,0,128
Text,140,288.9117072663794,0,128
Text,141,243.05795514010242,0,128
Text,142,232.0903931013163,0,128
Text,143,241.36051580535423,0,128
Text,144,290.1820668375876,0,128
Text,145,313.1584719303646,0,128
Text,146,244.84905001918378,0,128
Text,147,265.36315910561825,0,128
Text,148,288.4630929565901,0,128
Text,149,208.28335941951082,0,128
Text,150,251.9778352980211,0,128
Text,151,236.87272880852106,0,128
Text,152,281.0408924597141,0,128
Text,153,260.94843443934224,0,128
Text,154,265.57540351495845,0,128
Text,155,262.20770576401264,0,128
Text,156,308.7919476256502,0,128
Text,157,282.43315898544097,0,128
Text,158,248.9522196156031,0,128
Text,159,351.26906920231704,0,128
Text,160,275.70880132043385,0,128
Text,161,256.87255721095426,0,128
Text,162,253.73051392489288,0,128
Text,163,251.9242917878728,0,128
Text,164,325.22970830541453,0,128
Text,165,214.51370167596906,0,128
Text,166,303.61737818384427,0,128
Text,167,249.0656668160227,0,128
Text,168,221.80216091328475,0,128
Text,169,210.90484752676275,0,128
Text,170,227.61188869117177,0,128
Text,171,290.77672451785475,0,128
Text,172,242.9588243139733,0,128
Text,173,261.7746565174457,0,128
Text,174,308.4564921209676,0,128
Text,175,269.4328256056906,0,128
Text,176,259.427070923266,0,128
Text,177,237.7660049332917,0,128
Text,178,273.07437241142907,0,128
Text,179,277.13944260176504,0,128
Text,180,265.4654354300874,0,128
Text,181,298.6956684362667,0,128
Text,182,254.50383506358776,0,128
Text,183,328.0306818069221,0,128
Text,184,283.75091320958745,0,128
Text,185,275.9228089453245,0,128
Text,186,267.29441704810597,0,128
Text,187,232.2083679446223,0,128
Text,188,302.9300207108463,0,128
Text,189,278.85152885573916,0,128
Text,190,240.77161585773865,0,128
Text,191,291.2662848484615,0,128
Text,192,244.16411265337956,0,128
Text,193,315.2323658396199,0,128
Text,194,218.73987532308092,0,128
Text,195,239.7822890416137,0,128
Text,196,250.4450063333934,0,128
Text,197,226.7490036374511,0,128
Text,198,234.1527782355115,0,128
Text,199,278.59738470397133,0,128
Text,200,248.5102229347831,0,128
Text,201,271.1628156757797,0,128
Text,202,292.55909582025197,0,128
Text,203,197.1855897700152,0,128
Text,204,238.77497501052858,0,128
Text,205,236.80771296858438,0,128
Text,206,261.0388374123431,0,128
Text,207,256.62072720479046,0,128
Text,208,214.53268242294143,0,128
Text,209,305.679857816358,0,128
Text,210,224.0296118961851,0,128
Text,211,257.18816239714215,0,128
Text,212,261.75532306842797,0,128
Text,213,309.3672144168522,0,128
Text,214,286.12235184664314,0,128
Text,215,313.56465633871267,0,128
Text,216,257.4388232005731,0,128
Text,217,213.3201908945921,0,128
Text,218,261.46192110354605,0,128
Text,219,306.10244369927386,0,128
Text,220,289.6636221321387,0,128
Text,221,263.36877001631365,0,128
Text,222,274.91101510349836,0,128
Text,223,204.70535472850315,0,128
Text,224,197.94284638919635,0,128
Text,225,230.20728905976284,0,128
Text,226,249.62660534947645,0,128
Text,227,260.17823762231274,0,128
Text,228,283.8201474623929,0,128
Text,229,287.1024397063593,0,128
Text,230,299.63296170353715,0,128
Text,231,326.3013905780099,0,128
Text,232,284.6533602223644,0,128
Text,233,242.234864135753,0,128
Text,234,278.29225075583963,0,128
Text,235,209.19833763036877,0,128
Text,236,278.6884098968585,0,128
Text,237,251.1102354801551,0,128
Text,238,265.74397339391,0,128
Text,239,251.43605656921864,0,128
Text,240,304.8197613788943,0,128
Text,241,293.0111468631367,0,128
Text,242,275.29575451080746,0,128
Text,243,231.1990096586669,0,128
Text,244,272.1960048638721,0,128
Text,245,245.68854725112033,0,128
Text,246,247.39623663481325,0,128
Text,247,246.81647245233762,0,128
Text,248,206.35831313484232,0,128
Text,249,237.14103196834913,0,128
Text,250,286.8064136018802,0,128
Text,251,223.04258586882497,0,128
Text,252,238.51699255101266,0,128
Text,253,230.22891369873832,0,128
Text,254,215.73538713164453,0,128
Text,255,284.81460311559204,0,128
Text,256,282.3915138396842,0,128
Text,257,247.76392782041512,0,128
Text,258,234.70275787440187,0,128
Text,259,292.3028601198894,0,128
Text,260,260.90633825879195,0,128
Text,261,251.2615236464626,0,128
Text,262,208.68730206530017,0,128
Text,263,252.83181913982844,0,128
Text,264,308.75116191236884,0,128
Text,265,215.88632380371564,0,128
Text,266,267.3336584630306,0,128
Text,267,217.5058130051184,0,128
Text,268,274.4585970049229,0,128
Text,269,251.12281362817157,0,128
Text,270,173.4714167741913,0,128
Text,271,214.9475437527144,0,128
Text,272,264.2939908837434,0,128
Text,273,279.43416782181885,0,128
Text,274,220.47082766584936,0,128
Text,275,243.4137155978533,0,128
Text,276,219.8356341523322,0,128
Text,277,297.2587333970296,0,128
Text,278,320.443740911287,0,128
Text,279,274.4261879288388,0,128
Text,280,255.5545822287968,0,128
Text,281,291.7406889901031,0,128
Text,282,305.1321046477824,0,128
Text,283,269.9508343466732,0,128
Text,284,304.8318157962058,0,128
Text,285,293.6284463485208,0,128
Text,286,287.53054524349864,0,128
Text,287,278.7676106181607,0,128
Text,288,321.8435806375055,0,128
Text,289,274.54837766708806,0,128
Text,290,245.2636209109187,0,128
Text,291,254.98074946881388,0,128
Text,292,245.04646856621548,0,128
Text,293,275.22165406116983,0,128
Text,294,247.59383195669216,0,128
Text,295,181.5224668407609,0,128
Text,296,216.51464518254215,0,128
Text,297,279.72529448561545,0,128
Text,298,305.32418322945887,0,128
Text,299,243.1045658322546,0,128
Text,300,276.2745401614666,0,128
Text,301,294.27148226386635,0,128
Text,302,280.0253014283953,0,128
Text,303,202.54237224071403,0,128
Text,304,312.87680224522774,0,128
Text,305,273.79449955878954,0,128
Text,306,214.4209591042454,0,128
Text,307,187.6900774113892,0,128
Text,308,245.04660088859964,0,128
Text,309,260.1811198765063,0,128
Text,310,296.3734827662847,0,128
Text,311,307.4710357650474,0,128
Text,312,272.35405128158163,0,128
Text,313,240.22401986258046,0,128
Text,314,248.79080589744262,0,128
Text,315,253.76662815688178,0,128
Text,316,260.5117255789082,0,128
Text,317,212.22768671759695,0,128
Text,318,185.64417858033266,0,128
Text,319,202.95584679115564,0,128
Text,320,259.66415108996443,0,128
Text,321,289.32681833066454,0,128
Text,322,322.1623950448702,0,128
Text,323,254.34662076258974,0,128
Text,324,238.393861493023,0,128
Text,325,185.00511907041073,0,128
Text,326,299.2842311905406,0,128
Text,327,232.94409198933863,0,128
Text,328,308.2057788196835,0,128
Text,329,237.95573117422464,0,128
Text,330,229.07092761306558,0,128
Text,331,288.89485271429294,0,128
Text,332,280.7570445111196,0,128
Text,333,252.1897168171563,0,128
Text,334,307.2428058312653,0,128
Text,335,274.0556266580825,0,128
Text,336,213.0796375531645,0,128
Text,337,302.2014769503585,0,128
Text,338,234.68284499176661,0,128
Text,339,228.03217574983137,0,128
Text,340,291.5565329367382,0,128
Text,341,214.73778384461184,0,128
Text,342,234.2451450876979,0,128
Text,343,264.20617302210303,0,128
Text,344,305.0400669908413,0,128
Text,345,293.9232187654852,0,128
Text,346,286.4063992547017,0,128
Text,347,345.74252133279515,0,128
Text,348,229.6874961884896,0,128
Text,349,234.2357321704185,0,128
Text,350,257.80213828875276,0,128
Text,351,310.1921077559382,0,128
Text,352,264.97145678149536,0,128
Text,353,274.9953069996991,0,128
Text,354,286.9052336591267,0,128
Text,355,223.69613643968478,0,128
Text,356,267.5813640216802,0,128
Text,357,238.59144106427266,0,128
Text,358,308.89424196902837,0,128
Text,359,261.137705294459,0,128
Text,360,215.6068458007212,0,128
Text,361,240.13279578866786,0,128
Text,362,274.65217657481844,0,128
Text,363,256.13369442544354,0,128
Text,364,236.1866717965313,0,128
Text,365,247.30421104868583,0,128
Text,366,256.1762522072968,0,128
Text,367,279.45659840224835,0,128
Text,368,248.5469218936487,0,128
Text,369,269.6340170568874,0,128
Text,370,300.26774746511364,0,128
Text,371,289.70661355924676,0,128
Text,372,277.8903133403219,0,128
Text,373,208.6666351187887,0,128
Text,374,313.12330118998943,0,128
Text,375,231.9289927072532,0,128
Text,376,272.11240880387777,0,128
Text,377,277.3260998856131,0,128
Text,378,256.26181488223665,0,128
Text,379,224.41617674849113,0,128
Text,380,292.1009868805413,0,128
Text,381,226.91150556238426,0,128
Text,382,311.28429439559113,0,128
Text,383,200.204705404758,0,128
Text,384,271.48478951676225,0,128
Text,385,235.0601022480987,0,128
Text,386,290.98073643035605,0,128
Text,387,286.7912643323507,0,128
Text,388,287.54453264264157,0,128
Text,389,264.0722105079476,0,128
Text,390,230.50346829768387,0,128
Text,391,235.82104677552707,0,128
Text,392,263.9123471235507,0,128
Text,393,202.00253389884892,0,128
Text,394,174.14059655493475,0,128
Text,395,235.46053843165282,0,128
Text,396,288.3444629260339,0,128
Text,397,212.01160972304933,0,128
Text,398,248.72527312254533,0,128
Text,399,362.2902874067222,0,128
Text,400,232.74124375711835,0,128
Text,401,250.59453100584506,0,128
Text,402,257.4360730359331,0,128
Text,403,272.5045046645391,0,128
Text,404,275.1492707975558,0,128
Text,405,295.97084451961564,0,128
Text,406,319.68422715544875,0,128
Text,407,277.02728411713906,0,128
Text,408,225.1425548492989,0,128
Text,409,300.9416964614502,0,128
Text,410,254.01713078827015,0,128
Text,411,282.45982415319304,0,128
Text,412,306.8799952179688,0,128
Text,413,295.76638991238724,0,128
Text,414,310.073080152506,0,128
Text,415,272.8815186110296,0,128
Text,416,285.93747345439624,0,128
Text,417,310.08856494008796,0,128
Text,418,289.06302602626965,0,128
Text,419,251.85265456457273,0,128
Text,420,294.21940004795033,0,128
Text,421,287.89142985624494,0,128
Text,422,270.2010238663206,0,128
Text,423,265.5540496962203,0,128
Text,424,228.63614951529598,0,128
Text,425,202.95898308722826,0,128
Text,426,231.89499191721552,0,128
Text,427,300.5235319487838,0,128
Text,428,322.6143899955787,0,128
Text,429,253.9065498040145,0,128
Text,430,230.00215673710045,0,128
Text,431,211.05783592065563,0,128
Text,432,281.9801366877073,0,128
Text,433,209.80981885440997,0,128
Text,434,312.1861703311879,0,128
Text,435,292.690275618952,0,128
Text,436,304.6903377799026,0,128
Text,437,254.36351464304607,0,128
Text,438,265.3133550138591,0,128
Text,439,267.4271142859652,0,128
Text,440,265.75262438745995,0,128
Text,441,233.35102897908655,0,128
Text,442,243.54802307607315,0,128
Text,443,238.07306362868985,0,128
Text,444,355.0358937209239,0,128
Text,445,239.07708216756873,0,128
Text,446,326.4954741789552,0,128
Text,447,249.16063376258535,0,128
Text,448,258.14801502747287,0,128
Text,449,267.87977205822244,0,128
Text,450,247.3620261225733,0,128
Text,451,248.6591475426394,0,128
Text,452,245.7188634398335,0,128
Text,453,278.1101804011996,0,128
Text,454,250.86360295244958,0,128
Text,455,319.41303927123954,0,128
Text,456,293.16730971549987,0,128
Text,457,297.4189100150397,0,128
Text,458,240.0975612890761,0,128
Text,459,242.22375640601967,0,128
Text,460,232.23058422809117,0,128
Text,461,278.7575306992949,0,128
Text,462,261.73015114363807,0,128
Text,463,213.39058080411633,0,128
Text,464,206.5846472632984,0,128
Text,465,263.4207059672917,0,128
Text,466,253.08595581009286,0,128
Text,467,258.39989878659253,0,128
Text,468,321.03949141492194,0,128
Text,469,233.85906044313742,0,128
Text,470,220.31724285625387,0,128
Text,471,267.38619080060744,0,128
Text,472,267.66693390709406,0,128
Text,473,270.3648452843481,0,128
Text,474,225.76829771787743,0,128
Text,475,258.9545552164054,0,128
Text,476,247.94387031215592,0,128
Text,477,233.0124795098527,0,128
Text,478,196.91965398124012,0,128
Text,479,287.1076157443895,0,128
Text,480,176.2581808379764,0,128
Text,481,243.64556066939258,0,128
Text,482,272.24094564189727,0,128
Text,483,323.4500047437905,0,128
Text,484,358.37886989429535,0,128
Text,485,274.8442293377593,0,128
Text,486,285.64257002653903,0,128
Text,487,249.0141172620497,0,128
Text,488,261.6441250429489,0,128
Text,489,323.93415244223434,0,128
Text,490,246.64840224795626,0,128
Text,491,234.0103534552327,0,128
Text,492,292.5349095930869,0,128
Text,493,282.8329074491194,0,128
Text,494,257.013044307314,0,128
Text,495,260.4980033447646,0,128
Text,496,282.02331851571216,0,128
Text,497,247.25868753012037,0,128
Text,498,197.98132193136553,0,128
Text,499,296.7111248872243,0,128
Text,500,228.46096222019696,0,128
Text,501,262.3603970350814,0,128
Text,502,281.1102943796868,0,128
Text,503,263.81021736960975,0,128
Text,504,262.1879215439549,0,128
Text,505,253.3118817682407,0,128
Text,506,249.27084969931457,0,128
Text,507,320.8321914917178,0,128
Text,508,256.51804352673935,0,128
Text,509,279.39285429056326,0,128
Text,510,295.0895891026448,0,128
Text,511,288.396748022933,0,128
Text,512,272.40801708830986,0,128
Text,513,294.43719180744665,0,128
Text,514,311.05552731241914,0,128
Text,515,254.48394422710408,0,128
Text,516,283.95642685609346,0,128
Text,517,295.5239261409588,0,128
Text,518,284.49843448470347,0,128
Text,519,220.78922267246526,0,128
Text,520,248.91114887213917,0,128
Text,521,203.27668678328337,0,128
Text,522,271.2589205984841,0,128
Text,523,347.6589652691473,0,128
Text,524,293.2918340793549,0,128
Text,525,216.24524026265135,0,128
Text,526,283.4168659246643,0,128
Text,527,193.48044481557736,0,128
Text,528,256.77580263800337,0,128
Text,529,257.72969596982875,0,128
Text,530,311.8956717389665,0,128
Text,531,230.1981494128995,0,128
Text,532,362.99226738083235,0,128
Text,533,242.33082312821352,0,128
Text,534,281.7098594041454,0,128
Text,535,244.01365629091742,0,128
Text,536,273.3537226849876,0,128
Text,537,308.7091866054834,0,128
Text,538,321.94409351359354,0,128
Text,539,245.34800466244633,0,128
Text,540,280.19721639975614,0,128
Text,541,274.20387515303446,0,128
Text,542,228.97511708106322,0,128
Text,543,273.9524343123776,0,128
Text,544,279.763906093649,0,128
Text,545,230.8207556980051,0,128
Text,546,237.9747071499878,0,128
Text,547,232.932852473823,0,128
Text,548,269.99390214768937,0,128
Text,549,324.526960557705,0,128
Text,550,294.6940598412766,0,128
Text,551,281.07167033522273,0,128
Text,552,286.88966247318604,0,128
Text,553,291.13688766301493,0,128
Text,554,303.847036402658,0,128
Text,555,313.43362800907926,0,128
Text,556,251.334425773166,0,128
Text,557,329.0317959144886,0,128
Text,558,275.59057741564175,0,128
Text,559,239.67142091532878,0,128
Text,560,191.12926280467946,0,128
Text,561,220.751984985327,0,128
Text,562,231.2790104369924,0,128
Text,563,211.88258741130994,0,128
Text,564,219.53090565875755,0,128
Text,565,201.3164410909667,0,128
Text,566,264.920954245099,0,128
Text,567,234.28621508719516,0,128
Text,568,249.30031550138665,0,128
Text,569,284.2733554189181,0,128
Text,570,253.43308873743808,0,128
Text,571,209.32564019676647,0,128
Text,572,252.88529096178536,0,128
Text,573,224.7931607907958,0,128
Text,574,231.4674440149247,0,128
Text,575,274.6848388796934,0,128
Text,576,225.1816397820221,0,128
Text,577,215.0057310518605,0,128
Text,578,223.42889335595828,0,128
Text,579,267.36231094037066,0,128
Text,580,265.842565391722,0,128
Text,581,265.04959360136127,0,128
Text,582,271.2578566861339,0,128
Text,583,273.82613287591084,0,128
Text,584,242.6381793266046,0,128
Text,585,202.23278623598162,0,128
Text,586,231.0379209357052,0,128
Text,587,265.26982367795426,0,128
Text,588,286.35820895578945,0,128
Text,589,234.56224475012277,0,128
Text,590,245.24455345454044,0,128
Text,591,334.9377563190501,0,128
Text,592,281.0631778429524,0,128
Text,593,221.73524474419537,0,128
Text,594,176.43966856667248,0,128
Text,595,201.5643277700292,0,128
Text,596,242.33157453454623,0,128
