setting,q,threshold,N_clean,n,k,p,CP999,accepted,orig_n,orig_k,orig_p,orig_accepted,label
small/OBQA/Text,0.05,0.00014084577560424805,1158,58,1,0.206874,0.148372,False,65,5,0.894126,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,0.1,0.0004979372024536133,1158,128,10,0.943426,0.178322,False,142,19,0.999971,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,0.15,0.0009494423866271973,1158,193,19,0.998247,0.181496,False,216,35,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,0.2,0.0018350481986999512,1158,253,35,1,0.216841,False,282,55,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,0.25,0.0032129883766174316,1158,327,61,1,0.260803,False,375,92,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,0.3,0.00520014762878418,1158,383,83,1,0.287756,False,447,123,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,0.35,0.0075501203536987305,1158,432,106,1,0.314182,False,506,155,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,0.4,0.011367261409759521,1158,483,130,1,0.335495,False,572,189,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,0.45,0.01766204833984375,1158,542,146,1,0.331818,False,642,211,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,0.5,0.023335695266723633,1158,597,174,1,0.351908,False,703,245,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,0.55,0.033761560916900635,1158,668,211,1,0.373861,False,790,294,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,0.6,0.047892868518829346,1158,731,231,1,0.371354,False,868,323,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,0.65,0.06818485260009766,1158,787,252,1,0.373618,False,935,354,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,0.7,0.09768414497375488,1158,845,277,1,0.379537,False,1007,392,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
