setting,parser,q,n,k,p,accepted,label
small/OBQA/Text,OFFICIAL,0.05,65,1,0.157601,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.1,142,11,0.946737,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.15,216,22,0.999425,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.2,282,39,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.25,375,72,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.3,447,98,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.35,506,123,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.4,572,155,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.45,642,174,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.5,703,204,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.55,790,250,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.6,868,277,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.65,935,304,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.7,1007,339,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.75,1064,372,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.8,1110,389,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.85,1180,428,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.9,1243,460,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.95,1313,498,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,OFFICIAL,1.0,1366,532,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
