population,N,action,correct,changed,corrective,harmful,neutral_both_wrong,label
small/OBQA,742,Text,346,339,136,75,128,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA,742,C2C,366,350,147,66,137,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA,742,V1,290,558,164,159,235,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA,742,V2,316,213,78,47,88,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC,299,Text,126,145,55,39,51,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC,299,C2C,155,160,69,24,67,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC,299,V1,123,209,65,52,92,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC,299,V2,130,89,38,18,33,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA,742,Text,523,174,82,49,43,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA,742,C2C,486,131,44,48,39,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA,742,V1,482,183,66,74,43,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA,742,V2,507,152,66,49,37,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/ARC,299,Text,221,52,25,21,6,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/ARC,299,C2C,202,48,10,25,13,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/ARC,299,V1,216,53,19,20,14,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/ARC,299,V2,220,36,16,13,7,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
large/OBQA,742,Text,645,72,46,18,8,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
large/OBQA,742,C2C,598,60,16,35,9,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
large/OBQA,742,V1,599,137,48,66,23,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
large/OBQA,742,V2,624,68,31,24,13,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
large/ARC,299,Text,274,15,10,4,1,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
large/ARC,299,C2C,266,12,4,6,2,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
large/ARC,299,V1,260,20,6,14,0,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
large/ARC,299,V2,271,12,7,4,1,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
large/MMLU-Pro,2641,Text,1319,561,166,129,266,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
large/MMLU-Pro,2641,C2C,1233,756,155,204,397,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
large/MMLU-Pro,2641,V1,1286,914,232,228,454,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
large/MMLU-Pro,2641,V2,1306,535,151,127,257,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
