q,threshold,N,n,k,p,CP_upper_0_999,accepted
0.05,0.0,1366,642,2,3.0209317677572816e-12,0.017365250981299454,True
0.1,0.0,1366,642,2,3.0209317677572816e-12,0.017365250981299454,True
0.15,0.0,1366,642,2,3.0209317677572816e-12,0.017365250981299454,True
0.2,0.0,1366,642,2,3.0209317677572816e-12,0.017365250981299454,True
0.25,0.0,1366,642,2,3.0209317677572816e-12,0.017365250981299454,True
0.3,0.0,1366,642,2,3.0209317677572816e-12,0.017365250981299454,True
0.35,0.0,1366,642,2,3.0209317677572816e-12,0.017365250981299454,True
0.4,0.0,1366,642,2,3.0209317677572816e-12,0.017365250981299454,True
0.45,0.0,1366,642,2,3.0209317677572816e-12,0.017365250981299454,True
0.5,1.1920928955078125e-07,1366,683,2,4.159829941688358e-13,0.01632986518630855,True
0.55,3.5762786865234375e-07,1366,728,3,6.130451995963371e-13,0.01781908987454812,True
0.6,1.7881393432617188e-06,1366,807,7,6.061292901688684e-11,0.024130269673203582,True
0.65,7.987022399902344e-06,1366,870,11,2.378704844510207e-09,0.02916700174337768,True
0.7,4.5418739318847656e-05,1366,932,16,1.2046769960753847e-07,0.03469226450926783,True
0.75,0.0002611875534057617,1366,999,22,4.83045220043516e-06,0.040359937701568635,True
0.8,0.001170039176940918,1366,1064,33,0.0016284837465611033,0.05106241472766282,False
0.85,0.008580565452575684,1366,1135,57,0.5486913116353578,0.07346531992588728,False
0.9,0.04792952537536621,1366,1217,86,0.9993131267210218,0.09620753499536422,False
0.95,0.22272759675979614,1366,1297,123,0.9999999999894709,0.12248579538267229,False
1.0,Infinity,1366,1366,170,1.0,0.1542664221385581,False
