setting,seed,q,N_cal
small/MMLU-Pro/Text,1,0.0,6000
small/MMLU-Pro/Text,2,0.0,6000
small/MMLU-Pro/Text,3,0.0,6000
small/MMLU-Pro/Text,4,0.0,6000
small/MMLU-Pro/Text,5,0.0,6000
small/MMLU-Pro/Text,6,0.0,6000
small/MMLU-Pro/Text,7,0.0,6000
small/MMLU-Pro/Text,8,0.0,6000
small/MMLU-Pro/Text,9,0.0,6000
small/MMLU-Pro/Text,10,0.0,6000
small/MMLU-Pro/Text,11,0.0,6000
small/MMLU-Pro/Text,12,0.0,6000
small/MMLU-Pro/Text,13,0.0,6000
small/MMLU-Pro/Text,14,0.0,6000
small/MMLU-Pro/Text,15,0.0,6000
small/MMLU-Pro/Text,16,0.0,6000
small/MMLU-Pro/Text,17,0.0,6000
small/MMLU-Pro/Text,18,0.0,6000
small/MMLU-Pro/Text,19,0.0,6000
small/MMLU-Pro/Text,20,0.0,6000
small/MMLU-Pro/Text,21,0.0,6000
small/MMLU-Pro/Text,22,0.0,6000
small/MMLU-Pro/Text,23,0.0,6000
small/MMLU-Pro/Text,24,0.0,6000
small/MMLU-Pro/Text,25,0.0,6000
small/MMLU-Pro/Text,26,0.0,6000
small/MMLU-Pro/Text,27,0.0,6000
small/MMLU-Pro/Text,28,0.0,6000
small/MMLU-Pro/Text,29,0.0,6000
small/MMLU-Pro/Text,30,0.0,6000
small/MMLU-Pro/Text,31,0.0,6000
small/MMLU-Pro/Text,32,0.0,6000
small/MMLU-Pro/Text,33,0.0,6000
small/MMLU-Pro/Text,34,0.0,6000
small/MMLU-Pro/Text,35,0.0,6000
small/MMLU-Pro/Text,36,0.0,6000
small/MMLU-Pro/Text,37,0.0,6000
small/MMLU-Pro/Text,38,0.0,6000
small/MMLU-Pro/Text,39,0.0,6000
small/MMLU-Pro/Text,40,0.0,6000
small/MMLU-Pro/Text,41,0.0,6000
small/MMLU-Pro/Text,42,0.0,6000
small/MMLU-Pro/Text,43,0.0,6000
small/MMLU-Pro/Text,44,0.0,6000
small/MMLU-Pro/Text,45,0.0,6000
small/MMLU-Pro/Text,46,0.0,6000
small/MMLU-Pro/Text,47,0.0,6000
small/MMLU-Pro/Text,48,0.0,6000
small/MMLU-Pro/Text,49,0.0,6000
small/MMLU-Pro/Text,50,0.0,6000
small/MMLU-Pro/Text,51,0.0,6000
small/MMLU-Pro/Text,52,0.0,6000
small/MMLU-Pro/Text,53,0.0,6000
small/MMLU-Pro/Text,54,0.0,6000
small/MMLU-Pro/Text,55,0.0,6000
small/MMLU-Pro/Text,56,0.0,6000
small/MMLU-Pro/Text,57,0.0,6000
small/MMLU-Pro/Text,58,0.0,6000
small/MMLU-Pro/Text,59,0.0,6000
small/MMLU-Pro/Text,60,0.0,6000
small/MMLU-Pro/Text,61,0.0,6000
