pair,setting,split,unit,N,reference,q,threshold,mode,omitted,coverage,changed,changed_over_omitted,conditional_disagreement,marginal_disagreement,descriptive_CP_0_95_upper,R_reference_disagreement_count,R_reference_disagreement_prevalence,AUROC,AP,score_direction,correct_R,correct_reference,correct_policy,accuracy_R,accuracy_reference,accuracy_policy,accuracy_difference,benefit,harm,neutral_change,invalid_R,invalid_Text,invalid_C2C,invalid_policy,invalid_rate_R,invalid_rate_reference
small,small/MMLU-Pro/Text,fit,group_representatives,3000,Text,0.0,,fixed_reference,0,0.0,0,0/0,,0.0,,1337,0.44566666666666666,0.6163249500434239,0.5808868168777355,higher u predicts R/reference disagreement,457,540,540,0.15233333333333332,0.18,0.18,0.0,0,0,0,180,270,528,270,0.06,0.09
small,small/MMLU-Pro/C2C,fit,group_representatives,3000,C2C,0.0,,fixed_reference,0,0.0,0,0/0,,0.0,,1751,0.5836666666666667,0.6123813956933679,0.6853597243980186,higher u predicts R/reference disagreement,457,499,499,0.15233333333333332,0.16633333333333333,0.16633333333333333,0.0,0,0,0,180,270,528,528,0.06,0.176
small,small/MMLU-Pro/Text,fit,raw_rows_descriptive,3093,Text,0.0,,fixed_reference,0,0.0,0,0/0,,0.0,,1396,0.4513417394115745,0.6155397271098669,0.5850356783878262,higher u predicts R/reference disagreement,471,560,560,0.15227934044616878,0.18105399288716456,0.18105399288716456,0.0,0,0,0,188,280,543,280,0.060782411897833816,0.09052699644358228
small,small/MMLU-Pro/C2C,fit,raw_rows_descriptive,3093,C2C,0.0,,fixed_reference,0,0.0,0,0/0,,0.0,,1831,0.5919818946007113,0.6125884031051767,0.6935177221823836,higher u predicts R/reference disagreement,471,520,520,0.15227934044616878,0.16812156482379567,0.16812156482379567,0.0,0,0,0,188,280,543,543,0.060782411897833816,0.1755577109602328
small,small/MMLU-Pro/Text,cal,group_representatives,6000,Text,0.0,,fixed_reference,0,0.0,0,0/0,,0.0,,2805,0.4675,0.6402281863093794,0.6187154372881949,higher u predicts R/reference disagreement,946,1095,1095,0.15766666666666668,0.1825,0.1825,0.0,0,0,0,373,519,946,519,0.06216666666666667,0.0865
small,small/MMLU-Pro/C2C,cal,group_representatives,6000,C2C,0.0,,fixed_reference,0,0.0,0,0/0,,0.0,,3482,0.5803333333333334,0.6146233619946723,0.6744307700899805,higher u predicts R/reference disagreement,946,1043,1043,0.15766666666666668,0.17383333333333334,0.17383333333333334,0.0,0,0,0,373,519,946,946,0.06216666666666667,0.15766666666666668
small,small/MMLU-Pro/Text,cal,raw_rows_descriptive,6196,Text,0.0,,fixed_reference,0,0.0,0,0/0,,0.0,,2935,0.473692704970949,0.6379996520752458,0.6204832370258868,higher u predicts R/reference disagreement,969,1129,1129,0.1563912201420271,0.18221433182698515,0.18221433182698515,0.0,0,0,0,395,566,975,566,0.06375080697224016,0.09134925758553905
small,small/MMLU-Pro/C2C,cal,raw_rows_descriptive,6196,C2C,0.0,,fixed_reference,0,0.0,0,0/0,,0.0,,3652,0.5894125242091672,0.6113241021547596,0.6804374326074755,higher u predicts R/reference disagreement,969,1084,1084,0.1563912201420271,0.17495158166559072,0.17495158166559072,0.0,0,0,0,395,566,975,975,0.06375080697224016,0.15735958683021303
small,small/MMLU-Pro/Text,dev,group_representatives,2641,Text,0.0,,fixed_reference,0,0.0,0,0/0,,0.0,,1235,0.4676258992805755,0.6438493788909302,0.6225234002937152,higher u predicts R/reference disagreement,403,516,516,0.15259371450208253,0.19538053767512306,0.19538053767512306,0.0,0,0,0,151,229,420,229,0.05717531238167361,0.08670957970465733
small,small/MMLU-Pro/C2C,dev,group_representatives,2641,C2C,0.0,,fixed_reference,0,0.0,0,0/0,,0.0,,1591,0.602423324498296,0.6258202388434946,0.7031033573991221,higher u predicts R/reference disagreement,403,462,462,0.15259371450208253,0.17493373722074973,0.17493373722074973,0.0,0,0,0,151,229,420,420,0.05717531238167361,0.15903067020068157
