setting,original_q,N_cal,N_cal_bothparse,N_dev,N_dev_bothparse,bothparse_accepted_q,bothparse_all_accepted_q,dev_disagreement_bothparse,dev_disagreements_bothparse,dev_disagreement_frozen_all,dev_AUROC_bothparse,dev_coverage_pct_of_bothparse,dev_coverage_pct_of_all_dev,conditional_change_rate_at_q,changed_over_omitted,outcome_vs_original,deployable,diagnostic_note,label
small/OBQA/Text,0.0,1366,1245,742,685,no candidate accepted,none,0.42044,288/685,0.45687,0.65068,,,,,unchanged,False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/C2C,0.0,1366,1304,742,717,no candidate accepted,none,0.45328,325/717,0.47170,0.70725,,,,,unchanged,False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/ARC/Text,0.0,448,365,299,256,no candidate accepted,none,0.43750,112/256,0.48495,0.65600,,,,,unchanged,False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/ARC/C2C,0.0,448,397,299,264,no candidate accepted,none,0.48106,127/264,0.53512,0.64469,,,,,unchanged,False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/OBQA/Text,0.0,1366,1350,742,733,no candidate accepted,none,0.22510,165/733,0.23450,0.77947,,,,,unchanged,False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/OBQA/C2C,0.55,1366,1315,742,721,0.55,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55,0.15673,113/721,0.17655,0.84916,53.81,52.29,0.02320,9/388,unchanged,False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/ARC/Text,0.0,448,445,299,297,no candidate accepted,none,0.16835,50/297,0.17391,0.73648,,,,,unchanged,False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/ARC/C2C,0.6,448,433,299,285,0.6,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6,0.11930,34/285,0.16054,0.90368,65.61,62.54,0.01070,2/187,unchanged,False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/OBQA/Text,0.8,1366,1364,742,742,0.8,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,0.09704,72/742,0.09704,0.87273,77.09,77.09,0.03322,19/572,unchanged,False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/OBQA/C2C,0.8,1366,1360,742,742,0.8,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,0.08086,60/742,0.08086,0.88265,77.09,77.09,0.02273,13/572,unchanged,False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/ARC/Text,0.95,448,448,299,299,0.95,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9;0.95,0.05017,15/299,0.05017,0.95188,94.98,94.98,0.03169,9/284,unchanged,False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/ARC/C2C,0.9,448,447,299,299,0.9,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9,0.04013,12/299,0.04013,0.90883,90.30,90.30,0.01111,3/270,unchanged,False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/MMLU-Pro/Text,0.4,6000,5981,2641,2634,0.4,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4,0.21071,555/2634,0.21242,0.82216,40.51,40.40,0.03561,38/1067,unchanged,False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/MMLU-Pro/C2C,0.4,6000,5935,2641,2617,0.4,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4,0.28047,734/2617,0.28626,0.84949,40.73,40.36,0.03189,34/1066,unchanged,False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/MMLU-Pro/Text,0.0,6000,5242,2641,2314,no candidate accepted,none,0.41530,961/2314,0.46763,0.66365,,,,,unchanged,False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/MMLU-Pro/C2C,0.0,6000,4729,2641,2086,no candidate accepted,none,0.50431,1052/2086,0.60242,0.69073,,,,,unchanged,False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/MMLU-Pro/Text,0.0,6000,5668,2641,2479,no candidate accepted,none,0.39613,982/2479,0.42711,0.71259,,,,,unchanged,False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/MMLU-Pro/C2C,0.0,6000,3385,2641,1499,0.15,0.05;0.1;0.15,0.27352,410/1499,0.53389,0.76932,25.42,14.43,0.02887,11/381,certifies under both-parse (was fallback),False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
X1-Llama/OBQA/Text,0.0,1366,1282,742,703,no candidate accepted,none,0.22475,158/703,0.25741,0.72578,,,,,unchanged,False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
X1-Llama/OBQA/C2C,0.0,1366,1210,742,670,no candidate accepted,none,0.53582,359/670,0.57547,0.64843,,,,,unchanged,False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
X1-Llama/ARC/Text,0.0,448,384,299,263,no candidate accepted,none,0.23574,62/263,0.29431,0.68255,,,,,unchanged,False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
X1-Llama/ARC/C2C,0.0,448,378,299,251,no candidate accepted,none,0.50598,127/251,0.58194,0.63710,,,,,unchanged,False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
X2-OLMo/OBQA/Text,0.0,1366,1260,742,698,0.45,0.15;0.2;0.25;0.3;0.35;0.4;0.45,0.18768,131/698,0.23181,0.85476,44.41,41.78,0.01613,5/310,certifies under both-parse (was fallback),False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
X2-OLMo/ARC/Text,0.0,448,386,299,258,0.4,0.4,0.15504,40/258,0.22408,0.88131,34.11,29.43,0.00000,0/88,certifies under both-parse (was fallback),False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
X2-OLMo/MMLU-Pro/Text,0.0,6000,4611,2641,2016,0.05,0.05,0.33482,675/2016,0.42105,0.70119,3.87,2.95,0.02564,2/78,certifies under both-parse (was fallback),False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/OBQA/Text+fact,0.75,1366,1362,742,742,0.75,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75,0.10243,76/742,0.10243,0.88859,72.24,72.24,0.02425,13/536,unchanged,False,NOT DEPLOYABLE: the both-parse filter reads the reference output,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
