setting,q,threshold,n,k,p,CP999,accepted,deployable,label
small/OBQA/Text,0.05,0.00014084577560424805,61,1,0.184279,0.141561,False,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.1,0.0004979372024536133,133,11,0.964909,0.182021,False,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.15,0.0009494423866271973,201,21,0.999485,0.186983,False,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.2,0.0018350481986999512,264,38,1,0.221479,False,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.25,0.0032129883766174316,349,70,1,0.273716,False,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.3,0.00520014762878418,412,95,1,0.300036,False,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.35,0.0075501203536987305,462,119,1,0.324783,False,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.4,0.011367261409759521,523,149,1,0.349356,False,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.45,0.01766204833984375,587,167,1,0.345153,False,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.5,0.023335695266723633,643,196,1,0.363543,False,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.55,0.033761560916900635,722,238,1,0.385806,False,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.6,0.047892868518829346,794,263,1,0.384757,False,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.65,0.06818485260009766,854,287,1,0.387754,False,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.7,0.09768414497375488,918,317,1,0.395362,False,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.75,0.1333599090576172,970,347,1,0.406675,False,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.8,0.1825515627861023,1010,362,1,0.40637,False,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.85,0.23033851385116577,1075,400,1,0.418811,False,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.9,0.3213103413581848,1132,429,1,0.424596,False,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.95,0.43785351514816284,1198,465,1,0.432611,False,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,1.0,Infinity,1245,495,1,0.44132,False,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/C2C,0.05,0.00014084577560424805,64,1,0.163921,0.135347,False,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/C2C,0.1,0.0004979372024536133,140,8,0.732507,0.144139,False,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
