setting,split,N,cell1_bothparse_differ,cell2_bothparse_agree,cell3_exactly_one_INVALID,cell4_both_INVALID,disagreements_frozen,cell3_share_of_disagreements,receiver_only_INVALID,receiver_only_INVALID_pct,reference_INVALID,reference_INVALID_pct,only_receiver_INVALID,only_reference_INVALID,disagreement_rate_frozen,both_INVALID_treated_as,label
small/OBQA/Text,cal,1366,495,750,103,18,598,0.1722,61,4.47,78,5.71,43,60,0.43777,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,dev,742,288,397,51,6,339,0.1504,25,3.37,38,5.12,19,32,0.45687,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/C2C,cal,1366,578,726,62,0,640,0.0969,61,4.47,1,0.07,61,1,0.46852,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/C2C,dev,742,325,392,25,0,350,0.0714,25,3.37,0,0.00,25,0,0.47170,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/ARC/Text,cal,448,168,197,65,18,233,0.2790,50,11.16,51,11.38,32,33,0.52009,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/ARC/Text,dev,299,112,144,33,10,145,0.2276,32,10.70,21,7.02,22,11,0.48495,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/ARC/C2C,cal,448,203,194,51,0,254,0.2008,50,11.16,1,0.22,50,1,0.56696,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/ARC/C2C,dev,299,127,137,33,2,160,0.2062,32,10.70,5,1.67,30,3,0.53512,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/OBQA/Text,cal,1366,332,1018,16,0,348,0.0460,14,1.02,2,0.15,14,2,0.25476,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/OBQA/Text,dev,742,165,568,9,0,174,0.0517,8,1.08,1,0.13,8,1,0.23450,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/OBQA/C2C,cal,1366,194,1121,48,3,242,0.1983,14,1.02,40,2.93,11,37,0.17716,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/OBQA/C2C,dev,742,113,608,18,3,131,0.1374,8,1.08,16,2.16,5,13,0.17655,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/ARC/Text,cal,448,64,381,3,0,67,0.0448,3,0.67,0,0.00,3,0,0.14955,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/ARC/Text,dev,299,50,247,2,0,52,0.0385,2,0.67,0,0.00,2,0,0.17391,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/ARC/C2C,cal,448,42,391,13,2,55,0.2364,3,0.67,14,3.12,1,12,0.12277,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/ARC/C2C,dev,299,34,251,14,0,48,0.2917,2,0.67,12,4.01,2,12,0.16054,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/OBQA/Text,cal,1366,141,1223,2,0,143,0.0140,2,0.15,0,0.00,2,0,0.10469,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/OBQA/Text,dev,742,72,670,0,0,72,0.0000,0,0.00,0,0.00,0,0,0.09704,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/OBQA/C2C,cal,1366,121,1239,6,0,127,0.0472,2,0.15,4,0.29,2,4,0.09297,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/OBQA/C2C,dev,742,60,682,0,0,60,0.0000,0,0.00,0,0.00,0,0,0.08086,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/ARC/Text,cal,448,12,436,0,0,12,0.0000,0,0.00,0,0.00,0,0,0.02679,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/ARC/Text,dev,299,15,284,0,0,15,0.0000,0,0.00,0,0.00,0,0,0.05017,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/ARC/C2C,cal,448,20,427,1,0,21,0.0476,0,0.00,1,0.22,0,1,0.04688,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/ARC/C2C,dev,299,12,287,0,0,12,0.0000,0,0.00,0,0.00,0,0,0.04013,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
