setting,convention,q,threshold,n,k,p,CP999,accepted,label
small/OBQA/Text,V2,0.05,0.00014084577560424805,65,5,0.894126,0.231724,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,V2,0.1,0.0004979372024536133,142,19,0.999971,0.242485,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,V2,0.15,0.0009494423866271973,216,35,1,0.251941,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,V2,0.2,0.0018350481986999512,282,55,1,0.276597,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,V2,0.25,0.0032129883766174316,375,92,1,0.31954,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,V2,0.3,0.00520014762878418,447,123,1,0.344635,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,V2,0.35,0.0075501203536987305,506,155,1,0.372929,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,V2,0.4,0.011367261409759521,572,189,1,0.393812,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,V2,0.45,0.01766204833984375,642,211,1,0.388313,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,V2,0.5,0.023335695266723633,703,245,1,0.406012,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,V2,0.55,0.033761560916900635,790,294,1,0.426852,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,V2,0.6,0.047892868518829346,868,323,1,0.424242,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,V2,0.65,0.06818485260009766,935,354,1,0.428906,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,V2,0.7,0.09768414497375488,1007,392,1,0.437874,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,V2,0.75,0.1333599090576172,1064,426,1,0.447784,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,V2,0.8,0.1825515627861023,1110,447,1,0.449128,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,V2,0.85,0.23033851385116577,1180,488,1,0.458682,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,V2,0.9,0.3213103413581848,1243,522,1,0.463957,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,V2,0.95,0.43785351514816284,1313,562,1,0.470891,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,V2,1.0,Infinity,1366,598,1,0.479848,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.05,0.00014084577560424805,65,1,0.157601,0.133394,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.1,0.0004979372024536133,142,11,0.946737,0.171092,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.15,0.0009494423866271973,216,22,0.999425,0.180301,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.2,0.0018350481986999512,282,39,1,0.21209,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.25,0.0032129883766174316,375,72,1,0.261468,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.3,0.00520014762878418,447,98,1,0.284822,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.35,0.0075501203536987305,506,123,1,0.306191,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.4,0.011367261409759521,572,155,1,0.331766,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.45,0.01766204833984375,642,174,1,0.328241,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.5,0.023335695266723633,703,204,1,0.345636,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.55,0.033761560916900635,790,250,1,0.369638,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.6,0.047892868518829346,868,277,1,0.369865,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.65,0.06818485260009766,935,304,1,0.374149,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.7,0.09768414497375488,1007,339,1,0.384142,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.75,0.1333599090576172,1064,372,1,0.396118,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.8,0.1825515627861023,1110,389,1,0.395965,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.85,0.23033851385116577,1180,428,1,0.40708,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.9,0.3213103413581848,1243,460,1,0.413414,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,OFFICIAL,0.95,0.43785351514816284,1313,498,1,0.421585,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,OFFICIAL,1.0,Infinity,1366,532,1,0.431065,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/C2C,V2,0.05,0.00014084577560424805,65,2,0.362997,0.160967,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/C2C,V2,0.1,0.0004979372024536133,142,10,0.899752,0.161635,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/C2C,V2,0.15,0.0009494423866271973,216,22,0.999425,0.180301,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/C2C,V2,0.2,0.0018350481986999512,282,36,1,0.199654,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/C2C,V2,0.25,0.0032129883766174316,375,65,1,0.240739,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
