setting,original_q,ruleD_q,ruleD_all_accepted_q,cal_N,cal_receiver_parses,cal_n_at_ruleD_q,cal_k_at_ruleD_q,cal_p_at_ruleD_q,cal_CP999_at_ruleD_q,dev_N,dev_receiver_parses,dev_omitted,dev_coverage_pct_of_all,dev_coverage_pct_of_parseable,dev_changed_over_omitted,dev_conditional_change_rate,dev_policy_equals_reference,dev_accuracy_policy_vs_gold,dev_accuracy_reference_vs_gold,dev_accuracy_receiver_only_vs_gold,dev_correct_policy,dev_correct_reference,verdict,gold_source,label
small/OBQA/Text,0.0,no candidate accepted,none,1366,1305,,,,,742,717,0,0.00,0.00,0/0,,100.00,46.63,46.63,38.41,346,346,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/C2C,0.0,no candidate accepted,none,1366,1305,,,,,742,717,0,0.00,0.00,0/0,,100.00,49.33,49.33,38.41,366,366,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/ARC/Text,0.0,no candidate accepted,none,448,398,,,,,299,267,0,0.00,0.00,0/0,,100.00,42.14,42.14,36.79,126,126,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/ARC/C2C,0.0,no candidate accepted,none,448,398,,,,,299,267,0,0.00,0.00,0/0,,100.00,51.84,51.84,36.79,155,155,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/OBQA/Text,0.0,no candidate accepted,none,1366,1352,,,,,742,734,0,0.00,0.00,0/0,,100.00,70.49,70.49,66.04,523,523,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/OBQA/C2C,0.55,0.55,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55,1366,1352,738,19,0.000712772,0.049135,742,734,390,52.56,53.13,11/390,0.02821,98.52,66.31,65.50,66.04,492,486,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/ARC/Text,0.0,no candidate accepted,none,448,445,,,,,299,297,0,0.00,0.00,0/0,,100.00,73.91,73.91,72.58,221,221,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/ARC/C2C,0.6,0.6,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6,448,445,290,1,5.63703e-06,0.0313913,299,297,189,63.21,63.64,4/189,0.02116,98.66,67.89,67.56,72.58,203,202,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/OBQA/Text,0.8,0.8,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,1366,1364,1064,18,1.15505e-08,0.0329545,742,742,572,77.09,77.09,19/572,0.03322,97.44,85.98,86.93,83.15,638,645,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/OBQA/C2C,0.8,0.8,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,1366,1364,1064,22,6.7085e-07,0.0379162,742,742,572,77.09,77.09,13/572,0.02273,98.25,81.54,80.59,83.15,605,598,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
