setting,q,threshold,N_cal,n_ruleD,k_ruleD,p,CP999,accepted,label
small/OBQA/Text,0.05,0.00014084577560424805,1366,64,4,0.784357,0.212452,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.1,0.0004979372024536133,1366,140,18,0.999924,0.237013,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.15,0.0009494423866271973,1366,213,33,1,0.244417,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.2,0.0018350481986999512,1366,277,51,1,0.265187,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.25,0.0032129883766174316,1366,366,87,1,0.312293,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.3,0.00520014762878418,1366,433,116,1,0.33811,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.35,0.0075501203536987305,1366,489,146,1,0.36602,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.4,0.011367261409759521,1366,552,178,1,0.386752,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.45,0.01766204833984375,1366,618,198,1,0.38094,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.5,0.023335695266723633,1366,677,230,1,0.398117,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.55,0.033761560916900635,1366,759,275,1,0.417939,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.6,0.047892868518829346,1366,834,303,1,0.416325,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.65,0.06818485260009766,1366,896,329,1,0.41837,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.7,0.09768414497375488,1366,963,362,1,0.425403,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.75,0.1333599090576172,1366,1017,394,1,0.43574,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.8,0.1825515627861023,1366,1061,413,1,0.436576,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.85,0.23033851385116577,1366,1128,453,1,0.447629,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.9,0.3213103413581848,1366,1187,484,1,0.452677,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,0.95,0.43785351514816284,1366,1256,523,1,0.460143,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/Text,1.0,Infinity,1366,1305,555,1,0.468263,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/C2C,0.05,0.00014084577560424805,1366,64,1,0.163921,0.135347,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/C2C,0.1,0.0004979372024536133,1366,140,8,0.732507,0.144139,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/OBQA/C2C,0.15,0.0009494423866271973,1366,213,19,0.994588,0.165187,False,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
