replay,machine,pair,task,reference,version,N,mean_saving_ms,median_saving_ms
ClusterB,ClusterB,large,OBQA,Text,a,128,517.1262959393061,669.7814092040062
ClusterB,ClusterB,large,OBQA,Text,b,127,532.7795144742516,670.9511282388121
ClusterB,ClusterB,large,OBQA,C2C,a,128,36.57528850817471,16.571865999139845
ClusterB,ClusterB,large,OBQA,C2C,b,127,33.479536669035475,16.330133890733123
ClusterB,ClusterB,large,ARC,Text,a,128,717.6287613056047,747.1536989323795
ClusterB,ClusterB,large,ARC,Text,b,127,717.1886140795967,746.5856238268316
ClusterB,ClusterB,large,ARC,C2C,a,128,110.93494467604614,61.827997444197536
ClusterB,ClusterB,large,ARC,C2C,b,127,112.28624428805756,62.27997690439224
ClusterB,ClusterB,medium,OBQA,C2C,a,128,79.6591089656431,79.30071500595659
ClusterB,ClusterB,medium,OBQA,C2C,b,127,60.95184697439586,79.27978504449129
ClusterB,ClusterB,medium,ARC,C2C,a,128,100.66012487186526,81.5804839367047
ClusterB,ClusterB,medium,ARC,C2C,b,127,100.77368176182894,81.50550699792802
ClusterB,ClusterB,large,MMLU-Pro,Text,a,128,346.3156871330284,-41.27581755165011
ClusterB,ClusterB,large,MMLU-Pro,Text,b,127,322.06478923757186,-41.30287910811603
ClusterB,ClusterB,large,MMLU-Pro,C2C,a,128,8.242936348324292,-43.56650752015412
ClusterB,ClusterB,large,MMLU-Pro,C2C,b,127,6.478264196372525,-43.711340986192226
E3_REPEAT1,ClusterA,large,OBQA,Text,a,128,395.4682054500154,524.8162801144645
E3_REPEAT1,ClusterA,large,OBQA,Text,b,127,419.6236575568667,525.2622861880809
E3_REPEAT1,ClusterA,large,OBQA,C2C,a,128,29.4188631214638,14.632923528552055
E3_REPEAT1,ClusterA,large,OBQA,C2C,b,127,27.4129436281693,14.288577949628234
E3_REPEAT1,ClusterA,large,ARC,Text,a,128,573.5230015616253,592.1702994965017
E3_REPEAT1,ClusterA,large,ARC,Text,b,127,573.1521748486672,590.4961989726871
E3_REPEAT1,ClusterA,large,ARC,C2C,a,128,91.38224307025666,47.42375249043107
E3_REPEAT1,ClusterA,large,ARC,C2C,b,127,92.39784231424098,47.504163114354014
E3_REPEAT1,ClusterA,medium,OBQA,C2C,a,128,49.88400625370559,59.743345249444246
E3_REPEAT1,ClusterA,medium,OBQA,C2C,b,127,47.283189671891414,58.61195921897888
E3_REPEAT1,ClusterA,medium,ARC,C2C,a,128,79.1811328726908,61.930859461426735
E3_REPEAT1,ClusterA,medium,ARC,C2C,b,127,79.30536300501251,61.90061895176768
E3_REPEAT1,ClusterA,large,MMLU-Pro,Text,a,128,261.3976368884323,-20.873791188932955
E3_REPEAT1,ClusterA,large,MMLU-Pro,Text,b,127,260.8223412420571,-20.99102921783924
E3_REPEAT1,ClusterA,large,MMLU-Pro,C2C,a,128,-0.13460550871968735,-39.41159346140921
E3_REPEAT1,ClusterA,large,MMLU-Pro,C2C,b,127,-0.03130697850577944,-41.31576791405678
E3_REPEAT2,ClusterA,large,OBQA,Text,a,128,427.62454139301553,532.7235765289515
E3_REPEAT2,ClusterA,large,OBQA,Text,b,127,430.1622496884844,532.7628550585359
E3_REPEAT2,ClusterA,large,OBQA,C2C,a,128,30.279917831649072,14.40375717356801
E3_REPEAT2,ClusterA,large,OBQA,C2C,b,127,29.259979224389816,14.273659326136112
E3_REPEAT2,ClusterA,large,ARC,Text,a,128,585.36069152251,608.6759300669655
E3_REPEAT2,ClusterA,large,ARC,Text,b,127,584.986835824487,608.3608642220497
E3_REPEAT2,ClusterA,large,ARC,C2C,a,128,90.48175972566241,49.16936403606087
E3_REPEAT2,ClusterA,large,ARC,C2C,b,127,91.56109197578562,49.28154405206442
E3_REPEAT2,ClusterA,medium,OBQA,C2C,a,128,52.23224450855923,63.892901642248034
E3_REPEAT2,ClusterA,medium,OBQA,C2C,b,127,49.97992802293986,63.66693810559809
E3_REPEAT2,ClusterA,medium,ARC,C2C,a,128,82.41235471723485,66.31660554558039
E3_REPEAT2,ClusterA,medium,ARC,C2C,b,127,82.53207380744064,66.22236594557762
E3_REPEAT2,ClusterA,large,MMLU-Pro,Text,a,128,262.4066795942781,-32.46371797285974
E3_REPEAT2,ClusterA,large,MMLU-Pro,Text,b,127,260.9585725508014,-32.713548047468066
E3_REPEAT2,ClusterA,large,MMLU-Pro,C2C,a,128,2.4182971556001576,-39.61683809757233
E3_REPEAT2,ClusterA,large,MMLU-Pro,C2C,b,127,2.552109816309622,-40.420665172860026
E3_REPEAT3,ClusterA,large,OBQA,Text,a,128,401.81623434182256,531.6399480216205
E3_REPEAT3,ClusterA,large,OBQA,Text,b,127,423.0954792244199,531.8698768969625
E3_REPEAT3,ClusterA,large,OBQA,C2C,a,128,30.39698796601442,14.500604011118412
E3_REPEAT3,ClusterA,large,OBQA,C2C,b,127,27.824559800810817,14.461620943620801
E3_REPEAT3,ClusterA,large,ARC,Text,a,128,574.1798013023072,595.8636640571058
E3_REPEAT3,ClusterA,large,ARC,Text,b,127,573.7957565011236,593.793127220124
E3_REPEAT3,ClusterA,large,ARC,C2C,a,128,90.18262826793944,47.65090509317815
E3_REPEAT3,ClusterA,large,ARC,C2C,b,127,91.2308426258543,48.026262084022164
E3_REPEAT3,ClusterA,medium,OBQA,C2C,a,128,48.51612460879551,57.67983302939683
E3_REPEAT3,ClusterA,medium,OBQA,C2C,b,127,45.62847465313384,55.221944116055965
E3_REPEAT3,ClusterA,medium,ARC,C2C,a,128,76.46872874283872,61.55937095172703
E3_REPEAT3,ClusterA,medium,ARC,C2C,b,127,76.57523376419847,61.52002699673176
E3_REPEAT3,ClusterA,large,MMLU-Pro,Text,a,128,263.53681412001606,-31.599668553099036
E3_REPEAT3,ClusterA,large,MMLU-Pro,Text,b,127,262.6757090727938,-31.827535945922136
E3_REPEAT3,ClusterA,large,MMLU-Pro,C2C,a,128,2.6080796942551387,-35.64264811575413
E3_REPEAT3,ClusterA,large,MMLU-Pro,C2C,b,127,2.7556839366040125,-36.07356105931103
E3_MMLU_C2C_FULL,ClusterA,large,MMLU-Pro-FULL,C2C,a,2641,23.345869179772386,-37.3051599599421
