group,split,pair,benchmark,path,n_outputs,n_parse_differs,n_rerun_V2_ne_stored,label
E1 port check (official harness),OBQA test (E1),large,obqa,official:C,500,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
E1 port check (official harness),OBQA test (E1),large,obqa,official:R,500,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
E1 port check (official harness),OBQA test (E1),medium,obqa,official:C,500,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
E1 port check (official harness),OBQA test (E1),medium,obqa,official:R,500,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
E1 port check (official harness),OBQA test (E1),small,obqa,official:C,500,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
E1 port check (official harness),OBQA test (E1),small,obqa,official:R,500,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
E1 port check (ours),OBQA test (E1),large,obqa,ours:C,500,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
E1 port check (ours),OBQA test (E1),large,obqa,ours:R,500,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
E1 port check (ours),OBQA test (E1),medium,obqa,ours:C,500,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
E1 port check (ours),OBQA test (E1),medium,obqa,ours:R,500,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
E1 port check (ours),OBQA test (E1),small,obqa,ours:C,500,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
E1 port check (ours),OBQA test (E1),small,obqa,ours:R,500,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1 Llama helper (cross-family),cal,X1-Llama,arc,C2C,448,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1 Llama helper (cross-family),cal,X1-Llama,arc,Text,448,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1 Llama helper (cross-family),cal,X1-Llama,obqa,C2C,1366,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1 Llama helper (cross-family),cal,X1-Llama,obqa,Text,1366,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1 Llama helper (cross-family),dev,X1-Llama,arc,C2C,299,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1 Llama helper (cross-family),dev,X1-Llama,arc,Text,299,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1 Llama helper (cross-family),dev,X1-Llama,obqa,C2C,742,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1 Llama helper (cross-family),dev,X1-Llama,obqa,Text,742,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1 Llama helper (cross-family),fit,X1-Llama,arc,C2C,671,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1 Llama helper (cross-family),fit,X1-Llama,arc,Text,671,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1 Llama helper (cross-family),fit,X1-Llama,obqa,C2C,2100,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1 Llama helper (cross-family),fit,X1-Llama,obqa,Text,2100,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2 OLMo (cross-family),cal,X2-OLMo,arc,R,448,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2 OLMo (cross-family),cal,X2-OLMo,arc,Text,448,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2 OLMo (cross-family),cal,X2-OLMo,mmlu_pro,R,6000,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2 OLMo (cross-family),cal,X2-OLMo,mmlu_pro,Text,6000,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2 OLMo (cross-family),cal,X2-OLMo,obqa,R,1366,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2 OLMo (cross-family),cal,X2-OLMo,obqa,Text,1366,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2 OLMo (cross-family),dev,X2-OLMo,arc,R,299,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2 OLMo (cross-family),dev,X2-OLMo,arc,Text,299,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2 OLMo (cross-family),dev,X2-OLMo,mmlu_pro,R,2641,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2 OLMo (cross-family),dev,X2-OLMo,mmlu_pro,Text,2641,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2 OLMo (cross-family),dev,X2-OLMo,obqa,R,742,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2 OLMo (cross-family),dev,X2-OLMo,obqa,Text,742,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2 OLMo (cross-family),fit,X2-OLMo,arc,R,671,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2 OLMo (cross-family),fit,X2-OLMo,arc,Text,671,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
