population,design,N,correct_R,correct_Text,correct_C2C,H_real_best_fixed,gain_real_over_R,H_null_mean,H_null_sd,H_null_p2_5,H_null_p97_5,ratio_best_fixed,gain_null_mean,ratio_gain_over_R,mean_correct_N1,mean_correct_N2,mean_best_fixed_null_minus_R,share_draws_best_fixed_null_is_R,real_Text_minus_R,real_C2C_minus_R,real_best_fixed_minus_R,under_matched,draws,label
small/OBQA,independent (E5-c),742,285,346,366,132,213,143.018,5.444,131.0,153.0,1.083,146.148,0.686,279.251,279.843,3.130,0.546,61,81,81,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/OBQA,per-reference Text,742,285,346,366,75,136,96.079,4.496,86.0,104.0,1.281,97.815,0.719,280.102,,1.736,0.703,61,,61,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/OBQA,per-reference C2C,742,285,346,366,66,147,99.142,4.660,89.0,107.0,1.502,100.848,0.686,279.815,,1.706,0.737,,81,81,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/OBQA,joint-matched,742,285,346,366,132,213,138.094,5.208,128.0,148.0,1.046,141.458,0.664,279.816,279.789,3.364,0.536,61,81,81,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/ARC,independent (E5-c),299,110,126,155,49,94,56.477,4.003,48.0,64.0,1.153,69.386,0.738,119.196,120.019,12.909,0.006,16,45,45,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/ARC,per-reference Text,299,110,126,155,39,55,37.650,3.009,32.0,43.0,0.965,46.820,0.851,119.008,,9.170,0.073,16,,16,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/ARC,per-reference C2C,299,110,126,155,24,69,41.495,3.026,35.0,47.0,1.729,51.542,0.747,119.944,,10.047,0.052,,45,45,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/ARC,joint-matched,299,110,126,155,49,94,56.312,3.911,49.0,64.0,1.149,69.232,0.737,118.906,120.178,12.920,0.005,16,45,45,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/OBQA,independent (E5-c),742,490,523,486,70,103,80.958,3.734,73.0,87.0,1.157,82.909,0.805,484.605,486.211,1.951,0.610,33,-4,33,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/OBQA,per-reference Text,742,490,523,486,49,82,64.753,3.143,58.0,70.0,1.321,65.589,0.800,484.763,,0.836,0.808,33,,33,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/OBQA,per-reference C2C,742,490,523,486,44,44,48.176,2.935,42.0,53.0,1.095,49.496,1.125,486.173,,1.320,0.737,,-4,0,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/OBQA,joint-matched,742,490,523,486,70,103,90.870,3.514,83.0,97.0,1.298,92.965,0.903,484.749,486.210,2.095,0.531,33,-4,33,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/ARC,independent (E5-c),299,217,221,202,27,31,23.552,1.688,20.0,26.0,0.872,23.946,0.772,212.851,213.010,0.394,0.820,4,-15,4,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/ARC,per-reference Text,299,217,221,202,21,25,18.380,1.733,15.0,21.0,0.875,18.556,0.742,212.777,,0.176,0.910,4,,4,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/ARC,per-reference C2C,299,217,221,202,10,10,16.845,1.755,13.0,20.0,1.684,17.050,1.705,212.966,,0.205,0.905,,-15,0,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/ARC,joint-matched,299,217,221,202,27,31,25.639,1.527,22.0,28.0,0.950,26.207,0.845,212.851,213.363,0.568,0.759,4,-15,4,yes,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA,independent (E5-c),742,617,645,598,25,53,36.893,3.206,31.0,43.0,1.476,37.133,0.701,606.394,608.142,0.240,0.924,28,-19,28,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA,per-reference Text,742,617,645,598,18,46,25.063,2.951,19.0,30.0,1.392,25.170,0.547,606.639,,0.107,0.966,28,,28,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA,per-reference C2C,742,617,645,598,16,16,20.900,2.767,15.0,26.0,1.306,21.012,1.313,608.291,,0.112,0.958,,-19,0,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA,joint-matched,742,617,645,598,25,53,40.085,2.912,34.0,46.0,1.603,40.313,0.761,606.597,608.265,0.228,0.926,28,-19,28,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/ARC,independent (E5-c),299,268,274,266,6,12,6.666,1.091,4.0,9.0,1.111,6.749,0.562,263.493,264.401,0.083,0.946,6,-2,6,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/ARC,per-reference Text,299,268,274,266,4,10,4.941,1.205,3.0,7.0,1.235,4.984,0.498,263.521,,0.043,0.976,6,,6,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/ARC,per-reference C2C,299,268,274,266,4,4,3.878,1.113,2.0,6.0,0.970,3.945,0.986,264.348,,0.067,0.958,,-2,0,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/ARC,joint-matched,299,268,274,266,6,12,7.600,0.904,6.0,9.0,1.267,7.695,0.641,263.660,264.388,0.095,0.949,6,-2,6,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/MMLU-Pro,independent (E5-c),2641,1282,1319,1233,239,276,237.580,7.197,222.0,250.0,0.994,243.910,0.884,1279.957,1278.701,6.330,0.353,37,-49,37,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/MMLU-Pro,per-reference Text,2641,1282,1319,1233,129,166,139.100,5.639,128.0,149.0,1.078,142.917,0.861,1280.094,,3.817,0.584,37,,37,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/MMLU-Pro,per-reference C2C,2641,1282,1319,1233,155,155,189.350,5.428,178.0,199.0,1.222,193.057,1.246,1280.373,,3.707,0.567,,-49,0,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/MMLU-Pro,joint-matched,2641,1282,1319,1233,239,276,260.789,7.409,244.0,273.0,1.091,267.712,0.970,1279.965,1278.991,6.923,0.295,37,-49,37,no,1000,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
MEDIAN of 7,independent (E5-c),,,,,,,,,,,1.111,,0.738,,,,,,,,,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
MEDIAN of 7,per-reference Text,,,,,,,,,,,1.235,,0.742,,,,,,,,,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
MEDIAN of 7,per-reference C2C,,,,,,,,,,,1.306,,1.125,,,,,,,,,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
MEDIAN of 7,joint-matched,,,,,,,,,,,1.149,,0.761,,,,,,,,,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
