setting,alpha,deployed_q,threshold,cal_n,cal_k,cal_p,cal_row_note,dev_N,dev_correct_R,dev_correct_b,dev_correct_policy,dev_acc_policy_pct,dev_acc_R_pct,dev_acc_b_pct,dev_omitted,dev_changed,dev_kappa,dev_G_pts,dev_G_lo,dev_G_hi,dev_P_pts,dev_P_lo,dev_P_hi,dev_retention,dev_ret_lo,dev_ret_hi,dev_share_boot_G_le_0,dev_n_boot_G_eq_0_undefined,dev_corrections_total,dev_corrections_lost_omitted,dev_corrections_kept_routed,dev_kappa_alpha_pts,dev_kappa_alpha_lt_G,ho_N,ho_correct_R,ho_correct_b,ho_correct_policy,ho_acc_policy_pct,ho_acc_R_pct,ho_acc_b_pct,ho_omitted,ho_changed,ho_kappa,ho_G_pts,ho_G_lo,ho_G_hi,ho_P_pts,ho_P_lo,ho_P_hi,ho_retention,ho_ret_lo,ho_ret_hi,ho_share_boot_G_le_0,ho_n_boot_G_eq_0_undefined,ho_corrections_total,ho_corrections_lost_omitted,ho_corrections_kept_routed
large/OBQA/Text,0.01,fallback,,642,1,0.011802606963678885,fallback: q=.05 candidate shown,742,617,645,645,86.92722371967655,83.15363881401618,86.92722371967655,0,0,0.0,3.7735849056603774,1.6172506738544423,5.92991913746631,3.7735849056603774,1.6172506738544423,5.92991913746631,1.0,1.0,1.0,0.0,0,46,0,46,0.0,True,744,618,647,647,86.96236559139786,83.06451612903226,86.96236559139786,0,0,0.0,3.8978494623655915,1.8817204301075252,5.779569892473113,3.8978494623655915,1.8817204301075252,5.779569892473113,1.0,1.0,1.0,0.0,0,41,0,41
large/OBQA/Text,0.02,0.65,7.987022399902344e-06,870,4,0.00012139479066295931,,742,617,645,645,86.92722371967655,83.15363881401618,86.92722371967655,460,6,0.6199460916442049,3.7735849056603774,1.6172506738544423,5.92991913746631,3.7735849056603774,1.7520215633423208,5.795148247978443,1.0,0.833333333333337,1.2777777777777761,0.0,0,46,3,43,1.2398921832884098,True,744,618,647,646,86.82795698924731,83.06451612903226,86.96236559139786,485,3,0.6518817204301075,3.8978494623655915,1.8817204301075252,5.779569892473113,3.763440860215054,1.8817204301075252,5.5141129032257945,0.9655172413793104,0.8461538461538461,1.0952380952380953,0.0,0,41,2,39
large/OBQA/Text,0.03,0.75,0.0002611875534057617,999,12,0.0001440176676208782,,742,617,645,642,86.52291105121293,83.15363881401618,86.92722371967655,536,15,0.7223719676549866,3.7735849056603774,1.6172506738544423,5.92991913746631,3.3692722371967654,1.6138814016172458,5.256064690026951,0.8928571428571428,0.6500000000000005,1.2500000000000018,0.0,0,46,9,37,2.1671159029649596,True,744,618,647,645,86.69354838709677,83.06451612903226,86.96236559139786,558,7,0.75,3.8978494623655915,1.8817204301075252,5.779569892473113,3.6290322580645165,1.7473118279569877,5.376344086021511,0.9310344827586208,0.7647058823529411,1.12,0.0,0,41,4,37
large/OBQA/Text,0.04,0.8,0.001170039176940918,1064,18,1.345977327866445e-05,,742,617,645,638,85.98382749326146,83.15363881401618,86.92722371967655,572,19,0.77088948787062,3.7735849056603774,1.6172506738544423,5.92991913746631,2.8301886792452833,1.0781671159029615,4.582210242587603,0.75,0.4666666666666674,1.0667857142857122,0.0,0,46,13,33,3.08355795148248,True,744,618,647,640,86.02150537634408,83.06451612903226,86.96236559139786,595,12,0.7997311827956989,3.8978494623655915,1.8817204301075252,5.779569892473113,2.956989247311828,1.2096774193548376,4.5698924731182755,0.7586206896551725,0.5,0.9583333333333334,0.0,0,41,9,32
large/OBQA/Text,0.05,0.8,0.001170039176940918,1064,18,1.1550466704560778e-08,,742,617,645,638,85.98382749326146,83.15363881401618,86.92722371967655,572,19,0.77088948787062,3.7735849056603774,1.6172506738544423,5.92991913746631,2.8301886792452833,1.0781671159029615,4.582210242587603,0.75,0.4666666666666674,1.0667857142857122,0.0,0,46,13,33,3.8544474393531,False,744,618,647,640,86.02150537634408,83.06451612903226,86.96236559139786,595,12,0.7997311827956989,3.8978494623655915,1.8817204301075252,5.779569892473113,2.956989247311828,1.2096774193548376,4.5698924731182755,0.7586206896551725,0.5,0.9583333333333334,0.0,0,41,9,32
large/ARC/Text,0.01,fallback,,321,0,0.03970977861200687,fallback: q=.05 candidate shown,299,268,274,274,91.63879598662207,89.63210702341136,91.63879598662207,0,0,0.0,2.0066889632107023,-0.33444816053511683,4.682274247491636,2.0066889632107023,-0.33444816053511683,4.682274247491636,1.0,1.0,1.0,0.068,67,10,0,10,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,
large/ARC/Text,0.02,0.8,8.940696716308594e-07,359,0,0.0007082085631082971,,299,268,274,274,91.63879598662207,89.63210702341136,91.63879598662207,233,0,0.7792642140468228,2.0066889632107023,-0.33444816053511683,4.682274247491636,2.0066889632107023,-0.33444816053511683,4.682274247491636,1.0,1.0,1.0,0.068,67,10,0,10,1.5585284280936456,True,,,,,,,,,,,,,,,,,,,,,,,,
large/ARC/Text,0.03,0.85,3.457069396972656e-05,385,1,0.00010421981240698962,,299,268,274,273,91.30434782608695,89.63210702341136,91.63879598662207,254,1,0.8494983277591973,2.0066889632107023,-0.33444816053511683,4.682274247491636,1.6722408026755853,-0.6688963210702337,4.013377926421413,0.8333333333333333,0.0,1.0,0.068,67,10,1,9,2.548494983277592,False,,,,,,,,,,,,,,,,,,,,,,,,
large/ARC/Text,0.04,0.95,0.01800704002380371,422,4,0.00016494293385617187,,299,268,274,270,90.3010033444816,89.63210702341136,91.63879598662207,284,9,0.9498327759197325,2.0066889632107023,-0.33444816053511683,4.682274247491636,0.6688963210702341,-1.0033444816053505,2.341137123745818,0.3333333333333333,-1.0,1.399999999999999,0.068,67,10,6,4,3.79933110367893,False,,,,,,,,,,,,,,,,,,,,,,,,
large/ARC/Text,0.05,0.95,0.01800704002380371,422,4,4.801495832619201e-06,,299,268,274,270,90.3010033444816,89.63210702341136,91.63879598662207,284,9,0.9498327759197325,2.0066889632107023,-0.33444816053511683,4.682274247491636,0.6688963210702341,-1.0033444816053505,2.341137123745818,0.3333333333333333,-1.0,1.399999999999999,0.068,67,10,6,4,4.749163879598663,False,,,,,,,,,,,,,,,,,,,,,,,,
