setting,replay,alpha,deployed_q,version,n_b,b_excluded_ids,omitted_under_variant,omitted_under_alpha05,recomposed_mean_saving_ms,CI_lo,CI_hi,measured_alpha05_b_saving_ms,mean_pre_action_ms,source,note,label
large/OBQA/Text,original (ClusterB),0.01,fallback,b,127,9-782,0,96,-42.16637531310085,-42.241498247965964,-42.091921347516084,532.7795144742516,42.16637531310085,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,"fallback: the deployed system is the fixed arm (saving 0, no probe); the value shown is the prereg formula (probe still run, nothing omitted) = -mean pre-action part",POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/Text,original (ClusterB),0.02,0.65,b,127,9-782,77,96,412.4819441518827,349.0174737373022,479.8155745391928,532.7795144742516,42.16637531310085,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,recomposed from the per-request timings of an existing replay (not a new replay),POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/Text,original (ClusterB),0.03,0.75,b,127,9-782,92,96,509.89649130772125,445.6010690072595,573.4977444637508,532.7795144742516,42.16637531310085,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,recomposed from the per-request timings of an existing replay (not a new replay),POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/Text,original (ClusterB),0.04,0.8,b,127,9-782,96,96,532.8781999900615,470.8621625680344,594.6089924428627,532.7795144742516,42.16637531310085,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,recomposed from the per-request timings of an existing replay (not a new replay),POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/Text,original (ClusterB),0.05,0.8,b,127,9-782,96,96,532.8781999900615,470.8621625680344,594.6089924428627,532.7795144742516,42.16637531310085,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,recomposed from the per-request timings of an existing replay (not a new replay),POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/Text,REPEAT1,0.01,fallback,b,127,9-782,0,96,-32.332759088374615,-32.41742419002864,-32.263379383604885,419.6236575568667,32.332759088374615,$DATA_DIR/P2_R1_E3POL_REPEAT1_20260919T075315Z/large/records/e2e_requests.jsonl,"fallback: the deployed system is the fixed arm (saving 0, no probe); the value shown is the prereg formula (probe still run, nothing omitted) = -mean pre-action part",POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/Text,REPEAT1,0.02,0.65,b,127,9-782,77,96,326.40483900611326,275.57813034124314,379.2715279521112,419.6236575568667,32.332759088374615,$DATA_DIR/P2_R1_E3POL_REPEAT1_20260919T075315Z/large/records/e2e_requests.jsonl,recomposed from the per-request timings of an existing replay (not a new replay),POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/Text,REPEAT1,0.03,0.75,b,127,9-782,92,96,401.8532570550497,351.2235117609627,451.2196413576365,419.6236575568667,32.332759088374615,$DATA_DIR/P2_R1_E3POL_REPEAT1_20260919T075315Z/large/records/e2e_requests.jsonl,recomposed from the per-request timings of an existing replay (not a new replay),POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/Text,REPEAT1,0.04,0.8,b,127,9-782,96,96,420.311337989557,371.68345982639676,469.3630618488738,419.6236575568667,32.332759088374615,$DATA_DIR/P2_R1_E3POL_REPEAT1_20260919T075315Z/large/records/e2e_requests.jsonl,recomposed from the per-request timings of an existing replay (not a new replay),POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/Text,REPEAT1,0.05,0.8,b,127,9-782,96,96,420.311337989557,371.68345982639676,469.3630618488738,419.6236575568667,32.332759088374615,$DATA_DIR/P2_R1_E3POL_REPEAT1_20260919T075315Z/large/records/e2e_requests.jsonl,recomposed from the per-request timings of an existing replay (not a new replay),POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/Text,REPEAT2,0.01,fallback,b,127,9-782,0,96,-33.22272076762802,-33.514360100393894,-33.05873611280108,430.1622496884844,33.22272076762802,$DATA_DIR/P2_R1_E3POL_REPEAT2_20260919T075315Z/large/records/e2e_requests.jsonl,"fallback: the deployed system is the fixed arm (saving 0, no probe); the value shown is the prereg formula (probe still run, nothing omitted) = -mean pre-action part",POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/Text,REPEAT2,0.02,0.65,b,127,9-782,77,96,332.79016846240916,281.6471095783104,386.31129592627747,430.1622496884844,33.22272076762802,$DATA_DIR/P2_R1_E3POL_REPEAT2_20260919T075315Z/large/records/e2e_requests.jsonl,recomposed from the per-request timings of an existing replay (not a new replay),POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/Text,REPEAT2,0.03,0.75,b,127,9-782,92,96,411.09782795414446,358.75447058732124,462.08434729226383,430.1622496884844,33.22272076762802,$DATA_DIR/P2_R1_E3POL_REPEAT2_20260919T075315Z/large/records/e2e_requests.jsonl,recomposed from the per-request timings of an existing replay (not a new replay),POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/Text,REPEAT2,0.04,0.8,b,127,9-782,96,96,429.5062278525713,379.02965995242016,479.17828497593285,430.1622496884844,33.22272076762802,$DATA_DIR/P2_R1_E3POL_REPEAT2_20260919T075315Z/large/records/e2e_requests.jsonl,recomposed from the per-request timings of an existing replay (not a new replay),POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/Text,REPEAT2,0.05,0.8,b,127,9-782,96,96,429.5062278525713,379.02965995242016,479.17828497593285,430.1622496884844,33.22272076762802,$DATA_DIR/P2_R1_E3POL_REPEAT2_20260919T075315Z/large/records/e2e_requests.jsonl,recomposed from the per-request timings of an existing replay (not a new replay),POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
