setting,outcome,q0,dev_AUROC,sample_split,N_split,split_disagreement_rate,split_AUROC,n100_AUROC_median,n100_AUROC_q25,n100_AUROC_q75,n100_share_pred_deploy,n100_match_share,n100_no_disagreement_draws,n100_no_agreement_draws,n100_dis_rate_median,n100_dis_rate_q25,n100_dis_rate_q75,n200_AUROC_median,n200_AUROC_q25,n200_AUROC_q75,n200_share_pred_deploy,n200_match_share,n200_no_disagreement_draws,n200_no_agreement_draws,n200_dis_rate_median,n200_dis_rate_q25,n200_dis_rate_q75,n400_AUROC_median,n400_AUROC_q25,n400_AUROC_q75,n400_share_pred_deploy,n400_match_share,n400_no_disagreement_draws,n400_no_agreement_draws,n400_dis_rate_median,n400_dis_rate_q25,n400_dis_rate_q75,label
small/OBQA/Text,fallback,0.0,0.6414282263554317,fit,2100,0.46523809523809523,0.6531124136529309,0.6607049302166907,0.6257877551020408,0.6889459690353252,0.005,0.995,0,0,0.46,0.43,0.5,0.6585999252940042,0.6344175469993257,0.6806296759242364,0.0,1.0,0,0,0.465,0.445,0.49,0.6524471382395131,0.6368024427089284,0.6716724341131923,0.0,1.0,0,0,0.465,0.449375,0.48,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/OBQA/C2C,fallback,0.0,0.7002332361516035,fit,2100,0.47523809523809524,0.7223776045739392,0.7244420411983643,0.692392615259078,0.7553104865016153,0.04,0.96,0,0,0.48,0.45,0.5025,0.7211332818499938,0.6992276408727506,0.7424082046634758,0.005,0.995,0,0,0.475,0.45,0.5,0.7286252261892712,0.7108243751458865,0.7418829381059144,0.0,1.0,0,0,0.4725,0.4575,0.4875,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/ARC/Text,fallback,0.0,0.6339901477832514,fit,670,0.5134328358208955,0.6259987159366529,0.6187238095238095,0.5835278919695319,0.6611312399355878,0.0,1.0,0,0,0.52,0.49,0.54,0.6242094468545554,0.6039419448269604,0.6468837535014005,0.0,1.0,0,0,0.51,0.48875,0.535,0.6272106214811518,0.6170327808156755,0.6401022556349429,0.0,1.0,0,0,0.5125,0.5025,0.52,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/ARC/C2C,fallback,0.0,0.6406474820143885,fit,670,0.5373134328358209,0.742105734767025,0.7477678571428572,0.7111892029539089,0.7748954654325498,0.135,0.865,0,0,0.54,0.51,0.57,0.7423564779447132,0.7222473832528181,0.7623409339697418,0.01,0.99,0,0,0.535,0.515,0.56,0.743437949768256,0.7345294774492946,0.7546584872460204,0.0,1.0,0,0,0.5375,0.5275,0.5475,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/OBQA/Text,fallback,0.0,0.7865418083211915,fit,2100,0.2438095238095238,0.7977451737641688,0.8056343019135365,0.7716346153846153,0.8361974920938591,0.54,0.46,0,0,0.24,0.2,0.26,0.7971109121918603,0.7734087872737747,0.822863980404892,0.47,0.53,0,0,0.24,0.225,0.26,0.7977583333333333,0.7843762005649718,0.813715982144451,0.445,0.555,0,0,0.245,0.2325,0.2575,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/OBQA/C2C,deploy,0.55,0.8401069451905898,fit,2100,0.1680952380952381,0.8618149121683308,0.8678014195820716,0.8319057750114325,0.8929674061659243,0.92,0.92,0,0,0.16,0.14,0.19,0.8682015815876121,0.8509795019857859,0.8823164352366942,0.975,0.975,0,0,0.165,0.15,0.185,0.8595652935655065,0.8477900679927304,0.8716382074748974,1.0,1.0,0,0,0.1675,0.1575,0.1775,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/ARC/Text,fallback,0.0,0.7421753347866709,fit,670,0.2,0.8302517264424147,0.8307648026315789,0.7973898509242474,0.8613323883770376,0.72,0.28,0,0,0.2,0.18,0.22,0.828891129032258,0.8119962993421053,0.8505660519241254,0.855,0.145,0,0,0.2,0.18,0.215,0.8311902748428805,0.8208280994501207,0.8432327576949528,0.98,0.02,0,0,0.2,0.1925,0.21,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/ARC/C2C,deploy,0.6,0.9097360557768924,fit,670,0.15970149253731344,0.8820653707607775,0.8825490196078432,0.8612336980548188,0.9122866178361868,1.0,1.0,0,0,0.16,0.14,0.18,0.8866442306782395,0.8690828366230213,0.9025861624141489,1.0,1.0,0,0,0.155,0.145,0.17125,0.8822239823650599,0.8752824699108523,0.8892160270594596,1.0,1.0,0,0,0.16,0.1525,0.165,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/Text,deploy,0.8,0.8727300995024876,fit,2100,0.09666666666666666,0.9078049084502106,0.9180438275175118,0.888287798194713,0.9388823938321537,0.975,0.975,0,0,0.095,0.0775,0.11,0.9112981202824952,0.8886946386946386,0.9289279398762157,1.0,1.0,0,0,0.095,0.085,0.11,0.9098342885988382,0.8919892477958882,0.9221053961140077,1.0,1.0,0,0,0.095,0.0875,0.105,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/C2C,deploy,0.8,0.8826490713587488,fit,2100,0.0761904761904762,0.9152077963917525,0.9217574540155186,0.8997725553432075,0.9385560675883257,0.995,0.995,0,0,0.08,0.06,0.09,0.9180891660835926,0.9018812070282659,0.9317056918669822,1.0,1.0,0,0,0.075,0.065,0.09,0.9154482303102331,0.9032866310218716,0.9263996976342455,1.0,1.0,0,0,0.07625,0.07,0.085,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
