panel,reference,source,n,mean_tokenization_prefix_ms,mean_prepare_transfer_ms,mean_prefill_projection_ms,mean_label_distribution_ms,mean_GPU_prefill_projection_event_ms,mean_score_ms,mean_selector_ms,mean_sum_ms,mean_panel_probe_selector_ms,sum_equals_route_measured,probe_core_equals_4_components,prefill_projection_share_of_sum,n_cold_first_after_load,label
small/OBQA,Text,"Appendix F component panel (BND, 128 dev-panel questions)",128,0.8682455718371784,0.1268732903554337,31.247828928826493,0.5564137627516175,31.13103999197483,0.07917215771158226,0.0006353203125,32.8791690317948,0.0,True,True,0.9503837794260929,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/OBQA,C2C,"Appendix F component panel (BND, 128 dev-panel questions)",128,0.8682455718371784,0.1268732903554337,31.247828928826493,0.5564137627516175,31.13103999197483,0.07917215771158226,0.0005648984375000001,32.87909860991981,0.0,True,True,0.9503858149991633,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/ARC,Text,"Appendix F component panel (BND, 128 dev-panel questions)",128,0.9298038803535746,0.12465985128073953,31.170234382443596,0.5459100138978101,31.056879967451096,0.07858537719585001,0.00028714062499999996,32.849480645796575,0.0,True,True,0.9488805840963012,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/ARC,C2C,"Appendix F component panel (BND, 128 dev-panel questions)",128,0.9298038803535746,0.12465985128073953,31.170234382443596,0.5459100138978101,31.056879967451096,0.07858537719585001,0.00028446875,32.84947797392157,0.0,True,True,0.948880661275315,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA,Text,"Appendix F component panel (BND, 128 dev-panel questions)",128,0.8367907048523193,0.11452717080828734,41.79385590578022,0.5449350119306473,41.72864007949829,0.07552291572210379,0.0006196640625,43.36625137315608,43.36625137315608,True,True,0.9637414944204935,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA,C2C,"Appendix F component panel (BND, 128 dev-panel questions)",128,0.8367907048523193,0.11452717080828734,41.79385590578022,0.5449350119306473,41.72864007949829,0.07552291572210379,0.0006710390625,43.36630274815607,43.36630274815607,True,True,0.9637403526994767,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/ARC,Text,"Appendix F component panel (BND, 128 dev-panel questions)",128,0.8763524801906897,0.12497612442530226,41.44499449830619,0.5424989576567896,41.32964810729027,0.07777880273351911,0.0006112578125,43.06721212112499,43.06721212112499,True,True,0.9623328852061198,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/ARC,C2C,"Appendix F component panel (BND, 128 dev-panel questions)",128,0.8763524801906897,0.12497612442530226,41.44499449830619,0.5424989576567896,41.32964810729027,0.07777880273351911,0.00039046875,43.066991332062486,43.066991332062486,True,True,0.962337818742663,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/OBQA,(probe only),execution_retry1_20260915T164957Z/probes (total latency_ms only; components not recorded),128,,,,,,,,33.103899033449125,,,,,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/ARC,(probe only),execution_retry1_20260915T164957Z/probes (total latency_ms only; components not recorded),128,,,,,,,,33.19828489475185,,,,,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/MMLU-Pro,(probe only),MMLU-Pro stage-1 shard probes (total latency_ms only; components not recorded),128,,,,,,,,46.26894862667541,,,,,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
