setting,source,original_outcome,n_seeds,deploy_share,deploy_share_recorded,recount_matches_record,median_q,IQR_q,added_in_E13,source_file,label
small/OBQA/Text,E5-b,fallback q=0,200,0.0,0.0,True,,,no,$DATA_DIR/P2_R2_CPU_20260919T220412Z/results/e5b_resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/OBQA/C2C,E5-b,fallback q=0,200,0.0,0.0,True,,,no,$DATA_DIR/P2_R2_CPU_20260919T220412Z/results/e5b_resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/ARC/Text,E5-b,fallback q=0,200,0.0,0.0,True,,,no,$DATA_DIR/P2_R2_CPU_20260919T220412Z/results/e5b_resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/ARC/C2C,E5-b,fallback q=0,200,0.0,0.0,True,,,no,$DATA_DIR/P2_R2_CPU_20260919T220412Z/results/e5b_resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/OBQA/Text,E5-b,fallback q=0,200,0.0,0.0,True,,,no,$DATA_DIR/P2_R2_CPU_20260919T220412Z/results/e5b_resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/OBQA/C2C,E5-b,deploy q=0.55,200,1.0,1.0,True,0.55,"[0.5, 0.55]",no,$DATA_DIR/P2_R2_CPU_20260919T220412Z/results/e5b_resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/ARC/Text,E5-b,fallback q=0,200,0.0,0.0,True,,,no,$DATA_DIR/P2_R2_CPU_20260919T220412Z/results/e5b_resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/ARC/C2C,E5-b,deploy q=0.6,200,0.96,0.96,True,0.6,"[0.6, 0.6]",no,$DATA_DIR/P2_R2_CPU_20260919T220412Z/results/e5b_resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/Text,E5-b,deploy q=0.8,200,1.0,1.0,True,0.8,"[0.8, 0.8]",no,$DATA_DIR/P2_R2_CPU_20260919T220412Z/results/e5b_resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/C2C,E5-b,deploy q=0.8,200,1.0,1.0,True,0.8,"[0.8, 0.85]",no,$DATA_DIR/P2_R2_CPU_20260919T220412Z/results/e5b_resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/ARC/Text,E5-b,deploy q=0.95,200,1.0,1.0,True,0.9,"[0.9, 0.95]",no,$DATA_DIR/P2_R2_CPU_20260919T220412Z/results/e5b_resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/ARC/C2C,E5-b,deploy q=0.9,200,1.0,1.0,True,0.9,"[0.9, 0.9]",no,$DATA_DIR/P2_R2_CPU_20260919T220412Z/results/e5b_resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/MMLU-Pro/Text,E5-b,deploy q=0.4,200,1.0,1.0,True,0.4,"[0.4, 0.4]",no,$DATA_DIR/P2_R2_CPU_20260919T220412Z/results/e5b_resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/MMLU-Pro/C2C,E5-b,deploy q=0.4,200,1.0,1.0,True,0.4,"[0.35, 0.4]",no,$DATA_DIR/P2_R2_CPU_20260919T220412Z/results/e5b_resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1-Llama/OBQA/Text,E5-b,fallback q=0,200,0.0,0.0,True,,,no,$DATA_DIR/P2_R2_CPU_20260919T220412Z/results/e5b_resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1-Llama/OBQA/C2C,E5-b,fallback q=0,200,0.0,0.0,True,,,no,$DATA_DIR/P2_R2_CPU_20260919T220412Z/results/e5b_resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1-Llama/ARC/Text,E5-b,fallback q=0,200,0.0,0.0,True,,,no,$DATA_DIR/P2_R2_CPU_20260919T220412Z/results/e5b_resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1-Llama/ARC/C2C,E5-b,fallback q=0,200,0.0,0.0,True,,,no,$DATA_DIR/P2_R2_CPU_20260919T220412Z/results/e5b_resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2-OLMo/OBQA/Text,E5-b,fallback q=0,200,0.0,0.0,True,,,no,$DATA_DIR/P2_R2_CPU_20260919T220412Z/results/e5b_resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2-OLMo/ARC/Text,E5-b,fallback q=0,200,0.0,0.0,True,,,no,$DATA_DIR/P2_R2_CPU_20260919T220412Z/results/e5b_resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2-OLMo/MMLU-Pro/Text,E5-b,fallback q=0,200,0.0,0.0,True,,,no,$DATA_DIR/P2_R2_CPU_20260919T220412Z/results/e5b_resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/MMLU-Pro/Text,E8,fallback q=0,200,0.0,0.0,True,,,no,$DATA_DIR/P2_R2_E8_20260920T012544Z/analysis/development/resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/MMLU-Pro/C2C,E8,fallback q=0,200,0.0,0.0,True,,,no,$DATA_DIR/P2_R2_E8_20260920T012544Z/analysis/development/resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/MMLU-Pro/Text,E8,fallback q=0,200,0.0,0.0,True,,,no,$DATA_DIR/P2_R2_E8_20260920T012544Z/analysis/development/resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/MMLU-Pro/C2C,E8,fallback q=0,200,0.0,0.0,True,,,no,$DATA_DIR/P2_R2_E8_20260920T012544Z/analysis/development/resplit_stability.csv,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
