setting,required,dev_N,dev_disagreements,AUROC_sklearn,AUROC_explicit_MW_ties_half,abs_diff,share_tied_pos_neg_pairs,AUROC_ties_credit_0,AUROC_ties_credit_1,label
small/OBQA/Text,False,742,339,0.6414282263554317,0.6414282263554316,1.1102230246251565e-16,1.4639466537839362e-05,0.6414209066221627,0.6414355460887006,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/OBQA/C2C,False,742,350,0.7002332361516035,0.7002332361516035,0.0,0.0,0.7002332361516035,0.7002332361516035,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/ARC/Text,False,299,145,0.6339901477832514,0.6339901477832512,1.1102230246251565e-16,0.0,0.6339901477832512,0.6339901477832512,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/ARC/C2C,False,299,160,0.6406474820143885,0.6406474820143885,0.0,0.0,0.6406474820143885,0.6406474820143885,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/OBQA/Text,False,742,174,0.7865418083211915,0.7865418083211915,0.0,0.05707665533430468,0.7580034806540392,0.8150801359883438,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/OBQA/C2C,False,742,131,0.8401069451905898,0.8401069451905898,0.0,0.027910695768418686,0.8261515973063804,0.8540622930747992,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/ARC/Text,False,299,52,0.7421753347866709,0.7421753347866709,0.0,0.17510121457489877,0.6546247274992214,0.8297259420741202,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/ARC/C2C,True,299,48,0.9097360557768924,0.9097360557768924,0.0,0.015687250996015936,0.9018924302788844,0.9175796812749004,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/Text,False,742,72,0.8727300995024876,0.8727300995024876,0.0,0.014780265339966833,0.8653399668325041,0.8801202321724709,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/C2C,False,742,60,0.8826490713587488,0.8826490713587488,0.0,0.00884652981427175,0.8782258064516129,0.8870723362658847,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/ARC/Text,True,299,15,0.9518779342723005,0.9518779342723005,0.0,0.00046948356807511736,0.9516431924882629,0.952112676056338,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/ARC/C2C,False,299,12,0.9088269454123112,0.9088269454123112,0.0,0.06329849012775841,0.877177700348432,0.9404761904761905,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/MMLU-Pro/Text,False,2641,561,0.8214679315782257,0.8214679315782257,0.0,0.004763986013986014,0.8190859385712327,0.8238499245852187,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/MMLU-Pro/C2C,False,2641,756,0.8463998007101454,0.8463998007101455,1.1102230246251565e-16,0.0024272662203696687,0.8451861675999607,0.8476134338203304,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/MMLU-Pro/Text,False,2641,1235,0.6438493788909302,0.6438493788909302,0.0,5.759008529091631e-07,0.6438490909405037,0.6438496668413566,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/MMLU-Pro/C2C,False,2641,1591,0.6258202388434946,0.6258202388434947,1.1102230246251565e-16,0.0,0.6258202388434947,0.6258202388434947,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/MMLU-Pro/Text,False,2641,1128,0.7165514125803323,0.7165514125803322,1.1102230246251565e-16,0.005770907454542898,0.7136659588530607,0.7194368663076036,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/MMLU-Pro/C2C,False,2641,1410,0.7652413133530371,0.7652413133530371,0.0,0.003134164117277656,0.7636742312943983,0.7668083954116759,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1-Llama/OBQA/Text,False,742,191,0.6926768084681826,0.6926768084681826,0.0,0.0,0.6926768084681826,0.6926768084681826,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1-Llama/OBQA/C2C,False,742,427,0.6178915281959778,0.6178915281959778,0.0,7.434667856213524e-06,0.6178878108620497,0.6178952455299059,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1-Llama/ARC/Text,False,299,88,0.6778866867729427,0.6778866867729427,0.0,0.0,0.6778866867729427,0.6778866867729427,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1-Llama/ARC/C2C,False,299,174,0.6145747126436781,0.6145747126436781,0.0,0.0,0.6145747126436781,0.6145747126436781,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2-OLMo/OBQA/Text,False,742,172,0.7896419828641371,0.7896419828641371,0.0,1.0199918400652794e-05,0.7896368829049367,0.7896470828233374,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2-OLMo/ARC/Text,False,299,67,0.7491636644364384,0.7491636644364384,0.0,0.0,0.7491636644364384,0.7491636644364384,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2-OLMo/MMLU-Pro/Text,False,2641,1112,0.6326074196234902,0.6326074196234902,0.0,5.881494934856562e-07,0.6326071255487434,0.632607713698237,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/Text+fact,False,742,76,0.8885925399083293,0.8885925399083294,1.1102230246251565e-16,0.0071518887308360994,0.8850165955429113,0.8921684842737474,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
