policy,q,tau,tau_is_0,fit_candidates_equal_0,largest_q_with_candidate_0,label
large/OBQA/Text,0.8,0.001170039176940918,False,9,0.45,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/OBQA/C2C,0.8,0.001170039176940918,False,9,0.45,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/ARC/Text,0.95,0.01800704002380371,False,14,0.7,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/ARC/C2C,0.9,0.0007095932960510254,False,14,0.7,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
medium/OBQA/C2C q=.55,0.55,1.3113021850585938e-06,False,9,0.45,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
medium/OBQA/C2C q=.50,0.5,2.384185791015625e-07,False,9,0.45,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
medium/ARC/C2C,0.6,3.5762786865234375e-07,False,11,0.55,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/MMLU-Pro/Text,0.4,3.838539123535156e-05,False,4,0.2,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/MMLU-Pro/C2C,0.4,3.838539123535156e-05,False,4,0.2,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/OBQA/Text+fact,0.75,0.0002611875534057617,False,9,0.45,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
