setting,N_fit,N_cal,actual_outcome,actual_q,predicted_outcome,q_hat,outcome_match,predicted_fit_coverage,label,actual_dev_coverage,N_dev,grid_steps_qhat_minus_q,abs_grid_steps,abs_coverage_error,c_b_mean_ms,c_R_mean_ms,c_s_mean_ms,gap_ms,panel_coverage,measured_saving_ms,table2_saving_ms,pred_saving_fitcov_ms,pred_saving_panelcov_ms,abs_err_fitcov_ms,rel_err_fitcov,abs_err_panelcov_ms,rel_err_panelcov,component_recomposed_saving_ms,replay_source
small/OBQA/Text,2100,1366,fallback,0.0,fallback,0.0,True,,POST-HOC re-analysis (E15); does not change any primary decision,,,,,,,,,,,,,,,,,,,,
small/OBQA/C2C,2100,1366,fallback,0.0,fallback,0.0,True,,POST-HOC re-analysis (E15); does not change any primary decision,,,,,,,,,,,,,,,,,,,,
small/ARC/Text,670,448,fallback,0.0,fallback,0.0,True,,POST-HOC re-analysis (E15); does not change any primary decision,,,,,,,,,,,,,,,,,,,,
small/ARC/C2C,670,448,fallback,0.0,fallback,0.0,True,,POST-HOC re-analysis (E15); does not change any primary decision,,,,,,,,,,,,,,,,,,,,
medium/OBQA/Text,2100,1366,fallback,0.0,fallback,0.0,True,,POST-HOC re-analysis (E15); does not change any primary decision,,,,,,,,,,,,,,,,,,,,
medium/OBQA/C2C,2100,1366,deploy,0.55,deploy,0.55,True,0.550952380952381,POST-HOC re-analysis (E15); does not change any primary decision,0.5256064690026954,742,0,0,0.025345911949685607,394.46614842141435,216.421133410901,33.35608121521038,178.04501501051334,0.515625,79.6591089656431,79.7,64.73824372153435,58.44837964958556,14.920865244108754,0.18730896488616397,21.210729316057538,0.2662687242108835,68.32206610626622,$DATA_DIR/P2_MEDIUM_PAIR_E2E_STAGE2_20260915T205303Z/records/e2e_requests.jsonl
medium/ARC/Text,670,448,fallback,0.0,fallback,0.0,True,,POST-HOC re-analysis (E15); does not change any primary decision,,,,,,,,,,,,,,,,,,,,
medium/ARC/C2C,670,448,deploy,0.6,deploy,0.6,True,0.6104477611940299,POST-HOC re-analysis (E15); does not change any primary decision,0.6321070234113713,299,0,0,0.02165926221734138,445.49073454033095,229.12090567927996,33.18859624558044,216.369828861051,0.6015625,100.66012487186526,100.7,98.89388137258354,96.97137892864555,1.7662434992817282,0.017546605485837197,3.6887459432197147,0.036645553022264604,105.38137622760064,$DATA_DIR/P2_MEDIUM_PAIR_E2E_STAGE2_20260915T205303Z/records/e2e_requests.jsonl
large/OBQA/Text,2100,1366,deploy,0.8,deploy,0.8,True,0.8,POST-HOC re-analysis (E15); does not change any primary decision,0.77088948787062,742,0,0,0.029110512129380095,978.5049790121294,253.646032638814,43.24691884883543,724.8589463733153,0.7578125,517.1262959393061,517.1,536.6402382498169,506.0602514496926,19.513942310510743,0.03773535104237098,11.066044489613546,0.021399113865430548,515.5894573924045,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl
large/OBQA/C2C,2100,1366,deploy,0.8,deploy,0.85,True,0.85,POST-HOC re-analysis (E15); does not change any primary decision,0.77088948787062,742,1,1,0.07911051212938003,335.83547093531,253.646032638814,43.246962786840825,82.18943829649601,0.7578125,36.57528850817471,36.6,26.614059765180784,19.037220922222552,9.961228742993924,0.2723486033682975,17.538067585952156,0.47950592603069514,20.01047676706753,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl
