setting,original_q,q_m,dev_coverage_m,dev_changed_m,dev_omitted_m,dev_CP95_m,jaccard_m,q_neg_gap,dev_coverage_neg_gap,dev_changed_neg_gap,dev_omitted_neg_gap,dev_CP95_neg_gap,jaccard_neg_gap,original_dev_coverage
small/OBQA/Text,fallback,fallback,0.0,0,0,"[nan, nan]",,fallback,0.0,0,0,"[nan, nan]",,0.0
small/OBQA/C2C,fallback,fallback,0.0,0,0,"[nan, nan]",,fallback,0.0,0,0,"[nan, nan]",,0.0
small/ARC/Text,fallback,fallback,0.0,0,0,"[nan, nan]",,fallback,0.0,0,0,"[nan, nan]",,0.0
small/ARC/C2C,fallback,fallback,0.0,0,0,"[nan, nan]",,fallback,0.0,0,0,"[nan, nan]",,0.0
medium/OBQA/Text,fallback,fallback,0.0,0,0,"[nan, nan]",,fallback,0.0,0,0,"[nan, nan]",,0.0
medium/OBQA/C2C,0.55,0.55,0.5242587601078167,11,389,"[0.014198835686796031, 0.05003236400811133]",0.9974358974358974,0.5,0.4811320754716981,7,357,"[0.007918829196007558, 0.03998068804536817]",0.9153846153846154,0.5256064690026954
medium/ARC/Text,fallback,fallback,0.0,0,0,"[nan, nan]",,fallback,0.0,0,0,"[nan, nan]",,0.0
medium/ARC/C2C,0.6,0.6,0.6254180602006689,3,187,"[0.003320705435971421, 0.04616568007291618]",0.9894179894179894,0.6,0.6254180602006689,3,187,"[0.003320705435971421, 0.04616568007291618]",0.9894179894179894,0.6321070234113713
large/OBQA/Text,0.8,0.8,0.77088948787062,19,572,"[0.0201148221780326, 0.051387485520858665]",1.0,0.8,0.7749326145552561,19,575,"[0.02000926478761058, 0.051121896491591504]",0.9947826086956522,0.77088948787062
large/OBQA/C2C,0.8,0.8,0.77088948787062,13,572,"[0.012155514944778248, 0.03855077573314515]",1.0,0.8,0.7749326145552561,13,575,"[0.012091811036564473, 0.038351268558475114]",0.9947826086956522,0.77088948787062
large/ARC/Text,0.95,0.95,0.9498327759197325,9,284,"[0.014591145519933221, 0.05930334123334969]",1.0,0.95,0.9498327759197325,9,284,"[0.014591145519933221, 0.05930334123334969]",1.0,0.9498327759197325
large/ARC/C2C,0.9,0.9,0.903010033444816,3,270,"[0.0022972658375898353, 0.032126193689306796]",1.0,0.9,0.903010033444816,3,270,"[0.0022972658375898353, 0.032126193689306796]",1.0,0.903010033444816
large/MMLU-Pro/Text,0.4,0.4,0.40477092010602045,40,1069,"[0.026864122170024176, 0.050606521808391244]",1.0,0.4,0.41234380916319574,41,1089,"[0.027150684007512114, 0.05073096038818542]",0.9816345270890725,0.40477092010602045
large/MMLU-Pro/C2C,0.4,0.4,0.40477092010602045,37,1069,"[0.02448468599592269, 0.047394159674553994]",1.0,0.4,0.41234380916319574,40,1089,"[0.026368338201406664, 0.04968338184096884]",0.9816345270890725,0.40477092010602045
small/MMLU-Pro/Text,fallback,fallback,0.0,0,0,"[nan, nan]",,fallback,0.0,0,0,"[nan, nan]",,0.0
small/MMLU-Pro/C2C,fallback,fallback,0.0,0,0,"[nan, nan]",,fallback,0.0,0,0,"[nan, nan]",,0.0
medium/MMLU-Pro/Text,fallback,fallback,0.0,0,0,"[nan, nan]",,fallback,0.0,0,0,"[nan, nan]",,0.0
medium/MMLU-Pro/C2C,fallback,fallback,0.0,0,0,"[nan, nan]",,fallback,0.0,0,0,"[nan, nan]",,0.0
X1-Llama/OBQA/Text,fallback,fallback,0.0,0,0,"[nan, nan]",,fallback,0.0,0,0,"[nan, nan]",,0.0
X1-Llama/OBQA/C2C,fallback,fallback,0.0,0,0,"[nan, nan]",,fallback,0.0,0,0,"[nan, nan]",,0.0
X1-Llama/ARC/Text,fallback,fallback,0.0,0,0,"[nan, nan]",,fallback,0.0,0,0,"[nan, nan]",,0.0
X1-Llama/ARC/C2C,fallback,fallback,0.0,0,0,"[nan, nan]",,fallback,0.0,0,0,"[nan, nan]",,0.0
large/OBQA/Text+fact,0.75,0.75,0.7223719676549866,13,536,"[0.012975852337398362, 0.041117534187256916]",1.0,0.75,0.7237196765498652,13,537,"[0.012951572835366396, 0.041041628912522075]",0.9981378026070763,0.7223719676549866
