setting,original_q,original_tau,q_full_procedure_fp32,MATERIAL_CHANGE,material_reasons,cal_n_frozen_tau,cal_k_frozen_tau,cal_p_frozen_tau,frozen_tau_still_accepted,dev_coverage_u32,dev_coverage_original,dev_changed_u32,dev_omitted_u32,dev_CP95_u32,jaccard_u32
small/OBQA/Text,fallback,,fallback,False,[],,,,,,,,,,
small/OBQA/C2C,fallback,,fallback,False,[],,,,,,,,,,
small/ARC/Text,fallback,,fallback,False,[],,,,,,,,,,
small/ARC/C2C,fallback,,fallback,False,[],,,,,,,,,,
medium/OBQA/Text,fallback,,fallback,False,[],,,,,,,,,,
medium/OBQA/C2C,0.55,1.3113021850585938e-06,0.55,False,[],745,19,0.0005920314211453805,True,0.5350404312668463,0.5256064690026954,11,397,"[0.013911060975894434, 0.049035284990334736]",0.9724310776942355
medium/ARC/Text,fallback,,fallback,False,[],,,,,,,,,,
medium/ARC/C2C,0.6,3.5762786865234375e-07,0.6,False,[],288,2,5.0173468690969704e-05,True,0.6254180602006689,0.6321070234113713,3,187,"[0.003320705435971421, 0.04616568007291618]",0.9894179894179894
large/OBQA/Text,0.8,0.001170039176940918,0.8,False,[],1066,19,3.2119805425291636e-08,True,0.77088948787062,0.77088948787062,19,572,"[0.0201148221780326, 0.051387485520858665]",0.9895652173913043
large/OBQA/C2C,0.8,0.001170039176940918,0.8,False,[],1066,22,6.305043849704124e-07,True,0.77088948787062,0.77088948787062,13,572,"[0.012155514944778248, 0.03855077573314515]",0.9895652173913043
large/ARC/Text,0.95,0.01800704002380371,0.95,False,[],421,4,5.008654866234748e-06,True,0.9464882943143813,0.9498327759197325,9,283,"[0.01464306501726977, 0.05950987031149499]",0.9964788732394366
large/ARC/C2C,0.9,0.0007095932960510254,0.9,False,[],405,7,0.0005211798309613595,True,0.8996655518394648,0.903010033444816,3,269,"[0.002305827926398838, 0.03224433992903975]",0.9962962962962963
large/MMLU-Pro/Text,0.4,3.838539123535156e-05,0.4,False,[],2349,66,8.99000999775e-08,True,0.40136312003029156,0.40477092010602045,40,1060,"[0.027093359626105262, 0.05103322015188091]",0.9767873723305478
large/MMLU-Pro/C2C,0.4,3.838539123535156e-05,0.4,False,[],2349,73,4.483205480846789e-06,True,0.40136312003029156,0.40477092010602045,36,1060,"[0.023897882733062, 0.046709988442712486]",0.9767873723305478
small/MMLU-Pro/Text,fallback,,fallback,False,[],,,,,,,,,,
small/MMLU-Pro/C2C,fallback,,fallback,False,[],,,,,,,,,,
medium/MMLU-Pro/Text,fallback,,fallback,False,[],,,,,,,,,,
medium/MMLU-Pro/C2C,fallback,,fallback,False,[],,,,,,,,,,
X1-Llama/OBQA/Text,fallback,,fallback,False,[],,,,,,,,,,
X1-Llama/OBQA/C2C,fallback,,fallback,False,[],,,,,,,,,,
X1-Llama/ARC/Text,fallback,,fallback,False,[],,,,,,,,,,
X1-Llama/ARC/C2C,fallback,,fallback,False,[],,,,,,,,,,
large/OBQA/Text+fact,0.75,0.0002611875534057617,0.75,False,[],999,23,1.1158052326655015e-05,True,0.7223719676549866,0.7223719676549866,13,536,"[0.012975852337398362, 0.041117534187256916]",0.9962756052141527
medium/OBQA/C2C at q=.50,0.5,2.384185791015625e-07,,,,673,10,1.1264367875618438e-06,True,0.48517520215633425,0.4784366576819407,7,360,"[0.007852543551021744, 0.03965096955471794]",0.9696969696969697
