setting,q,threshold,N,n,k,p,CP999,accepted
strong-helper obqa/Text,0.05,0.0,1366,601,26,0.2582919551818367,0.07516545155773076,False
strong-helper obqa/Text,0.1,0.0,1366,601,26,0.2582919551818367,0.07516545155773076,False
strong-helper obqa/Text,0.15,0.0,1366,601,26,0.2582919551818367,0.07516545155773076,False
strong-helper obqa/Text,0.2,0.0,1366,601,26,0.2582919551818367,0.07516545155773076,False
strong-helper obqa/Text,0.25,0.0,1366,601,26,0.2582919551818367,0.07516545155773076,False
strong-helper obqa/Text,0.3,0.0,1366,601,26,0.2582919551818367,0.07516545155773076,False
strong-helper obqa/Text,0.35,0.0,1366,601,26,0.2582919551818367,0.07516545155773076,False
strong-helper obqa/Text,0.4,0.0,1366,601,26,0.2582919551818367,0.07516545155773076,False
strong-helper obqa/Text,0.45,0.0,1366,601,26,0.2582919551818367,0.07516545155773076,False
strong-helper obqa/Text,0.5,2.384185791015625e-07,1366,665,37,0.7787183561670146,0.08855636896711533,False
strong-helper obqa/Text,0.55,1.3113021850585938e-06,1366,739,49,0.9794434054400779,0.09934745821297734,False
strong-helper obqa/Text,0.6,6.139278411865234e-06,1366,800,67,0.9999795073224368,0.11821305842302643,False
strong-helper obqa/Text,0.65,3.540515899658203e-05,1366,880,86,0.9999999977270753,0.1323418923715344,False
strong-helper obqa/Text,0.7,0.0002611875534057617,1366,959,114,1.0,0.15437060980599296,False
strong-helper obqa/Text,0.75,0.0011908411979675293,1366,1019,135,1.0,0.1682109708703666,False
strong-helper obqa/Text,0.8,0.006693124771118164,1366,1089,160,1.0,0.1826984421909178,False
strong-helper obqa/Text,0.85,0.023698091506958008,1366,1155,190,1.0,0.20057150696064716,False
strong-helper obqa/Text,0.9,0.09535020589828491,1366,1219,224,1.0,0.22015585373563687,False
strong-helper obqa/Text,0.95,0.22961032390594482,1366,1293,258,1.0,0.23579307581697284,False
strong-helper obqa/Text,1.0,Infinity,1366,1366,297,1.0,0.25362834912815646,False
strong-helper arc/Text,0.05,0.0,448,256,6,0.026250794003901803,0.06890795211188576,False
strong-helper arc/Text,0.1,0.0,448,256,6,0.026250794003901803,0.06890795211188576,False
strong-helper arc/Text,0.15,0.0,448,256,6,0.026250794003901803,0.06890795211188576,False
strong-helper arc/Text,0.2,0.0,448,256,6,0.026250794003901803,0.06890795211188576,False
strong-helper arc/Text,0.25,0.0,448,256,6,0.026250794003901803,0.06890795211188576,False
strong-helper arc/Text,0.3,0.0,448,256,6,0.026250794003901803,0.06890795211188576,False
strong-helper arc/Text,0.35,0.0,448,256,6,0.026250794003901803,0.06890795211188576,False
strong-helper arc/Text,0.4,0.0,448,256,6,0.026250794003901803,0.06890795211188576,False
strong-helper arc/Text,0.45,0.0,448,256,6,0.026250794003901803,0.06890795211188576,False
strong-helper arc/Text,0.5,0.0,448,256,6,0.026250794003901803,0.06890795211188576,False
strong-helper arc/Text,0.55,0.0,448,256,6,0.026250794003901803,0.06890795211188576,False
strong-helper arc/Text,0.6,3.5762786865234375e-07,448,290,9,0.08229712013306512,0.07630432561026759,False
strong-helper arc/Text,0.65,2.86102294921875e-06,448,319,13,0.2723679198075333,0.08702757448811393,False
strong-helper arc/Text,0.7,1.4424324035644531e-05,448,340,17,0.5640440232584838,0.09749114381833958,False
strong-helper arc/Text,0.75,0.00010406970977783203,448,363,20,0.7225608645094662,0.1022024396057295,False
strong-helper arc/Text,0.8,0.0007124543190002441,448,378,23,0.8603243520875565,0.10836914013096366,False
strong-helper arc/Text,0.85,0.006693124771118164,448,399,31,0.9935667637913582,0.12770676124634886,False
strong-helper arc/Text,0.9,0.0388069748878479,448,417,41,0.9999829078716909,0.15115542750647426,False
strong-helper arc/Text,0.95,0.14804726839065552,448,427,48,0.9999999190558883,0.16695957619477614,False
strong-helper arc/Text,1.0,Infinity,448,448,55,0.9999999995391669,0.17745547922795235,False
