setting,seed,q
obqa,1,0.0
obqa,2,0.0
obqa,3,0.0
obqa,4,0.0
obqa,5,0.0
obqa,6,0.0
obqa,7,0.0
obqa,8,0.0
obqa,9,0.0
obqa,10,0.0
obqa,11,0.0
obqa,12,0.0
obqa,13,0.0
obqa,14,0.0
obqa,15,0.0
obqa,16,0.0
obqa,17,0.0
obqa,18,0.0
obqa,19,0.0
obqa,20,0.0
obqa,21,0.0
obqa,22,0.0
obqa,23,0.0
obqa,24,0.0
obqa,25,0.0
obqa,26,0.0
obqa,27,0.0
obqa,28,0.0
obqa,29,0.0
obqa,30,0.0
obqa,31,0.0
obqa,32,0.0
obqa,33,0.0
obqa,34,0.0
obqa,35,0.0
obqa,36,0.0
obqa,37,0.0
obqa,38,0.0
obqa,39,0.0
obqa,40,0.0
obqa,41,0.0
obqa,42,0.0
obqa,43,0.0
obqa,44,0.0
obqa,45,0.0
obqa,46,0.0
obqa,47,0.0
obqa,48,0.0
obqa,49,0.0
obqa,50,0.0
obqa,51,0.0
obqa,52,0.0
obqa,53,0.0
obqa,54,0.0
obqa,55,0.0
obqa,56,0.0
obqa,57,0.0
obqa,58,0.0
obqa,59,0.0
obqa,60,0.0
obqa,61,0.0
obqa,62,0.0
obqa,63,0.0
obqa,64,0.0
obqa,65,0.0
obqa,66,0.0
obqa,67,0.0
obqa,68,0.0
obqa,69,0.0
obqa,70,0.0
obqa,71,0.0
obqa,72,0.0
obqa,73,0.0
obqa,74,0.0
obqa,75,0.0
obqa,76,0.0
obqa,77,0.0
obqa,78,0.0
obqa,79,0.0
obqa,80,0.0
obqa,81,0.0
obqa,82,0.0
obqa,83,0.0
obqa,84,0.0
obqa,85,0.0
obqa,86,0.0
obqa,87,0.0
obqa,88,0.0
obqa,89,0.0
obqa,90,0.0
obqa,91,0.0
obqa,92,0.0
obqa,93,0.0
obqa,94,0.0
obqa,95,0.0
obqa,96,0.0
obqa,97,0.0
obqa,98,0.0
obqa,99,0.0
obqa,100,0.0
obqa,101,0.0
obqa,102,0.0
obqa,103,0.0
obqa,104,0.0
obqa,105,0.0
obqa,106,0.0
obqa,107,0.0
obqa,108,0.0
obqa,109,0.0
obqa,110,0.0
obqa,111,0.0
obqa,112,0.0
obqa,113,0.0
obqa,114,0.0
obqa,115,0.0
obqa,116,0.0
obqa,117,0.0
obqa,118,0.0
obqa,119,0.0
obqa,120,0.0
obqa,121,0.0
obqa,122,0.0
obqa,123,0.0
obqa,124,0.0
obqa,125,0.0
obqa,126,0.0
obqa,127,0.0
obqa,128,0.0
obqa,129,0.0
obqa,130,0.0
obqa,131,0.0
obqa,132,0.0
obqa,133,0.0
obqa,134,0.0
obqa,135,0.0
obqa,136,0.0
obqa,137,0.0
obqa,138,0.0
obqa,139,0.0
obqa,140,0.0
obqa,141,0.0
obqa,142,0.0
obqa,143,0.0
obqa,144,0.0
obqa,145,0.0
obqa,146,0.0
obqa,147,0.0
obqa,148,0.0
obqa,149,0.0
obqa,150,0.0
obqa,151,0.0
obqa,152,0.0
obqa,153,0.0
obqa,154,0.0
obqa,155,0.0
obqa,156,0.0
obqa,157,0.0
obqa,158,0.0
obqa,159,0.0
obqa,160,0.0
obqa,161,0.0
obqa,162,0.0
obqa,163,0.0
obqa,164,0.0
obqa,165,0.0
obqa,166,0.0
obqa,167,0.0
obqa,168,0.0
obqa,169,0.0
obqa,170,0.0
obqa,171,0.0
obqa,172,0.0
obqa,173,0.0
obqa,174,0.0
obqa,175,0.0
obqa,176,0.0
obqa,177,0.0
obqa,178,0.0
obqa,179,0.0
obqa,180,0.0
obqa,181,0.0
obqa,182,0.0
obqa,183,0.0
obqa,184,0.0
obqa,185,0.0
obqa,186,0.0
obqa,187,0.0
obqa,188,0.0
obqa,189,0.0
obqa,190,0.0
obqa,191,0.0
obqa,192,0.0
obqa,193,0.0
obqa,194,0.0
obqa,195,0.0
obqa,196,0.0
obqa,197,0.0
obqa,198,0.0
obqa,199,0.0
obqa,200,0.0
arc,1,0.0
arc,2,0.0
arc,3,0.0
arc,4,0.0
arc,5,0.55
arc,6,0.0
arc,7,0.0
arc,8,0.0
arc,9,0.0
arc,10,0.0
arc,11,0.65
arc,12,0.55
arc,13,0.0
arc,14,0.0
arc,15,0.0
arc,16,0.0
arc,17,0.65
arc,18,0.0
arc,19,0.0
arc,20,0.0
arc,21,0.0
arc,22,0.0
arc,23,0.0
arc,24,0.0
arc,25,0.0
arc,26,0.0
arc,27,0.0
arc,28,0.0
arc,29,0.0
arc,30,0.0
arc,31,0.0
arc,32,0.0
arc,33,0.0
arc,34,0.0
arc,35,0.0
arc,36,0.0
arc,37,0.55
arc,38,0.0
arc,39,0.0
arc,40,0.0
arc,41,0.0
arc,42,0.0
arc,43,0.0
arc,44,0.0
arc,45,0.0
arc,46,0.0
arc,47,0.0
arc,48,0.0
arc,49,0.0
arc,50,0.0
arc,51,0.6
arc,52,0.6
arc,53,0.0
arc,54,0.0
arc,55,0.65
arc,56,0.0
arc,57,0.0
arc,58,0.6
arc,59,0.0
arc,60,0.0
arc,61,0.0
arc,62,0.0
arc,63,0.0
arc,64,0.0
arc,65,0.0
arc,66,0.0
arc,67,0.0
arc,68,0.0
arc,69,0.0
arc,70,0.0
arc,71,0.0
arc,72,0.0
arc,73,0.0
arc,74,0.0
arc,75,0.75
arc,76,0.6
arc,77,0.0
arc,78,0.0
arc,79,0.0
arc,80,0.0
arc,81,0.0
arc,82,0.0
arc,83,0.7
arc,84,0.0
arc,85,0.0
arc,86,0.0
arc,87,0.0
