setting,policy,q,tau,cal_n,cal_k,cal_p,accepted,equals_u0_rule_on_cal
large/OBQA/Text,large/OBQA/Text [nominal],0.05,0.0,642,1,1.7378106481890661e-13,True,True
large/OBQA/Text,large/OBQA/Text [nominal],0.1,0.0,642,1,1.7378106481890661e-13,True,True
large/OBQA/Text,large/OBQA/Text [nominal],0.15,0.0,642,1,1.7378106481890661e-13,True,True
large/OBQA/Text,large/OBQA/Text [nominal],0.2,0.0,642,1,1.7378106481890661e-13,True,True
large/OBQA/Text,large/OBQA/Text [nominal],0.25,0.0,642,1,1.7378106481890661e-13,True,True
large/OBQA/Text,large/OBQA/Text [nominal],0.3,0.0,642,1,1.7378106481890661e-13,True,True
large/OBQA/Text,large/OBQA/Text [nominal],0.35,0.0,642,1,1.7378106481890661e-13,True,True
large/OBQA/Text,large/OBQA/Text [nominal],0.4,0.0,642,1,1.7378106481890661e-13,True,True
large/OBQA/Text,large/OBQA/Text [nominal],0.45,0.0,642,1,1.7378106481890661e-13,True,True
large/OBQA/C2C,large/OBQA/C2C [nominal],0.05,0.0,642,2,3.0209317677572816e-12,True,True
large/OBQA/C2C,large/OBQA/C2C [nominal],0.1,0.0,642,2,3.0209317677572816e-12,True,True
large/OBQA/C2C,large/OBQA/C2C [nominal],0.15,0.0,642,2,3.0209317677572816e-12,True,True
large/OBQA/C2C,large/OBQA/C2C [nominal],0.2,0.0,642,2,3.0209317677572816e-12,True,True
large/OBQA/C2C,large/OBQA/C2C [nominal],0.25,0.0,642,2,3.0209317677572816e-12,True,True
large/OBQA/C2C,large/OBQA/C2C [nominal],0.3,0.0,642,2,3.0209317677572816e-12,True,True
large/OBQA/C2C,large/OBQA/C2C [nominal],0.35,0.0,642,2,3.0209317677572816e-12,True,True
large/OBQA/C2C,large/OBQA/C2C [nominal],0.4,0.0,642,2,3.0209317677572816e-12,True,True
large/OBQA/C2C,large/OBQA/C2C [nominal],0.45,0.0,642,2,3.0209317677572816e-12,True,True
large/ARC/Text,large/ARC/Text,0.05,0.0,321,0,7.067686831570697e-08,True,True
large/ARC/Text,large/ARC/Text,0.1,0.0,321,0,7.067686831570697e-08,True,True
large/ARC/Text,large/ARC/Text,0.15,0.0,321,0,7.067686831570697e-08,True,True
large/ARC/Text,large/ARC/Text,0.2,0.0,321,0,7.067686831570697e-08,True,True
large/ARC/Text,large/ARC/Text,0.25,0.0,321,0,7.067686831570697e-08,True,True
large/ARC/Text,large/ARC/Text,0.3,0.0,321,0,7.067686831570697e-08,True,True
