policy,setting,q,cal_N,cal_n0,cal_k0,cal_u0_coverage,cal_k0_over_n0,cal_CP_lo,cal_CP_hi,cal_p_u0,dev_N,dev_n0,dev_k0,dev_u0_coverage,dev_k0_over_n0,dev_CP_lo,dev_CP_hi,policy_dev_coverage,policy_dev_n,policy_dev_k,policy_dev_rate,policy_CP_lo,policy_CP_hi,fit_grid_q_with_tau0,tau0_candidates_accepted,u0_rule_was_a_grid_candidate,label
large/OBQA/Text [nominal],large/OBQA/Text,0.8,1366,642,1,0.4699853587115666,0.001557632398753894,3.943506039932285e-05,0.008647735437862906,1.7378106481890661e-13,742,354,2,0.477088948787062,0.005649717514124294,0.0006849408240855525,0.020258669804245087,0.77088948787062,572,19,0.033216783216783216,0.0201148221780326,0.051387485520858665,0.05;0.10;0.15;0.20;0.25;0.30;0.35;0.40;0.45,0.05:acc;0.10:acc;0.15:acc;0.20:acc;0.25:acc;0.30:acc;0.35:acc;0.40:acc;0.45:acc,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/OBQA/C2C [nominal],large/OBQA/C2C,0.8,1366,642,2,0.4699853587115666,0.003115264797507788,0.0003774959293138173,0.011207709624215507,3.0209317677572816e-12,742,354,1,0.477088948787062,0.002824858757062147,7.151667415476436e-05,0.01563785144528763,0.77088948787062,572,13,0.022727272727272728,0.012155514944778248,0.03855077573314515,0.05;0.10;0.15;0.20;0.25;0.30;0.35;0.40;0.45,0.05:acc;0.10:acc;0.15:acc;0.20:acc;0.25:acc;0.30:acc;0.35:acc;0.40:acc;0.45:acc,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/Text,large/ARC/Text,0.95,448,321,0,0.7165178571428571,0.0,0.0,0.011426057369519968,7.067686831570697e-08,299,217,0,0.725752508361204,0.0,0.0,0.01685576921781151,0.9498327759197325,284,9,0.03169014084507042,0.014591145519933221,0.05930334123334969,0.05;0.10;0.15;0.20;0.25;0.30;0.35;0.40;0.45;0.50;0.55;0.60;0.65;0.70,0.05:acc;0.10:acc;0.15:acc;0.20:acc;0.25:acc;0.30:acc;0.35:acc;0.40:acc;0.45:acc;0.50:acc;0.55:acc;0.60:acc;0.65:acc;0.70:acc,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,large/ARC/C2C,0.9,448,321,2,0.7165178571428571,0.006230529595015576,0.0007554386842811592,0.022324394022762442,1.1320045778432438e-05,299,217,1,0.725752508361204,0.004608294930875576,0.00011666512029039178,0.02540694002464814,0.903010033444816,270,3,0.011111111111111112,0.0022972658375898353,0.032126193689306796,0.05;0.10;0.15;0.20;0.25;0.30;0.35;0.40;0.45;0.50;0.55;0.60;0.65;0.70,0.05:acc;0.10:acc;0.15:acc;0.20:acc;0.25:acc;0.30:acc;0.35:acc;0.40:acc;0.45:acc;0.50:acc;0.55:acc;0.60:acc;0.65:acc;0.70:acc,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/MMLU-Pro/Text,large/MMLU-Pro/Text,0.4,6000,1442,14,0.24033333333333334,0.009708737864077669,0.005317733797785762,0.01623600882971711,2.091131197602028e-17,2641,645,8,0.24422567209390383,0.012403100775193798,0.0053695735889119495,0.024292151415616157,0.40477092010602045,1069,40,0.037418147801683815,0.026864122170024176,0.050606521808391244,0.05;0.10;0.15;0.20,0.05:acc;0.10:acc;0.15:acc;0.20:acc,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/MMLU-Pro/C2C,large/MMLU-Pro/C2C,0.4,6000,1442,9,0.24033333333333334,0.0062413314840499305,0.0028577880467230607,0.011814791925295113,1.9186834234091488e-21,2641,645,5,0.24422567209390383,0.007751937984496124,0.002521685149128442,0.017997082095848327,0.40477092010602045,1069,37,0.03461178671655753,0.02448468599592269,0.047394159674553994,0.05;0.10;0.15;0.20,0.05:acc;0.10:acc;0.15:acc;0.20:acc,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
medium/OBQA/C2C q=.55,medium/OBQA/C2C,0.55,1366,601,7,0.43997071742313326,0.011647254575707155,0.0046952709000923866,0.023849819290038928,3.164140331277832e-07,742,321,7,0.4326145552560647,0.021806853582554516,0.008811385089797655,0.04441238876058343,0.5256064690026954,390,11,0.028205128205128206,0.01416221438317842,0.04990551749357675,0.05;0.10;0.15;0.20;0.25;0.30;0.35;0.40;0.45,0.05:acc;0.10:acc;0.15:acc;0.20:acc;0.25:acc;0.30:acc;0.35:acc;0.40:acc;0.45:acc,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
medium/OBQA/C2C q=.50,medium/OBQA/C2C,0.5,1366,601,7,0.43997071742313326,0.011647254575707155,0.0046952709000923866,0.023849819290038928,3.164140331277832e-07,742,321,7,0.4326145552560647,0.021806853582554516,0.008811385089797655,0.04441238876058343,0.4784366576819407,355,7,0.01971830985915493,0.007963644862334255,0.040203563512823,0.05;0.10;0.15;0.20;0.25;0.30;0.35;0.40;0.45,0.05:acc;0.10:acc;0.15:acc;0.20:acc;0.25:acc;0.30:acc;0.35:acc;0.40:acc;0.45:acc,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
medium/ARC/C2C,medium/ARC/C2C,0.6,448,256,1,0.5714285714285714,0.00390625,9.889279722355363e-05,0.021570890352533498,2.869604513945975e-05,299,174,1,0.5819397993311036,0.005747126436781609,0.00014549405830062908,0.03160343344421703,0.6321070234113713,189,4,0.021164021164021163,0.005795879896893496,0.05329911773873677,0.05;0.10;0.15;0.20;0.25;0.30;0.35;0.40;0.45;0.50;0.55,0.05:acc;0.10:acc;0.15:acc;0.20:acc;0.25:acc;0.30:acc;0.35:acc;0.40:acc;0.45:acc;0.50:acc;0.55:acc,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/OBQA/Text+fact q=.75,large/OBQA/Text+fact,0.75,1366,642,2,0.4699853587115666,0.003115264797507788,0.0003774959293138173,0.011207709624215507,3.0209317677572816e-12,742,354,1,0.477088948787062,0.002824858757062147,7.151667415476436e-05,0.01563785144528763,0.7223719676549866,536,13,0.024253731343283583,0.012975852337398362,0.041117534187256916,0.05;0.10;0.15;0.20;0.25;0.30;0.35;0.40;0.45,0.05:acc;0.10:acc;0.15:acc;0.20:acc;0.25:acc;0.30:acc;0.35:acc;0.40:acc;0.45:acc,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
