setting,q,threshold,n,k,p,accepted
large/OBQA/Text,0.05,1.1920928955078125e-07,41,0,0.12208654873684822,False
large/OBQA/Text,0.1,3.5762786865234375e-07,86,0,0.012140317781059376,False
large/OBQA/Text,0.15,7.152557373046875e-07,117,1,0.01771932305632705,False
large/OBQA/Text,0.2,1.7881393432617188e-06,165,1,0.0020438974165390964,False
large/OBQA/Text,0.25,3.0994415283203125e-06,193,2,0.0031362502197902027,False
large/OBQA/Text,0.3,7.987022399902344e-06,228,3,0.0030753709621286944,False
large/OBQA/Text,0.35,1.8835067749023438e-05,257,6,0.025474247440749324,False
large/OBQA/Text,0.4,4.5418739318847656e-05,290,7,0.02144381260568497,False
large/OBQA/Text,0.45,0.00010412931442260742,318,9,0.04164796413069095,False
large/OBQA/Text,0.5,0.0002611875534057617,357,11,0.05421626125685635,False
large/OBQA/Text,0.55,0.0004642605781555176,384,16,0.27067687849339417,False
large/OBQA/Text,0.6,0.001170039176940918,422,17,0.21401380483084845,False
large/OBQA/Text,0.65,0.0036364197731018066,463,28,0.8715321156508022,False
large/OBQA/Text,0.7,0.008580565452575684,493,41,0.9993451281761682,False
large/OBQA/Text,0.75,0.020641982555389404,539,55,0.9999997078366468,False
large/OBQA/Text,0.8,0.04792952537536621,575,66,0.9999999997880927,False
large/OBQA/Text,0.85,0.10750377178192139,618,82,0.9999999999999993,False
large/OBQA/Text,0.9,0.22272759675979614,655,101,1.0,False
large/OBQA/Text,0.95,0.37755221128463745,692,122,1.0,False
large/OBQA/Text,1.0,Infinity,724,142,1.0,False
large/OBQA/C2C,0.05,1.1920928955078125e-07,41,0,0.12208654873684822,False
large/OBQA/C2C,0.1,3.5762786865234375e-07,86,1,0.06709122984269626,False
large/OBQA/C2C,0.15,7.152557373046875e-07,117,1,0.01771932305632705,False
large/OBQA/C2C,0.2,1.7881393432617188e-06,165,2,0.009954061045192981,False
large/OBQA/C2C,0.25,3.0994415283203125e-06,193,2,0.0031362502197902027,False
large/OBQA/C2C,0.3,7.987022399902344e-06,228,2,0.0007059670785300266,True
large/OBQA/C2C,0.35,1.8835067749023438e-05,257,3,0.0009668288004584947,True
large/OBQA/C2C,0.4,4.5418739318847656e-05,290,6,0.009105969336613727,False
large/OBQA/C2C,0.45,0.00010412931442260742,318,6,0.003615356434018664,False
large/OBQA/C2C,0.5,0.0002611875534057617,357,11,0.05421626125685635,False
large/OBQA/C2C,0.55,0.0004642605781555176,384,15,0.19535762589153868,False
large/OBQA/C2C,0.6,0.001170039176940918,422,20,0.4598792115541102,False
large/OBQA/C2C,0.65,0.0036364197731018066,463,32,0.9722203843473927,False
large/OBQA/C2C,0.7,0.008580565452575684,493,35,0.9837691264426259,False
large/OBQA/C2C,0.75,0.020641982555389404,539,47,0.9998968453009133,False
large/OBQA/C2C,0.8,0.04792952537536621,575,62,0.999999992176143,False
large/OBQA/C2C,0.85,0.10750377178192139,618,72,0.999999999981681,False
large/OBQA/C2C,0.9,0.22272759675979614,655,88,1.0,False
large/OBQA/C2C,0.95,0.37755221128463745,692,105,1.0,False
large/OBQA/C2C,1.0,Infinity,724,125,1.0,False
large/ARC/Text,0.05,1.1920928955078125e-07,17,0,0.41812033521917746,False
large/ARC/Text,0.1,2.384185791015625e-07,23,0,0.3073568677250239,False
large/ARC/Text,0.15,3.5762786865234375e-07,28,0,0.23782688525533252,False
large/ARC/Text,0.2,7.152557373046875e-07,36,0,0.15777921478822707,False
large/ARC/Text,0.25,1.0728836059570312e-06,40,0,0.1285121565651034,False
large/ARC/Text,0.3,3.6954879760742188e-06,45,1,0.334956655114416,False
large/ARC/Text,0.35,6.139278411865234e-06,53,1,0.24999422467404106,False
large/ARC/Text,0.4,2.0384788513183594e-05,61,1,0.18427919594780778,False
large/ARC/Text,0.45,4.5418739318847656e-05,70,2,0.31373582530027155,False
large/ARC/Text,0.5,0.0001138448715209961,71,2,0.3045094246901868,False
large/ARC/Text,0.55,0.0002034306526184082,75,2,0.26966418302229184,False
large/ARC/Text,0.6,0.0003814101219177246,81,3,0.4185572306052334,False
large/ARC/Text,0.65,0.0015012025833129883,89,3,0.34441474528976257,False
large/ARC/Text,0.7,0.0024728775024414062,90,3,0.33579785123671113,False
large/ARC/Text,0.75,0.004070162773132324,93,4,0.5007841955399466,False
large/ARC/Text,0.8,0.014090418815612793,100,4,0.43598130068571,False
large/ARC/Text,0.85,0.025455057621002197,102,4,0.41826345393783754,False
large/ARC/Text,0.9,0.09534949064254761,117,10,0.9671583115057052,False
large/ARC/Text,0.95,0.26904088258743286,126,11,0.9756157520364046,False
large/ARC/Text,1.0,Infinity,127,12,0.9886540877143298,False
large/ARC/C2C,0.05,1.1920928955078125e-07,17,0,0.41812033521917746,False
large/ARC/C2C,0.1,2.384185791015625e-07,23,0,0.3073568677250239,False
large/ARC/C2C,0.15,3.5762786865234375e-07,28,0,0.23782688525533252,False
large/ARC/C2C,0.2,7.152557373046875e-07,36,0,0.15777921478822707,False
large/ARC/C2C,0.25,1.0728836059570312e-06,40,0,0.1285121565651034,False
large/ARC/C2C,0.3,3.6954879760742188e-06,45,0,0.09944025698709247,False
