setting,split,N,disagreements,d,CP_lo,CP_hi,R_INVALID,ref_INVALID,median_u,share_u0,note,label,test_all_N,test_all_median_u,test_all_share_u0,test_all_ref_INVALID
small/ARC/Text,fit,670,344,0.5134328358208955,0.4748523044358397,0.5518945648423755,59,76,0.03001934289932251,0.0,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
small/ARC/Text,cal,448,233,0.5200892857142857,0.4727091987591498,0.5672024682367626,50,51,0.037721335887908936,0.0,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
small/ARC/Text,dev,299,145,0.48494983277591974,0.42702471822612137,0.54317606797797,32,21,0.04313474893569946,0.0,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
small/ARC/C2C,fit,670,360,0.5373134328358209,0.49871885194593013,0.5755779871793452,59,5,0.03001934289932251,0.0,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
small/ARC/C2C,cal,448,254,0.5669642857142857,0.519650304835557,0.6133883638464803,50,1,0.037721335887908936,0.0,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
small/ARC/C2C,dev,299,160,0.5351170568561873,0.4768033687105418,0.5927280787120183,32,5,0.04313474893569946,0.0,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
medium/ARC/Text,fit,670,134,0.2,0.17034198851240215,0.23232767481621155,5,0,0.0,0.5656716417910448,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
medium/ARC/Text,cal,448,67,0.14955357142857142,0.11781959786555879,0.18599923310746933,3,0,0.0,0.5714285714285714,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
medium/ARC/Text,dev,299,52,0.17391304347826086,0.13269877493627663,0.22172628497936275,2,0,0.0,0.5819397993311036,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
medium/ARC/C2C,fit,670,107,0.15970149253731344,0.1327653655274148,0.18967441610530938,5,24,0.0,0.5656716417910448,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
medium/ARC/C2C,cal,448,55,0.12276785714285714,0.09383959337284802,0.156785922289713,3,14,0.0,0.5714285714285714,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
medium/ARC/C2C,dev,299,48,0.1605351170568562,0.12080039873225654,0.20714990310594436,2,12,0.0,0.5819397993311036,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
