setting,observed,q0,N_fit,N_cal,prevalence_cal,AUROC_dev,AUROC_cal,share_u0_cal,share_u0_dev
small/OBQA/Text,fallback,0.0,2100,1366,0.4377745241581259,0.6414282263554317,0.6450091886148273,0.0,0.0
small/OBQA/C2C,fallback,0.0,2100,1366,0.4685212298682284,0.7002332361516035,0.7067267131542699,0.0,0.0
small/ARC/Text,fallback,0.0,670,448,0.5200892857142857,0.6339901477832514,0.6444355724124164,0.0,0.0
small/ARC/C2C,fallback,0.0,670,448,0.5669642857142857,0.6406474820143885,0.7065305625456612,0.0,0.0
medium/OBQA/Text,fallback,0.0,2100,1366,0.2547584187408492,0.7865418083211915,0.7912234943432015,0.43997071742313326,0.4326145552560647
medium/OBQA/C2C,certify,0.55,2100,1366,0.17715959004392387,0.8401069451905898,0.8359441634069588,0.43997071742313326,0.4326145552560647
medium/ARC/Text,fallback,0.0,670,448,0.14955357142857142,0.7421753347866709,0.7751596348963843,0.5714285714285714,0.5819397993311036
medium/ARC/C2C,certify,0.6,670,448,0.12276785714285714,0.9097360557768924,0.9042100393245431,0.5714285714285714,0.5819397993311036
large/OBQA/Text,certify,0.8,2100,1366,0.10468521229868229,0.8727300995024876,0.9186226692359153,0.4699853587115666,0.477088948787062
large/OBQA/C2C,certify,0.8,2100,1366,0.09297218155197658,0.8826490713587488,0.9051591008751025,0.4699853587115666,0.477088948787062
large/ARC/Text,certify,0.95,670,448,0.026785714285714284,0.9518779342723005,0.946387614678899,0.7165178571428571,0.725752508361204
large/ARC/C2C,certify,0.9,670,448,0.046875,0.9088269454123112,0.9005799040927845,0.7165178571428571,0.725752508361204
large/MMLU-Pro/Text,certify,0.4,3000,6000,0.21583333333333332,0.8214679315782257,0.8139185701566148,0.24033333333333334,0.24422567209390383
large/MMLU-Pro/C2C,certify,0.4,3000,6000,0.29133333333333333,0.8463998007101454,0.8404098031132476,0.24033333333333334,0.24422567209390383
small/MMLU-Pro/Text,fallback,0.0,3000,6000,0.4675,0.6438493788909302,0.6402281863093794,0.0,0.0
small/MMLU-Pro/C2C,fallback,0.0,3000,6000,0.5803333333333334,0.6258202388434946,0.6146233619946723,0.0,0.0
medium/MMLU-Pro/Text,fallback,0.0,3000,6000,0.43066666666666664,0.7165514125803323,0.7259952595145047,0.115,0.12268080272624006
medium/MMLU-Pro/C2C,fallback,0.0,3000,6000,0.5445,0.7652413133530371,0.7558211370039863,0.115,0.12268080272624006
large/OBQA/Text+fact,certify,0.75,2100,1366,0.12445095168374817,0.8885925399083293,0.9083759590792838,0.4699853587115666,0.477088948787062
X1-Llama/OBQA/Text,fallback,0.0,2100,1366,0.27232796486090777,0.6926768084681826,0.7218512689037451,0.0,0.0
X1-Llama/OBQA/C2C,fallback,0.0,2100,1366,0.5849194729136163,0.6178915281959778,0.6632276235947493,0.0,0.0
X1-Llama/ARC/Text,fallback,0.0,670,448,0.35714285714285715,0.6778866867729427,0.6878689236111111,0.0,0.0
X1-Llama/ARC/C2C,fallback,0.0,670,448,0.609375,0.6145747126436781,0.6893354264782836,0.0,0.0
X2-OLMo/OBQA/Text,fallback,0.0,2100,1366,0.2342606149341142,0.7896419828641371,0.7738482911089866,0.0,0.0
X2-OLMo/ARC/Text,fallback,0.0,670,448,0.21205357142857142,0.7491636644364384,0.705471895035038,0.0,0.0
X2-OLMo/MMLU-Pro/Text,fallback,0.0,3000,6000,0.4095,0.6326074196234902,0.6507757878065528,0.0,0.0
X3-Llama8B/OBQA/Text,certify,0.6,2100,1366,0.15885797950219618,0.8744859614293817,0.8646047655143924,0.0,0.0
X3-Llama8B/ARC/Text,certify,0.7,670,448,0.08928571428571429,0.8804415102125026,0.9137867647058824,0.0,0.0
