setting,observed,pi,C,max_TPR_over_FPR,max_ge_C,some_candidate_k_over_n_le_05,equivalence_holds,label
small/OBQA/Text,fallback,0.5622254758418741,14.79427083333333,9.34375,False,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
small/OBQA/C2C,fallback,0.5314787701317716,16.74931129476584,27.768595041322314,True,True,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
small/ARC/Text,fallback,0.4799107142857143,20.590697674418603,6.068837209302326,False,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
small/ARC/C2C,fallback,0.4330357142857143,24.876288659793808,22.257731958762886,False,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
medium/OBQA/Text,fallback,0.7452415812591509,6.495088408644398,5.365094957432875,False,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
medium/OBQA/C2C,certify,0.8228404099560761,4.090747330960855,18.269954245043213,True,True,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
medium/ARC/Text,fallback,0.8504464285714286,3.3412073490813636,3.57567804024497,True,True,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
medium/ARC/C2C,certify,0.8772321428571429,2.6590330788804057,40.44529262086514,True,True,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/OBQA/Text,certify,0.8953147877013177,2.221586263287,85.00490596892887,True,True,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/OBQA/C2C,certify,0.9070278184480234,1.9475383373688466,34.90193704600484,True,True,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/Text,certify,0.9732142857142857,0.5229357798165141,inf,True,True,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,certify,0.953125,0.9344262295081965,8.778688524590164,True,True,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/MMLU-Pro/Text,certify,0.7841666666666667,5.229543039319871,28.074388947927737,True,True,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/MMLU-Pro/C2C,certify,0.7086666666666667,7.810912511759171,70.02414550015679,True,True,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
small/MMLU-Pro/Text,fallback,0.5325,16.68075117370892,1.6141009481010575,False,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
small/MMLU-Pro/C2C,fallback,0.41966666666666663,26.27402700555997,2.2699506946213677,False,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
medium/MMLU-Pro/Text,fallback,0.5693333333333334,14.372365339578453,7.3989314988290396,False,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
medium/MMLU-Pro/C2C,fallback,0.4555,22.712403951701422,27.246640675271586,True,True,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/OBQA/Text+fact,certify,0.8755490483162518,2.7006688963210705,48.39882943143813,True,True,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
X1-Llama/OBQA/Text,fallback,0.7276720351390922,7.1106639839034225,23.951710261569417,True,True,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
X1-Llama/OBQA/C2C,fallback,0.41508052708638365,26.7742504409171,6.917748917748917,False,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
X1-Llama/ARC/Text,fallback,0.6428571428571428,10.555555555555559,8.61111111111111,False,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
X1-Llama/ARC/C2C,fallback,0.390625,29.639999999999997,49.92,True,True,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
X2-OLMo/OBQA/Text,fallback,0.7657393850658858,5.812619502868069,5.353728489483748,False,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
X2-OLMo/ARC/Text,fallback,0.7879464285714286,5.113314447592066,inf,True,True,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
X2-OLMo/MMLU-Pro/Text,fallback,0.5905,13.176121930567312,3.0204911092294666,False,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
X3-Llama8B/OBQA/Text,certify,0.8411420204978038,3.588337684943428,inf,True,True,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
X3-Llama8B/ARC/Text,certify,0.9107142857142857,1.862745098039216,inf,True,True,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
