setting,observed,q0,N_fit,N_cal,prevalence_cal,AUROC_dev,AUROC_cal,share_u0_cal,share_u0_dev,P_certify_devAUROC,modal_q_devAUROC,median_coverage_when_certified_devAUROC,predicted_devAUROC,agree_devAUROC,P_certify_calAUROC,modal_q_calAUROC,median_coverage_when_certified_calAUROC,predicted_calAUROC,agree_calAUROC,AUROC_at_P50,AUROC_at_P50_value,bisection_steps,label
small/OBQA/Text,fallback,0.0,2100,1366,0.4377745241581259,0.6414282263554317,0.6450091886148273,0.0,0.0,0.0,,,fallback,True,0.0,,,fallback,True,0.9233,0.9232551757812499,0.5000:0.000;0.9999:1.000;0.7500:0.000;0.8749:0.028;0.9374:0.773;0.9062:0.232;0.9218:0.483;0.9296:0.636;0.9257:0.555;0.9237:0.512;0.9228:0.498,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
small/OBQA/C2C,fallback,0.0,2100,1366,0.4685212298682284,0.7002332361516035,0.7067267131542699,0.0,0.0,0.0,,,fallback,True,0.0,,,fallback,True,0.9301,0.9300897460937501,0.5000:0.000;0.9999:1.000;0.7500:0.000;0.8749:0.017;0.9374:0.649;0.9062:0.139;0.9218:0.341;0.9296:0.487;0.9335:0.569;0.9316:0.522;0.9306:0.504,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
small/ARC/Text,fallback,0.0,670,448,0.5200892857142857,0.6339901477832514,0.6444355724124164,0.0,0.0,0.0,,,fallback,True,0.0,,,fallback,True,0.9887,0.9886717773437501,0.5000:0.000;0.9999:1.000;0.7500:0.000;0.8749:0.000;0.9374:0.003;0.9687:0.063;0.9843:0.332;0.9921:0.683;0.9882:0.489;0.9901:0.584;0.9892:0.537,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
small/ARC/C2C,fallback,0.0,670,448,0.5669642857142857,0.6406474820143885,0.7065305625456612,0.0,0.0,0.0,,,fallback,True,0.0,,,fallback,True,0.9926,0.9925772460937501,0.5000:0.000;0.9999:0.998;0.7500:0.000;0.8749:0.000;0.9374:0.000;0.9687:0.012;0.9843:0.144;0.9921:0.446;0.9960:0.728;0.9940:0.571;0.9931:0.502,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
medium/OBQA/Text,fallback,0.0,2100,1366,0.2547584187408492,0.7865418083211915,0.7912234943432015,0.43997071742313326,0.4326145552560647,0.006,0.1,0.10518511058974667,fallback,True,0.0105,0.1,0.10501676814850826,fallback,True,0.8696,0.8695549804687499,0.5000:0.000;0.9999:1.000;0.7500:0.000;0.8749:0.597;0.8124:0.029;0.8437:0.208;0.8593:0.377;0.8671:0.467;0.8710:0.527;0.8691:0.492;0.8700:0.508,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
medium/OBQA/C2C,certify,0.55,2100,1366,0.17715959004392387,0.8401069451905898,0.8359441634069588,0.43997071742313326,0.4326145552560647,0.608,0.3,0.30237775593119026,certify,True,0.5605,0.3,0.29648741558348274,certify,True,0.8295,0.8295239257812499,0.5000:0.000;0.9999:1.000;0.7500:0.006;0.8749:0.947;0.8124:0.289;0.8437:0.658;0.8281:0.483;0.8359:0.574;0.8320:0.526;0.8300:0.511;0.8290:0.496,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
medium/ARC/Text,fallback,0.0,670,448,0.14955357142857142,0.7421753347866709,0.7751596348963843,0.5714285714285714,0.5819397993311036,0.0,,,fallback,True,0.005,0.3,0.30599902039363397,fallback,True,0.9018,0.90177509765625,0.5000:0.000;0.9999:1.000;0.7500:0.000;0.8749:0.250;0.9374:0.856;0.9062:0.548;0.8905:0.391;0.8984:0.466;0.9023:0.509;0.9003:0.487;0.9013:0.497,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
medium/ARC/C2C,certify,0.6,670,448,0.12276785714285714,0.9097360557768924,0.9042100393245431,0.5714285714285714,0.5819397993311036,0.7485,0.6,0.60218619846557,certify,True,0.6925,0.65,0.5883307550113014,certify,True,0.8852,0.8851768554687498,0.5000:0.000;0.9999:1.000;0.7500:0.007;0.8749:0.416;0.9374:0.937;0.9062:0.703;0.8905:0.545;0.8827:0.472;0.8866:0.507;0.8847:0.485;0.8857:0.500,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/OBQA/Text,certify,0.8,2100,1366,0.10468521229868229,0.8727300995024876,0.9186226692359153,0.4699853587115666,0.477088948787062,0.9995,0.7,0.6971231138225747,certify,True,1.0,0.8,0.8020041595117444,certify,True,0.7700,0.76996552734375,0.5000:0.000;0.9999:1.000;0.7500:0.316;0.8749:1.000;0.8124:0.891;0.7812:0.618;0.7656:0.459;0.7734:0.543;0.7695:0.495;0.7714:0.520;0.7705:0.508,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/OBQA/C2C,certify,0.8,2100,1366,0.09297218155197658,0.8826490713587488,0.9051591008751025,0.4699853587115666,0.477088948787062,1.0,0.8,0.7624242067976623,certify,True,1.0,0.8,0.8065849600473152,certify,True,0.7553,0.7553200195312502,0.5000:0.000;0.9999:1.000;0.7500:0.449;0.8749:1.000;0.8124:0.940;0.7812:0.772;0.7656:0.604;0.7578:0.525;0.7539:0.491;0.7558:0.508;0.7548:0.498,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
