N_fit,N_cal,prevalence,AUROC_at_P50,AUROC_at_P50_value,label
670,448,0.02,<= 0.6,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.03,0.6696,0.6696132596685083,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.05,0.7771,0.7771317829457365,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.075,0.8299,0.8299050632911392,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.1,0.8635,0.8634708737864077,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.15,0.9024,0.9023758099352052,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.2,0.9219,0.9219327731092437,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.3,0.9533,0.9532941176470587,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.4,0.9689,0.968894472361809,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.5,> 0.98,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.6,> 0.98,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
2100,1366,0.02,<= 0.6,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
2100,1366,0.03,<= 0.6,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
2100,1366,0.05,0.6519,0.6519073569482289,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
2100,1366,0.075,0.7233,0.7233404710920771,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
2100,1366,0.1,0.7647,0.7646875,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
2100,1366,0.15,0.8132,0.8131868131868132,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
2100,1366,0.2,0.8421,0.8421325051759835,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
2100,1366,0.3,0.8818,0.8817535545023697,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
2100,1366,0.4,0.9158,0.9157932011331444,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
2100,1366,0.5,0.9317,0.9316852367688022,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
2100,1366,0.6,0.9585,0.95847533632287,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
3000,6000,0.02,<= 0.6,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
3000,6000,0.03,<= 0.6,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
3000,6000,0.05,<= 0.6,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
3000,6000,0.075,0.6398,0.6397569444444444,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
3000,6000,0.1,0.6806,0.6805847076461768,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
3000,6000,0.15,0.7330,0.7329819277108434,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
3000,6000,0.2,0.7708,0.7708217270194986,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
3000,6000,0.3,0.8195,0.8195073235685753,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
3000,6000,0.4,0.8533,0.8532771535580524,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
3000,6000,0.5,0.8758,0.8758083140877598,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
3000,6000,0.6,0.9106,0.9105678233438486,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
